Individuo	Horas	Temp	Replica	Dia
12_1_IND1_C	12	12	1	1
12_1_IND1_D	12	12	1	1
12_1_IND1_I	12	12	1	1
12_1_IND2_C	12	12	2	1
12_1_IND2_D	12	12	2	1
12_1_IND2_I	12	12	2	1
12_1_IND3_C	12	12	3	1
12_1_IND3_D	12	12	3	1
12_1_IND3_I	12	12	3	1
12_1_IND4_C	12	12	4	1
12_1_IND4_D	12	12	4	1
12_1_IND4_I	12	12	4	1
12_1_IND5_C	12	12	5	1
12_1_IND5_D	12	12	5	1
12_1_IND5_I	12	12	5	1
12_1_IND6_C	12	12	6	1
12_1_IND6_D	12	12	6	1
12_1_IND6_I	12	12	6	1
12_1_IND7_C	12	12	7	1
12_1_IND7_D	12	12	7	1
12_1_IND7_I	12	12	7	1
15_1_IND1_C	12	15	26	1
15_1_IND1_D	12	15	26	1
15_1_IND1_I	12	15	26	1
15_1_IND2_C	12	15	27	1
15_1_IND2_D	12	15	27	1
15_1_IND2_I	12	15	27	1
15_1_IND3_C	12	15	28	1
15_1_IND3_D	12	15	28	1
15_1_IND3_I	12	15	28	1
15_1_IND4_C	12	15	29	1
15_1_IND4_D	12	15	29	1
15_1_IND4_I	12	15	29	1
15_1_IND5_C	12	15	30	1
15_1_IND5_D	12	15	30	1
15_1_IND5_I	12	15	30	1
15_1_IND6_C	12	15	31	1
15_1_IND6_D	12	15	31	1
15_1_IND6_I	12	15	31	1
17_1_IND1_C	12	17	47	1
17_1_IND1_D	12	17	47	1
17_1_IND1_I	12	17	47	1
17_1_IND2_C	12	17	48	1
17_1_IND2_D	12	17	48	1
17_1_IND2_I	12	17	48	1
17_1_IND3_C	12	17	49	1
17_1_IND3_D	12	17	49	1
17_1_IND3_I	12	17	49	1
17_1_IND4_C	12	17	50	1
17_1_IND4_D	12	17	50	1
17_1_IND4_I	12	17	50	1
17_1_IND5_C	12	17	51	1
17_1_IND5_D	12	17	51	1
17_1_IND5_I	12	17	51	1
17_1_IND6_C	12	17	52	1
17_1_IND6_D	12	17	52	1
17_1_IND6_I	12	17	52	1
