Individuo	Horas	Temp	Replica	Dia
12_5_IND1_C	120	12	11	5
12_5_IND1_D	120	12	11	5
12_5_IND1_I	120	12	11	5
12_5_IND2_C	120	12	12	5
12_5_IND2_D	120	12	12	5
12_5_IND2_I	120	12	12	5
12_5_IND3_C	120	12	13	5
12_5_IND3_D	120	12	13	5
12_5_IND3_I	120	12	13	5
15_5_IND1_C	120	15	35	5
15_5_IND1_D	120	15	35	5
15_5_IND1_I	120	15	35	5
15_5_IND2_C	120	15	36	5
15_5_IND2_D	120	15	36	5
15_5_IND2_I	120	15	36	5
17_5_IND1_C	120	17	57	5
17_5_IND1_D	120	17	57	5
17_5_IND1_I	120	17	57	5
17_5_IND2_C	120	17	58	5
17_5_IND2_D	120	17	58	5
17_5_IND2_I	120	17	58	5
17_5_IND3_C	120	17	59	5
17_5_IND3_D	120	17	59	5
17_5_IND3_I	120	17	59	5
