Temperatura	Dia	Frasco	Vivas	Muertas	STATUS
12	1	A	100	0	0
12	2	A	98	2	1
12	2	A	98	2	1
12	3	A	54	44	1
12	3	A	54	44	1
12	3	A	54	44	1
12	3	A	54	44	1
12	3	A	54	44	1
12	3	A	54	44	1
12	3	A	54	44	1
12	3	A	54	44	1
12	3	A	54	44	1
12	3	A	54	44	1
12	3	A	54	44	1
12	3	A	54	44	1
12	3	A	54	44	1
12	3	A	54	44	1
12	3	A	54	44	1
12	3	A	54	44	1
12	3	A	54	44	1
12	3	A	54	44	1
12	3	A	54	44	1
12	3	A	54	44	1
12	3	A	54	44	1
12	3	A	54	44	1
12	3	A	54	44	1
12	3	A	54	44	1
12	3	A	54	44	1
12	3	A	54	44	1
12	3	A	54	44	1
12	3	A	54	44	1
12	3	A	54	44	1
12	3	A	54	44	1
12	3	A	54	44	1
12	3	A	54	44	1
12	3	A	54	44	1
12	3	A	54	44	1
12	3	A	54	44	1
12	3	A	54	44	1
12	3	A	54	44	1
12	3	A	54	44	1
12	3	A	54	44	1
12	3	A	54	44	1
12	3	A	54	44	1
12	3	A	54	44	1
12	3	A	54	44	1
12	3	A	54	44	1
12	4	A	18	36	1
12	4	A	18	36	1
12	4	A	18	36	1
12	4	A	18	36	1
12	4	A	18	36	1
12	4	A	18	36	1
12	4	A	18	36	1
12	4	A	18	36	1
12	4	A	18	36	1
12	4	A	18	36	1
12	4	A	18	36	1
12	4	A	18	36	1
12	4	A	18	36	1
12	4	A	18	36	1
12	4	A	18	36	1
12	4	A	18	36	1
12	4	A	18	36	1
12	4	A	18	36	1
12	4	A	18	36	1
12	4	A	18	36	1
12	4	A	18	36	1
12	4	A	18	36	1
12	4	A	18	36	1
12	4	A	18	36	1
12	4	A	18	36	1
12	4	A	18	36	1
12	4	A	18	36	1
12	4	A	18	36	1
12	4	A	18	36	1
12	4	A	18	36	1
12	4	A	18	36	1
12	4	A	18	36	1
12	4	A	18	36	1
12	4	A	18	36	1
12	4	A	18	36	1
12	4	A	18	36	1
12	5	A	17	1	1
12	6	A	17	0	0
12	7	A	17	0	0
12	8	A	17	0	0
12	9	A	13	4	1
12	9	A	13	4	1
12	9	A	13	4	1
12	9	A	13	4	1
12	10	A	2	11	1
12	10	A	2	11	1
12	10	A	2	11	1
12	10	A	2	11	1
12	10	A	2	11	1
12	10	A	2	11	1
12	10	A	2	11	1
12	10	A	2	11	1
12	10	A	2	11	1
12	10	A	2	11	1
12	10	A	2	11	1
12	11	A	0	2	1
12	11	A	0	2	1
12	1	B	100	0	
12	2	B	98	2	
12	3	B	59	39	
12	4	B	55	4	
12	5	B	53	2	
12	6	B	53	0	
12	7	B	53	0	
12	8	B	48	5	
12	9	B	43	5	
12	10	B	10	33	
12	11	B	0	10	
12	1	C	100	0	
12	2	C	97	3	
12	3	C	37	60	
12	4	C	19	18	
12	5	C	19	0	
12	6	C	19	0	
12	7	C	19	0	
12	8	C	18	1	
12	9	C	16	2	
12	10	C	3	13	
12	11	C	0	3	
15	1	A	100	0	
15	2	A	100	0	
15	3	A	91	9	
15	4	A	90	1	
15	5	A	80	9	
15	6	A	56	24	
15	7	A	34	22	
15	8	A	22	12	
15	9	A	12	10	
15	10	A	3	9	
15	11	A	0	3	
15	1	B	100	0	
15	2	B	100	0	
15	3	B	91	6	
15	4	B	85	6	
15	5	B	83	3	
15	6	B	69	14	
15	7	B	47	22	
15	8	B	29	18	
15	9	B	16	13	
15	10	B	6	10	
15	11	B	0	6	
15	1	C	100	0	
15	2	C	100	0	
15	3	C	94	6	
15	4	C	90	4	
15	5	C	85	5	
15	6	C	57	28	
15	7	C	32	25	
15	8	C	14	18	
15	9	C	9	5	
15	10	C	1	8	
15	11	C	0	1	
17	1	A	100	0	
17	2	A	97	3	
17	3	A	90	7	
17	4	A	86	4	
17	5	A	80	6	
17	6	A	52	28	
17	7	A	14	38	
17	8	A	1	13	
17	9	A	0	1	
17	10	A	0	0	
17	1	B	100	0	
17	2	B	98	2	
17	3	B	93	5	
17	4	B	92	1	
17	5	B	89	3	
17	6	B	60	29	
17	7	B	35	25	
17	8	B	3	32	
17	9	B	1	2	
17	10	B	0	1	
17	1	C	95	0	
17	2	C	91	4	
17	3	C	91	0	
17	4	C	88	3	
17	5	C	85	3	
17	6	C	62	23	
17	7	C	20	42	
17	8	C	2	18	
17	9	C	0	2	
17	10	C	0	0	
