time	x	y	
01:34.9	"11,94"	"4,57"	1
01:35.0	"11,70"	"2,16"	1
01:35.0	"9,46"	"1,75"	1
01:35.0	"8,07"	"2,58"	1
01:35.1	"8,91"	"2,75"	1
01:35.1	"9,46"	"2,08"	1
01:35.2	"8,97"	"0,89"	1
01:35.2	"5,46"	"1,52"	1
01:35.3	"5,56"	"1,98"	1
01:35.3	"5,85"	"2,44"	1
01:35.4	"6,13"	"2,90"	1
01:35.4	"6,23"	"2,80"	1
01:35.4	"6,88"	"2,79"	1
01:35.5	"8,14"	"1,28"	1
01:35.5	"5,74"	"-1,58"	1
01:35.6	"5,19"	"0,68"	1
01:35.6	"5,40"	"1,60"	1
01:35.6	"5,69"	"2,06"	1
01:35.7	"5,98"	"2,33"	1
01:35.7	"6,26"	"2,51"	1
01:35.8	"6,44"	"2,51"	1
01:35.8	"6,90"	"2,50"	1
01:35.8	"10,12"	"1,22"	1
01:35.9	"9,88"	"-1,37"	1
01:35.9	"7,94"	"-0,96"	1
01:36.0	"6,77"	"0,74"	1
01:36.0	"6,51"	"1,76"	1
01:36.0	"6,53"	"2,14"	1
01:36.1	"6,71"	"2,32"	1
01:36.1	"6,81"	"2,40"	1
01:36.2	"6,93"	"3,59"	1
01:36.2	"7,02"	"3,59"	1
01:36.2	"7,12"	"3,58"	1
01:36.3	"7,30"	"3,58"	1
01:36.3	"7,39"	"3,49"	1
01:36.4	"7,49"	"3,57"	1
01:36.4	"7,58"	"3,48"	1
01:36.4	"7,67"	"3,48"	1
01:36.5	"7,77"	"3,48"	1
01:36.5	"7,86"	"3,48"	1
01:36.6	"7,96"	"3,47"	1
01:36.6	"8,05"	"3,38"	1
01:36.7	"8,14"	"3,29"	1
01:36.7	"8,33"	"3,38"	1
01:36.8	"8,42"	"3,38"	1
01:36.8	"8,60"	"3,37"	1
01:36.9	"8,79"	"3,36"	1
01:36.9	"8,97"	"3,36"	1
01:37.0	"9,24"	"3,45"	1
01:37.0	"9,33"	"3,44"	1
01:37.0	"9,42"	"3,44"	1
01:37.1	"9,61"	"3,43"	1
01:37.1	"10,44"	"3,14"	1
01:37.2	"11,35"	"2,19"	1
01:37.2	"11,85"	"-0,43"	1
01:37.2	"10,59"	"-0,88"	1
01:37.3	"8,76"	"1,04"	1
01:37.3	"8,52"	"3,09"	1
01:37.4	"8,75"	"4,66"	1
01:37.4	"8,94"	"5,03"	1
01:37.4	"9,04"	"5,30"	1
01:37.5	"9,32"	"5,58"	1
01:37.5	"9,51"	"5,76"	1
01:37.6	"9,79"	"6,03"	1
01:37.6	"11,58"	"5,26"	1
01:37.6	"11,21"	"2,62"	1
01:37.7	"9,64"	"2,65"	1
01:37.7	"9,26"	"5,66"	1
01:37.8	"9,73"	"6,11"	1
01:37.8	"10,01"	"6,20"	1
01:37.8	"10,20"	"6,21"	1
01:37.9	"10,39"	"6,48"	1
01:37.9	"10,58"	"6,56"	1
01:38.0	"10,68"	"6,56"	1
01:38.0	"10,77"	"6,56"	1
01:38.0	"11,14"	"6,56"	1
01:38.1	"12,44"	"6,62"	1
01:38.1	"14,36"	"5,98"	1
01:38.2	"14,53"	"3,10"	1
01:38.2	"12,97"	"4,37"	1
01:38.2	"13,26"	"5,01"	1
01:38.3	"13,55"	"5,28"	1
01:38.3	"13,74"	"5,27"	1
01:38.4	"13,93"	"5,27"	1
01:38.4	"14,21"	"5,54"	1
01:38.4	"14,49"	"5,63"	1
01:38.5	"14,59"	"5,72"	1
01:38.5	"14,78"	"5,81"	1
01:38.6	"14,87"	"5,81"	1
01:38.6	"15,05"	"5,62"	1
01:38.6	"15,61"	"5,61"	1
01:38.7	"16,81"	"5,21"	1
01:38.7	"18,90"	"3,31"	1
01:38.8	"17,47"	"1,08"	1
01:38.8	"16,41"	"2,51"	1
01:38.8	"16,69"	"2,88"	1
01:38.9	"16,88"	"2,97"	1
01:38.9	"17,16"	"3,05"	1
01:39.0	"17,34"	"3,05"	1
01:39.0	"17,43"	"2,96"	1
01:39.0	"17,53"	"3,04"	1
01:39.1	"17,63"	"2,95"	1
01:39.1	"17,81"	"2,95"	1
01:39.2	"17,81"	"2,94"	1
01:39.2	"17,99"	"2,76"	1
01:39.2	"18,25"	"1,91"	1
01:39.3	"16,26"	"0,01"	1
01:39.3	"13,08"	"3,38"	1
01:39.4	"13,93"	"3,73"	1
01:39.4	"13,72"	"2,90"	1
01:39.4	"12,02"	"5,72"	1
01:39.5	"12,31"	"6,55"	1
01:39.5	"12,51"	"6,91"	1
01:39.6	"12,70"	"7,09"	1
01:39.6	"12,79"	"7,18"	1
01:39.6	"13,08"	"7,46"	1
01:39.7	"13,26"	"7,65"	1
01:39.7	"13,45"	"7,73"	1
01:39.8	"13,54"	"7,73"	1
01:39.8	"13,55"	"7,73"	1
01:39.9	"13,64"	"7,73"	1
01:40.0	"13,74"	"7,82"	1
01:40.0	"13,73"	"7,73"	1
01:40.0	"13,82"	"7,73"	1
01:40.2	"13,83"	"7,73"	1
01:40.2	"13,92"	"7,63"	1
01:40.2	"13,92"	"7,64"	1
01:40.4	"13,92"	"7,63"	1
01:40.4	"14,01"	"7,63"	1
01:40.4	"14,01"	"7,54"	1
01:40.5	"14,01"	"7,55"	1
01:40.5	"14,00"	"7,55"	1
01:40.6	"14,09"	"7,55"	1
01:40.6	"14,18"	"7,55"	1
01:40.6	"14,36"	"7,55"	1
01:40.7	"14,64"	"7,54"	1
01:40.7	"15,57"	"7,61"	1
01:40.8	"16,77"	"7,31"	1
01:40.8	"17,32"	"7,02"	1
01:40.8	"17,60"	"6,92"	1
01:40.9	"17,78"	"6,83"	1
01:40.9	"17,87"	"6,73"	1
01:41.0	"17,96"	"6,64"	1
01:41.0	"18,05"	"6,64"	1
01:41.0	"18,05"	"6,55"	1
01:41.1	"18,14"	"6,46"	1
01:41.1	"18,03"	"5,82"	1
01:41.2	"13,97"	"6,83"	1
01:41.2	"14,33"	"5,02"	1
01:41.3	"11,27"	"6,08"	1
01:41.3	"9,56"	"8,15"	1
01:41.4	"9,39"	"8,90"	1
01:41.4	"9,40"	"9,27"	1
01:41.4	"9,49"	"9,55"	1
01:41.5	"9,58"	"9,64"	1
01:41.5	"9,60"	"10,01"	1
01:41.6	"9,80"	"10,75"	1
01:41.6	"10,09"	"11,02"	1
01:54.6	"8,34"	"-11,74"	2
01:54.7	"8,71"	"-11,94"	2
01:54.7	"8,98"	"-12,04"	2
01:54.8	"9,17"	"-12,04"	2
01:54.8	"9,35"	"-12,04"	2
01:54.8	"9,45"	"-11,95"	2
01:54.9	"9,63"	"-11,95"	2
01:54.9	"9,82"	"-11,86"	2
01:55.0	"9,92"	"-11,68"	2
01:55.0	"10,10"	"-11,69"	2
01:55.0	"10,20"	"-11,59"	2
01:55.1	"10,29"	"-11,50"	2
01:55.1	"10,48"	"-11,32"	2
01:55.2	"10,67"	"-11,33"	2
01:55.2	"10,76"	"-11,23"	2
01:55.2	"10,86"	"-11,14"	2
01:55.3	"10,95"	"-11,05"	2
01:55.3	"11,05"	"-10,96"	2
01:55.4	"11,15"	"-10,78"	2
01:55.4	"11,24"	"-10,69"	2
01:55.4	"11,33"	"-10,59"	2
01:55.5	"11,42"	"-10,51"	2
01:55.5	"11,42"	"-10,41"	2
01:55.6	"11,51"	"-10,41"	2
01:55.6	"11,61"	"-10,32"	2
01:55.6	"11,71"	"-10,23"	2
01:55.7	"11,62"	"-10,14"	2
01:55.7	"11,53"	"-10,04"	2
01:55.8	"11,53"	"-9,95"	2
01:55.8	"11,53"	"-9,86"	2
01:55.8	"11,63"	"-9,86"	2
01:55.9	"11,72"	"-9,86"	2
01:55.9	"11,72"	"-9,77"	2
01:56.0	"11,81"	"-9,77"	2
01:56.0	"11,81"	"-9,68"	2
01:56.0	"11,82"	"-9,58"	2
01:56.1	"12,00"	"-9,59"	2
01:56.1	"12,01"	"-9,49"	2
01:56.2	"12,01"	"-9,40"	2
01:56.2	"12,10"	"-9,31"	2
01:56.2	"12,11"	"-9,31"	2
01:56.3	"12,20"	"-9,22"	2
01:56.4	"11,64"	"-9,40"	2
01:56.4	"7,98"	"-7,54"	2
01:56.4	"6,77"	"-5,79"	2
01:56.5	"9,57"	"-2,79"	2
01:56.5	"11,04"	"-3,60"	2
01:56.6	"10,25"	"-6,06"	2
01:56.6	"7,08"	"-4,72"	2
01:56.6	"6,77"	"-0,53"	2
01:56.7	"7,26"	"0,29"	2
01:56.7	"7,54"	"0,57"	2
01:56.8	"7,73"	"0,75"	2
01:56.8	"8,02"	"1,02"	2
01:56.8	"8,20"	"1,02"	2
01:56.9	"8,30"	"1,11"	2
01:56.9	"8,39"	"1,20"	2
01:57.0	"8,57"	"1,01"	2
01:57.0	"8,04"	"-2,27"	2
01:57.1	"5,86"	"-0,27"	2
01:57.1	"7,32"	"-1,42"	2
01:57.2	"6,76"	"-1,13"	2
01:57.2	"7,85"	"1,82"	2
01:57.2	"8,32"	"2,08"	2
01:57.3	"8,60"	"2,17"	2
01:57.3	"8,70"	"2,26"	2
01:57.4	"8,89"	"2,26"	2
01:57.4	"9,07"	"2,25"	2
01:57.4	"9,26"	"2,25"	2
01:57.5	"9,35"	"2,34"	2
01:57.5	"9,45"	"2,25"	2
01:57.6	"9,54"	"2,34"	2
01:57.6	"9,71"	"3,11"	2
01:57.6	"9,89"	"2,92"	2
01:57.7	"9,97"	"2,27"	2
01:57.7	"7,04"	"0,01"	2
01:57.8	"6,19"	"2,05"	2
01:57.8	"6,58"	"2,60"	2
01:57.8	"7,32"	"2,86"	2
01:57.9	"7,69"	"2,76"	2
01:57.9	"7,97"	"2,66"	2
01:58.0	"8,15"	"2,56"	2
01:58.0	"8,23"	"2,38"	2
01:58.0	"8,42"	"2,37"	2
01:58.1	"8,52"	"2,36"	2
01:58.1	"8,70"	"2,27"	2
01:58.2	"8,80"	"2,26"	2
01:58.2	"8,98"	"2,16"	2
01:58.2	"9,07"	"2,07"	2
01:58.3	"9,07"	"1,98"	2
01:58.4	"9,16"	"1,89"	2
01:58.4	"9,25"	"1,97"	2
01:58.4	"9,34"	"1,88"	2
01:58.5	"9,44"	"1,97"	2
01:58.5	"9,52"	"1,88"	2
01:58.6	"9,62"	"1,78"	2
01:58.6	"10,16"	"1,21"	2
01:58.6	"9,46"	"-1,28"	2
01:58.7	"5,63"	"-2,49"	2
01:58.7	"3,67"	"-2,01"	2
01:58.8	"5,31"	"1,70"	2
01:58.8	"6,61"	"1,77"	2
01:58.8	"5,13"	"-1,37"	2
01:58.9	"3,44"	"1,29"	2
01:58.9	"4,41"	"2,59"	2
01:59.0	"4,96"	"2,56"	2
01:59.0	"5,33"	"2,55"	2
01:59.0	"5,61"	"2,45"	2
01:59.1	"5,79"	"2,45"	2
01:59.1	"6,07"	"2,35"	2
01:59.2	"6,25"	"2,35"	2
01:59.2	"6,44"	"2,34"	2
01:59.2	"6,62"	"2,25"	2
01:59.3	"6,80"	"2,15"	2
01:59.3	"6,71"	"2,06"	2
01:59.4	"6,80"	"1,97"	2
01:59.4	"6,90"	"2,06"	2
01:59.4	"6,99"	"1,96"	2
01:59.5	"7,18"	"1,95"	2
01:59.5	"7,27"	"1,86"	2
01:59.6	"7,46"	"1,86"	2
01:59.6	"7,55"	"1,76"	2
01:59.6	"7,64"	"1,76"	2
01:59.7	"7,74"	"1,75"	2
01:59.7	"7,83"	"1,66"	2
01:59.8	"8,01"	"1,65"	2
01:59.8	"8,10"	"1,56"	2
01:59.9	"8,19"	"1,47"	2
01:59.9	"8,38"	"1,46"	2
02:00.0	"8,47"	"1,37"	2
02:00.0	"8,65"	"1,36"	2
02:00.1	"8,74"	"1,27"	2
02:00.2	"8,84"	"1,36"	2
02:00.2	"8,93"	"1,26"	2
02:00.2	"9,02"	"1,17"	2
02:00.3	"9,11"	"1,26"	2
02:00.3	"9,48"	"1,07"	2
02:00.4	"10,12"	"0,68"	2
02:00.4	"9,50"	"-2,46"	2
02:00.4	"9,04"	"-1,98"	2
02:00.5	"9,42"	"-1,81"	2
02:00.5	"9,51"	"-1,91"	2
02:00.6	"9,69"	"-2,10"	2
02:00.6	"9,78"	"-2,19"	2
02:00.6	"9,87"	"-2,29"	2
02:00.7	"9,96"	"-2,38"	2
02:00.7	"9,87"	"-2,47"	2
02:00.8	"9,97"	"-2,39"	2
02:00.8	"10,05"	"-2,48"	2
02:00.8	"10,06"	"-2,48"	2
02:00.9	"10,15"	"-2,48"	2
02:00.9	"10,24"	"-2,48"	2
02:01.0	"10,33"	"-2,48"	2
02:01.1	"10,42"	"-2,48"	2
02:01.1	"10,43"	"-2,48"	2
02:01.2	"10,52"	"-2,48"	2
02:01.2	"10,61"	"-2,48"	2
02:01.3	"10,70"	"-2,49"	2
02:01.3	"10,79"	"-2,49"	2
02:01.4	"10,80"	"-2,49"	2
02:01.4	"10,89"	"-2,49"	2
02:01.4	"10,98"	"-2,49"	2
02:01.5	"10,97"	"-2,49"	2
02:01.5	"10,98"	"-2,49"	2
02:01.6	"11,07"	"-2,50"	2
02:01.6	"11,16"	"-2,50"	2
02:01.6	"11,16"	"-2,49"	2
02:01.7	"11,25"	"-2,41"	2
02:01.8	"11,26"	"-2,41"	2
02:01.8	"11,35"	"-2,41"	2
02:01.8	"11,44"	"-2,41"	2
02:02.0	"11,54"	"-2,32"	2
02:02.0	"11,54"	"-2,33"	2
02:02.0	"11,63"	"-2,42"	2
02:02.1	"10,55"	"-3,45"	2
02:02.2	"8,52"	"-3,41"	2
02:02.2	"8,13"	"0,18"	2
02:02.2	"9,17"	"0,99"	2
02:02.3	"9,82"	"1,07"	2
02:02.3	"10,25"	"-0,15"	2
02:02.4	"7,65"	"-0,56"	2
02:02.4	"8,43"	"3,62"	2
02:02.4	"11,54"	"2,93"	2
02:02.5	"11,39"	"0,43"	2
02:02.5	"9,09"	"3,19"	2
02:02.6	"8,94"	"4,87"	2
02:02.6	"9,14"	"5,60"	2
02:02.6	"9,62"	"6,06"	2
02:02.7	"10,91"	"6,03"	2
02:02.7	"9,47"	"3,83"	2
02:02.8	"8,03"	"4,77"	2
02:02.8	"8,04"	"5,33"	2
02:02.8	"8,23"	"5,51"	2
02:02.9	"8,33"	"5,60"	2
02:02.9	"8,43"	"5,69"	2
02:03.0	"8,61"	"5,69"	2
02:03.0	"8,70"	"5,78"	2
02:03.0	"8,79"	"5,68"	2
02:03.1	"8,88"	"5,59"	2
02:03.2	"8,97"	"5,68"	2
02:03.2	"8,98"	"5,58"	2
02:03.2	"8,98"	"5,49"	2
02:03.3	"9,07"	"5,49"	2
02:03.3	"9,25"	"5,58"	2
02:03.4	"9,26"	"5,58"	2
02:03.4	"9,35"	"5,67"	2
02:03.4	"9,54"	"5,57"	2
02:03.5	"9,63"	"5,56"	2
02:03.5	"9,71"	"5,28"	2
02:03.6	"9,80"	"5,37"	2
02:03.6	"9,90"	"5,37"	2
02:03.7	"10,18"	"5,36"	2
02:03.7	"11,19"	"5,06"	2
02:03.8	"11,63"	"3,66"	2
02:03.8	"8,84"	"4,47"	2
02:03.8	"8,60"	"5,87"	2
02:03.9	"8,97"	"7,19"	2
02:03.9	"9,35"	"7,65"	2
02:04.0	"10,28"	"7,91"	2
02:04.0	"11,38"	"7,14"	2
02:04.0	"11,16"	"5,66"	2
02:04.1	"8,18"	"4,99"	2
02:04.1	"8,21"	"6,56"	2
02:04.2	"8,50"	"6,84"	2
02:04.2	"8,78"	"6,93"	2
02:04.2	"9,04"	"6,23"	2
02:04.3	"9,42"	"6,41"	2
02:04.3	"10,07"	"6,67"	2
02:04.4	"10,64"	"6,85"	2
02:04.4	"10,91"	"6,84"	2
02:04.4	"11,19"	"6,84"	2
02:04.5	"13,12"	"5,87"	2
02:04.5	"13,13"	"2,99"	2
02:04.6	"12,38"	"4,72"	2
02:04.6	"13,42"	"5,26"	2
02:04.6	"14,06"	"5,15"	2
02:04.7	"14,34"	"5,06"	2
02:04.7	"14,43"	"4,96"	2
02:04.8	"14,52"	"4,87"	2
02:04.8	"14,61"	"4,77"	2
02:04.8	"14,70"	"4,68"	2
02:04.9	"14,79"	"4,59"	2
02:04.9	"14,98"	"4,59"	2
02:05.0	"15,07"	"4,49"	2
02:05.0	"15,07"	"4,39"	2
02:05.1	"15,06"	"4,31"	2
02:05.1	"15,24"	"3,93"	2
02:05.2	"15,13"	"3,19"	2
02:05.2	"15,13"	"2,91"	2
02:05.2	"15,03"	"2,64"	2
02:05.3	"14,64"	"1,72"	2
02:05.3	"14,26"	"0,98"	2
02:05.4	"14,06"	"0,61"	2
02:05.4	"13,96"	"0,34"	2
02:05.4	"13,86"	"0,06"	2
02:05.5	"13,77"	"-0,03"	2
02:05.6	"13,68"	"-0,12"	2
02:05.6	"12,84"	"-0,38"	2
02:05.6	"9,35"	"1,28"	2
02:05.7	"9,56"	"2,29"	2
02:05.7	"10,38"	"1,72"	2
02:05.8	"9,90"	"0,90"	2
02:05.8	"8,59"	"0,27"	2
02:05.8	"7,56"	"0,02"	2
02:05.9	"7,19"	"-0,06"	2
02:05.9	"7,00"	"-0,06"	2
02:06.0	"6,81"	"-0,06"	2
02:06.1	"6,45"	"0,14"	2
02:06.1	"4,62"	"2,52"	2
02:06.2	"5,34"	"6,82"	2
02:06.2	"7,01"	"6,49"	2
02:06.2	"5,08"	"6,03"	2
02:06.3	"6,08"	"6,93"	2
02:06.3	"7,10"	"6,81"	2
02:06.4	"7,83"	"6,05"	2
02:06.4	"8,00"	"5,67"	2
02:06.4	"8,00"	"5,48"	2
02:06.5	"7,43"	"4,94"	2
02:06.5	"5,61"	"6,65"	2
02:06.6	"6,08"	"6,91"	2
02:06.6	"6,36"	"6,82"	2
02:06.6	"6,45"	"6,72"	2
02:06.7	"6,54"	"6,53"	2
02:06.7	"6,63"	"6,43"	2
02:06.8	"6,72"	"6,25"	2
02:06.8	"6,90"	"6,06"	2
02:06.8	"6,99"	"5,97"	2
02:06.9	"7,08"	"5,87"	2
02:06.9	"7,26"	"5,69"	2
02:07.0	"7,27"	"5,68"	2
02:07.0	"7,36"	"5,59"	2
02:07.1	"7,45"	"5,49"	2
02:07.2	"7,54"	"5,40"	2
02:07.2	"7,72"	"5,39"	2
02:07.2	"7,90"	"5,30"	2
02:07.3	"8,08"	"5,20"	2
02:07.3	"8,17"	"5,11"	2
02:07.4	"8,16"	"4,93"	2
02:07.4	"8,25"	"4,84"	2
02:07.5	"8,44"	"4,83"	2
02:07.5	"8,53"	"4,74"	2
02:07.6	"8,62"	"4,74"	2
02:07.6	"8,71"	"4,74"	2
02:07.6	"8,80"	"4,64"	2
02:07.7	"8,81"	"4,64"	2
02:07.7	"8,99"	"4,63"	2
02:07.8	"9,08"	"4,54"	2
02:07.8	"9,17"	"4,45"	2
02:07.9	"9,27"	"4,54"	2
02:07.9	"9,36"	"4,44"	2
02:08.0	"9,45"	"4,35"	2
02:08.0	"9,54"	"4,44"	2
02:08.1	"9,63"	"4,34"	2
02:08.2	"9,72"	"4,25"	2
02:08.2	"9,81"	"4,16"	2
02:08.3	"9,91"	"4,25"	2
02:08.3	"10,00"	"4,15"	2
02:08.4	"10,09"	"4,06"	2
02:08.5	"10,27"	"4,06"	2
02:08.6	"10,36"	"3,97"	2
02:08.6	"10,37"	"3,97"	2
02:08.7	"10,55"	"3,96"	2
02:08.8	"10,64"	"3,87"	2
02:08.8	"10,65"	"3,87"	2
02:08.9	"10,74"	"3,87"	2
02:08.9	"10,83"	"3,86"	2
02:09.0	"10,92"	"3,77"	2
02:09.1	"10,93"	"3,77"	2
02:09.1	"11,11"	"3,77"	2
02:09.2	"11,12"	"3,77"	2
02:09.3	"11,21"	"3,68"	2
02:09.3	"11,31"	"3,76"	2
02:09.4	"11,49"	"3,76"	2
02:09.4	"11,58"	"3,66"	2
02:09.4	"12,12"	"2,82"	2
02:09.5	"7,69"	"1,71"	2
02:09.6	"6,61"	"3,12"	2
02:09.6	"6,25"	"3,69"	2
02:09.6	"5,34"	"4,58"	2
02:11.9	"6,92"	"9,38"	3
02:12.0	"7,02"	"9,47"	3
02:12.0	"7,21"	"9,47"	3
02:12.0	"7,49"	"9,46"	3
02:12.1	"8,42"	"9,63"	3
02:12.1	"10,05"	"8,01"	3
02:12.2	"9,18"	"5,99"	3
02:12.2	"8,01"	"7,82"	3
02:12.2	"8,94"	"8,17"	3
02:12.3	"10,04"	"7,78"	3
02:12.3	"10,50"	"7,49"	3
02:12.4	"10,86"	"7,11"	3
02:12.4	"11,32"	"6,82"	3
02:12.4	"12,15"	"6,16"	3
02:12.5	"12,51"	"5,96"	3
02:12.5	"12,70"	"5,77"	3
02:12.6	"12,97"	"5,67"	3
02:12.6	"12,88"	"5,58"	3
02:12.6	"12,97"	"5,49"	3
02:12.7	"13,06"	"5,20"	3
02:12.7	"11,50"	"3,69"	3
02:12.8	"8,99"	"4,93"	3
02:12.8	"9,18"	"6,44"	3
02:12.8	"10,46"	"6,82"	3
02:12.9	"10,74"	"6,73"	3
02:12.9	"11,01"	"6,63"	3
02:13.0	"11,10"	"6,53"	3
02:13.0	"11,19"	"6,43"	3
02:13.0	"11,19"	"6,24"	3
02:13.1	"11,28"	"6,15"	3
02:13.1	"11,37"	"6,05"	3
02:13.2	"11,46"	"5,96"	3
02:13.2	"11,46"	"5,87"	3
02:13.2	"11,46"	"5,77"	3
02:13.3	"11,55"	"5,67"	3
02:13.3	"11,64"	"5,58"	3
02:13.4	"11,73"	"5,49"	3
02:13.4	"11,82"	"5,39"	3
02:13.6	"11,91"	"5,30"	3
02:13.7	"12,00"	"5,21"	3
02:13.8	"12,09"	"5,11"	3
02:13.8	"12,09"	"5,12"	3
02:13.8	"12,09"	"5,11"	3
02:13.9	"12,18"	"5,02"	3
02:13.9	"12,18"	"5,03"	3
02:14.0	"12,18"	"5,02"	3
02:14.0	"12,27"	"4,93"	3
02:14.0	"12,28"	"4,93"	3
02:14.1	"12,37"	"4,84"	3
02:14.1	"12,37"	"4,85"	3
02:14.2	"12,46"	"4,85"	3
02:14.2	"12,55"	"4,84"	3
02:14.3	"12,55"	"4,83"	3
02:14.3	"12,64"	"4,74"	3
02:14.4	"12,73"	"4,65"	3
02:14.5	"12,74"	"4,65"	3
02:14.6	"12,83"	"4,64"	3
02:14.6	"12,83"	"4,56"	3
02:14.6	"12,92"	"4,64"	3
02:14.7	"13,01"	"4,55"	3
02:14.8	"13,10"	"4,45"	3
02:14.9	"13,10"	"4,46"	3
02:15.0	"13,11"	"4,46"	3
02:15.0	"13,20"	"4,46"	3
02:15.0	"13,29"	"4,45"	3
02:15.1	"13,29"	"4,44"	3
02:15.2	"13,38"	"4,35"	3
02:15.3	"13,47"	"4,26"	3
02:15.4	"13,47"	"4,27"	3
02:15.4	"13,57"	"4,27"	3
02:15.5	"13,66"	"4,27"	3
02:15.6	"13,66"	"4,26"	3
02:15.7	"13,84"	"4,26"	3
02:15.8	"13,84"	"4,25"	3
02:15.8	"13,93"	"4,16"	3
02:16.0	"13,93"	"4,17"	3
02:16.0	"13,94"	"4,17"	3
02:16.0	"14,03"	"4,17"	3
02:16.1	"14,12"	"4,17"	3
02:16.2	"14,13"	"4,17"	3
02:16.3	"14,22"	"4,08"	3
02:16.3	"14,31"	"4,17"	3
02:16.4	"14,31"	"4,16"	3
02:16.5	"14,40"	"4,07"	3
02:16.6	"14,41"	"4,07"	3
02:16.6	"14,50"	"4,07"	3
02:16.7	"14,59"	"4,07"	3
02:16.9	"14,60"	"4,07"	3
02:16.9	"14,69"	"3,98"	3
02:17.0	"14,78"	"4,07"	3
02:17.1	"14,78"	"4,06"	3
02:17.1	"14,87"	"3,97"	3
02:17.2	"14,87"	"3,98"	3
02:17.3	"14,88"	"3,98"	3
02:17.4	"14,97"	"3,98"	3
02:17.4	"15,06"	"3,98"	3
02:17.6	"15,06"	"3,99"	3
02:17.6	"15,07"	"3,99"	3
02:17.7	"15,07"	"3,89"	3
02:17.7	"15,25"	"3,89"	3
02:17.8	"15,24"	"3,89"	3
02:17.9	"15,25"	"3,89"	3
02:18.0	"15,35"	"3,89"	3
02:18.1	"15,44"	"3,89"	3
02:18.1	"15,43"	"3,89"	3
02:18.2	"15,44"	"3,89"	3
02:18.4	"15,44"	"3,80"	3
02:18.4	"15,53"	"3,89"	3
02:18.4	"15,62"	"3,88"	3
02:18.5	"15,62"	"3,97"	3
02:18.6	"15,63"	"3,96"	3
02:18.6	"15,71"	"3,87"	3
02:18.8	"15,72"	"3,87"	3
02:18.9	"15,72"	"3,78"	3
02:18.9	"15,90"	"3,59"	3
02:19.0	"15,87"	"2,48"	3
02:19.0	"14,19"	"1,68"	3
02:19.0	"13,64"	"1,97"	3
02:19.1	"13,37"	"2,16"	3
02:19.1	"13,46"	"2,26"	3
02:19.2	"13,37"	"2,35"	3
02:19.2	"13,38"	"2,91"	3
02:19.2	"13,96"	"3,91"	3
02:19.3	"15,17"	"4,08"	3
02:19.3	"15,70"	"2,76"	3
02:19.4	"14,21"	"2,80"	3
02:19.4	"14,41"	"3,53"	3
02:19.4	"14,69"	"3,62"	3
02:19.5	"15,16"	"3,61"	3
02:19.5	"15,34"	"3,52"	3
02:19.6	"15,52"	"3,51"	3
02:19.6	"15,71"	"3,42"	3
02:19.6	"15,70"	"3,32"	3
02:19.7	"15,89"	"3,23"	3
02:19.7	"16,16"	"2,94"	3
02:19.8	"16,25"	"2,76"	3
02:19.8	"16,34"	"2,67"	3
02:19.9	"16,43"	"2,67"	3
02:19.9	"16,52"	"2,66"	3
02:20.0	"16,52"	"2,57"	3
02:20.0	"16,61"	"2,57"	3
02:20.0	"16,52"	"2,48"	3
02:20.1	"16,70"	"2,29"	3
02:20.1	"17,06"	"1,91"	3
02:20.2	"17,33"	"1,44"	3
02:20.2	"17,52"	"1,35"	3
02:20.2	"17,70"	"1,25"	3
02:20.3	"17,78"	"1,15"	3
02:20.4	"17,69"	"1,15"	3
02:20.4	"17,86"	"0,78"	3
02:20.5	"13,84"	"-0,71"	3
02:20.5	"14,31"	"-0,63"	3
02:20.6	"14,47"	"-1,56"	3
02:20.6	"13,99"	"-2,38"	3
02:20.6	"13,22"	"-3,57"	3
02:20.7	"12,37"	"-4,67"	3
02:20.7	"11,60"	"-5,67"	3
02:20.8	"11,31"	"-6,03"	3
02:20.8	"11,12"	"-6,31"	3
02:20.8	"11,03"	"-6,40"	3
02:20.9	"11,12"	"-6,49"	3
02:20.9	"10,84"	"-6,57"	3
02:21.0	"10,28"	"-6,74"	3
02:21.0	"8,13"	"-6,33"	3
02:21.0	"6,56"	"-4,66"	3
02:21.1	"8,47"	"-6,46"	3
02:21.1	"7,24"	"-7,64"	3
02:21.2	"6,79"	"-5,86"	3
02:21.2	"6,89"	"-5,40"	3
02:21.2	"7,08"	"-5,22"	3
02:21.3	"7,65"	"-4,67"	3
02:21.3	"8,22"	"-4,31"	3
02:21.4	"8,59"	"-4,14"	3
02:21.4	"8,78"	"-4,05"	3
02:21.4	"8,87"	"-4,05"	3
02:21.5	"8,96"	"-4,14"	3
02:21.6	"9,06"	"-4,06"	3
02:21.6	"9,24"	"-4,06"	3
02:21.6	"10,41"	"-6,11"	3
02:21.7	"8,14"	"-6,66"	3
02:21.7	"8,92"	"-5,19"	3
02:21.8	"10,04"	"-6,52"	3
02:21.8	"8,91"	"-7,06"	3
02:21.8	"8,19"	"-6,30"	3
02:21.9	"8,21"	"-5,56"	3
02:21.9	"8,49"	"-5,28"	3
02:22.0	"8,87"	"-5,11"	3
02:22.0	"8,96"	"-5,20"	3
02:22.0	"9,52"	"-5,12"	3
02:22.1	"10,73"	"-5,05"	3
02:22.1	"11,96"	"-6,02"	3
02:22.2	"10,35"	"-7,28"	3
