time 	x	y	
01:27.2	"35,92"	"-14,71"	1
01:27.2	"35,88"	"-14,62"	1
01:27.3	"35,83"	"-14,58"	1
01:27.3	"35,61"	"-14,45"	1
01:27.4	"35,22"	"-14,14"	1
01:27.5	"34,44"	"-13,44"	1
01:27.5	"33,78"	"-12,92"	1
01:27.6	"33,56"	"-12,70"	1
01:27.6	"33,43"	"-12,57"	1
01:27.7	"33,35"	"-12,48"	1
01:27.8	"33,22"	"-12,39"	1
01:27.9	"33,21"	"-12,39"	1
01:27.9	"32,87"	"-12,17"	1
01:27.9	"32,69"	"-12,13"	1
01:28.0	"32,60"	"-12,08"	1
01:28.1	"32,56"	"-12,08"	1
01:28.3	"32,56"	"-12,13"	1
01:28.4	"32,52"	"-12,13"	1
01:28.4	"32,52"	"-12,17"	1
01:28.5	"32,34"	"-12,08"	1
01:28.6	"32,21"	"-12,00"	1
01:28.6	"32,12"	"-11,91"	1
01:28.7	"32,04"	"-11,91"	1
01:28.7	"31,99"	"-11,86"	1
01:28.8	"31,95"	"-11,86"	1
01:28.9	"31,86"	"-11,82"	1
01:28.9	"31,82"	"-11,78"	1
01:29.0	"31,77"	"-11,78"	1
01:29.0	"31,69"	"-11,78"	1
01:29.1	"31,60"	"-11,78"	1
01:29.2	"31,56"	"-11,78"	1
01:29.2	"31,51"	"-11,78"	1
01:29.3	"31,47"	"-11,78"	1
01:29.3	"31,42"	"-11,77"	1
01:29.4	"31,38"	"-11,77"	1
01:29.5	"31,38"	"-11,82"	1
01:29.5	"31,34"	"-11,82"	1
01:29.8	"31,25"	"-11,77"	1
01:29.9	"31,12"	"-11,73"	1
01:29.9	"30,94"	"-11,73"	1
01:30.0	"30,77"	"-11,77"	1
01:30.1	"30,73"	"-11,82"	1
01:30.1	"30,68"	"-11,82"	1
01:30.2	"30,51"	"-11,82"	1
01:30.2	"30,38"	"-11,77"	1
01:30.3	"30,25"	"-11,82"	1
01:30.4	"29,90"	"-11,86"	1
01:30.4	"29,55"	"-11,86"	1
01:30.5	"29,42"	"-11,86"	1
01:30.5	"29,33"	"-11,90"	1
01:30.6	"29,29"	"-11,90"	1
01:30.7	"29,24"	"-11,90"	1
01:30.7	"29,24"	"-11,94"	1
01:30.8	"29,20"	"-11,94"	1
01:30.8	"29,15"	"-11,94"	1
01:30.9	"28,89"	"-11,94"	1
01:31.0	"28,37"	"-11,90"	1
01:31.0	"28,15"	"-11,86"	1
01:31.1	"28,02"	"-11,86"	1
01:31.1	"27,93"	"-11,86"	1
01:31.2	"27,89"	"-11,86"	1
01:31.3	"27,80"	"-11,81"	1
01:31.5	"27,80"	"-11,77"	1
01:31.5	"27,67"	"-11,72"	1
01:31.6	"27,63"	"-11,72"	1
01:31.6	"27,58"	"-11,68"	1
01:31.7	"27,54"	"-11,64"	1
01:31.8	"27,45"	"-11,64"	1
01:31.8	"27,24"	"-11,64"	1
01:31.9	"27,24"	"-11,68"	1
01:31.9	"27,15"	"-11,64"	1
01:32.0	"26,89"	"-11,68"	1
01:32.1	"26,84"	"-11,72"	1
01:32.1	"26,58"	"-11,81"	1
01:32.2	"26,49"	"-11,85"	1
01:32.2	"26,36"	"-11,94"	1
01:32.3	"26,10"	"-12,20"	1
01:32.3	"26,06"	"-12,20"	1
01:32.4	"25,92"	"-12,38"	1
01:32.4	"25,88"	"-12,42"	1
01:32.5	"25,79"	"-12,46"	1
01:32.5	"25,66"	"-12,51"	1
