time	x	y	
01:27.2	"37,61"	"-16,29"	1
01:27.2	"36,96"	"-16,10"	1
01:27.3	"36,40"	"-16,01"	1
01:27.3	"36,40"	"-16,00"	1
01:27.3	"35,92"	"-15,87"	1
01:27.4	"35,49"	"-15,86"	1
01:27.5	"35,31"	"-15,85"	1
01:27.5	"35,27"	"-15,85"	1
01:27.6	"34,96"	"-15,93"	1
01:27.6	"34,44"	"-16,23"	1
01:27.7	"34,48"	"-16,23"	1
01:27.7	"33,25"	"-17,03"	1
01:27.7	"33,21"	"-17,03"	1
01:27.8	"32,46"	"-17,58"	1
01:27.8	"31,58"	"-18,08"	1
01:27.9	"30,70"	"-18,58"	1
01:27.9	"30,22"	"-19,01"	1
01:28.0	"29,77"	"-19,52"	1
01:28.1	"29,76"	"-20,21"	1
01:28.1	"30,40"	"-20,70"	1
01:28.2	"31,44"	"-20,59"	1
01:28.2	"32,32"	"-20,05"	1
01:28.3	"32,82"	"-19,28"	1
01:28.3	"32,81"	"-19,28"	1
01:28.4	"32,75"	"-18,15"	1
01:28.4	"32,11"	"-17,40"	1
01:28.5	"32,16"	"-17,40"	1
01:28.5	"31,21"	"-17,16"	1
01:28.6	"30,59"	"-17,58"	1
01:28.6	"30,66"	"-18,32"	1
01:28.7	"31,44"	"-18,82"	1
01:28.7	"31,44"	"-18,81"	1
01:28.7	"32,44"	"-18,57"	1
01:28.8	"33,33"	"-17,64"	1
01:28.9	"33,69"	"-16,56"	1
01:28.9	"33,63"	"-15,52"	1
01:29.0	"33,21"	"-14,86"	1
01:29.0	"32,74"	"-14,54"	1
01:29.1	"32,22"	"-14,40"	1
01:29.2	"31,91"	"-14,48"	1
01:29.2	"31,82"	"-14,57"	1
01:29.3	"31,60"	"-15,09"	1
01:29.4	"31,62"	"-16,04"	1
01:29.5	"31,96"	"-16,61"	1
01:29.5	"32,47"	"-16,93"	1
01:29.6	"33,17"	"-16,94"	1
01:29.6	"33,78"	"-16,73"	1
01:29.7	"34,00"	"-16,48"	1
01:29.8	"34,00"	"-16,30"	1
01:29.8	"34,23"	"-15,96"	1
01:29.9	"34,84"	"-15,50"	1
01:29.9	"35,72"	"-15,30"	1
01:30.0	"36,49"	"-15,44"	1
01:30.1	"37,19"	"-15,63"	1
01:30.1	"37,84"	"-15,69"	1
01:30.2	"38,54"	"-15,40"	1
01:30.2	"39,11"	"-14,76"	1
01:30.3	"39,65"	"-14,03"	1
01:30.4	"39,23"	"-12,98"	1
01:30.4	"38,25"	"-12,09"	1
01:30.5	"37,00"	"-11,63"	1
01:30.5	"35,65"	"-11,82"	1
01:30.6	"34,77"	"-12,67"	1
01:30.7	"34,62"	"-13,49"	1
01:30.7	"34,92"	"-14,11"	1
01:30.8	"35,48"	"-14,34"	1
01:30.8	"36,04"	"-14,22"	1
01:30.9	"36,61"	"-13,75"	1
01:31.0	"36,76"	"-13,10"	1
01:31.0	"36,76"	"-12,97"	1
01:31.1	"36,90"	"-12,54"	1
01:31.1	"37,17"	"-11,85"	1
01:31.2	"37,46"	"-10,56"	1
01:31.3	"37,45"	"-9,08"	1
01:31.3	"37,12"	"-7,90"	1
01:31.4	"36,48"	"-7,15"	1
01:31.5	"35,62"	"-7,00"	1
01:31.5	"35,09"	"-7,34"	1
01:31.6	"35,08"	"-7,99"	1
01:31.6	"35,84"	"-8,88"	1
01:31.7	"36,71"	"-9,07"	1
01:31.8	"37,41"	"-8,73"	1
01:31.8	"37,90"	"-8,05"	1
01:31.9	"37,96"	"-7,22"	1
01:31.9	"37,71"	"-6,53"	1
01:32.0	"37,46"	"-6,35"	1
01:32.1	"37,28"	"-6,30"	1
01:32.1	"37,20"	"-6,34"	1
01:32.2	"37,11"	"-6,25"	1
01:32.2	"36,33"	"-6,41"	1
01:32.3	"35,31"	"-7,09"	1
01:32.4	"34,69"	"-7,85"	1
01:32.4	"34,55"	"-8,55"	1
01:32.5	"34,71"	"-9,20"	1
01:32.5	"35,22"	"-9,69"	1
01:32.6	"36,00"	"-9,83"	1
01:32.7	"36,57"	"-9,67"	1
01:32.7	"36,83"	"-9,50"	1
01:32.8	"36,96"	"-9,42"	1
01:32.8	"37,01"	"-9,29"	1
01:32.9	"37,01"	"-9,16"	1
01:33.0	"36,97"	"-9,07"	1
01:33.0	"36,93"	"-8,94"	1
01:33.1	"36,89"	"-8,42"	1
01:33.1	"37,21"	"-7,64"	1
01:33.2	"38,13"	"-7,18"	1
01:33.3	"39,21"	"-7,47"	1
01:33.3	"39,85"	"-8,35"	1
01:33.4	"39,83"	"-9,39"	1
01:33.4	"39,46"	"-10,29"	1
01:33.5	"38,92"	"-11,11"	1
01:33.6	"38,21"	"-11,96"	1
01:33.6	"37,63"	"-12,64"	1
01:33.7	"37,06"	"-13,28"	1
01:33.7	"36,43"	"-14,09"	1
01:33.8	"35,81"	"-14,78"	1
01:33.9	"35,15"	"-15,50"	1
01:33.9	"34,44"	"-16,23"	1
01:34.0	"33,60"	"-16,95"	1
01:34.1	"32,72"	"-17,45"	1
01:34.1	"31,76"	"-17,74"	1
01:34.2	"30,81"	"-17,76"	1
01:34.2	"29,90"	"-17,53"	1
01:34.3	"29,04"	"-17,03"	1
01:34.4	"28,49"	"-16,20"	1
01:34.4	"28,47"	"-15,33"	1
01:34.5	"29,13"	"-14,65"	1
01:34.5	"30,00"	"-14,71"	1
01:34.6	"30,68"	"-15,28"	1
01:34.7	"30,88"	"-16,11"	1
01:34.7	"30,61"	"-16,93"	1
01:34.8	"29,94"	"-17,61"	1
01:34.8	"29,20"	"-17,90"	1
01:34.9	"28,50"	"-17,98"	1
01:35.0	"27,72"	"-17,87"	1
01:35.0	"27,08"	"-17,56"	1
01:35.1	"26,48"	"-16,94"	1
01:35.1	"26,19"	"-16,24"	1
01:35.2	"26,21"	"-15,41"	1
01:35.3	"26,66"	"-14,73"	1
01:35.3	"27,27"	"-14,22"	1
01:35.4	"28,02"	"-14,02"	1
01:35.4	"28,71"	"-13,94"	1
01:35.5	"29,10"	"-13,99"	1
01:35.6	"29,45"	"-13,96"	1
01:35.6	"30,05"	"-14,14"	1
01:35.7	"30,74"	"-14,81"	1
01:35.7	"30,94"	"-15,64"	1
01:35.8	"30,97"	"-16,16"	1
01:35.9	"31,01"	"-16,33"	1
01:35.9	"30,70"	"-16,85"	1
01:36.0	"29,80"	"-17,96"	1
01:36.0	"28,48"	"-19,10"	1
01:36.1	"27,43"	"-19,69"	1
01:36.2	"26,94"	"-20,24"	1
01:36.2	"26,58"	"-20,97"	1
02:22.3	"38,41"	"-16,96"	2
