time	x	y	
01:21.5	"25,36"	"14,79"	1
01:21.7	"25,32"	"14,63"	1
01:21.8	"24,48"	"13,29"	1
01:21.9	"24,27"	"12,88"	1
01:22.0	"24,15"	"12,63"	1
01:22.2	"24,19"	"12,71"	1
01:22.3	"24,15"	"12,88"	1
01:22.4	"24,10"	"12,92"	1
01:22.5	"24,10"	"12,96"	1
01:22.6	"24,11"	"12,96"	1
01:22.7	"24,11"	"13,00"	1
01:22.8	"24,11"	"13,04"	1
01:23.2	"24,11"	"13,09"	1
01:23.5	"24,11"	"13,13"	1
01:23.7	"24,15"	"13,34"	1
01:23.8	"24,86"	"13,38"	1
01:23.9	"24,90"	"12,88"	1
01:24.0	"24,35"	"12,33"	1
01:24.2	"24,35"	"12,34"	1
01:24.4	"24,39"	"12,29"	1
01:24.7	"24,27"	"12,25"	1
01:24.8	"24,18"	"12,29"	1
01:24.9	"24,02"	"12,29"	1
01:25.0	"23,77"	"12,38"	1
01:25.2	"23,31"	"12,34"	1
01:25.3	"23,01"	"12,09"	1
01:25.4	"23,39"	"11,92"	1
01:25.5	"23,64"	"12,17"	1
01:25.7	"23,72"	"12,17"	1
01:25.9	"23,72"	"12,21"	1
01:26.0	"23,72"	"12,17"	1
01:26.0	"23,72"	"12,21"	1
01:26.1	"23,73"	"12,21"	1
01:26.3	"23,72"	"12,21"	1
01:26.3	"23,73"	"12,21"	1
01:26.4	"23,73"	"12,25"	1
01:26.9	"23,77"	"12,38"	1
01:27.0	"23,81"	"12,42"	1
01:27.2	"23,94"	"12,67"	1
01:27.3	"23,98"	"12,88"	1
01:27.4	"23,94"	"13,00"	1
01:27.5	"23,90"	"13,13"	1
01:27.7	"23,73"	"13,42"	1
01:27.8	"23,57"	"13,59"	1
01:27.9	"23,61"	"13,55"	1
01:28.1	"23,61"	"13,54"	1
01:28.4	"23,57"	"13,54"	1
01:28.5	"23,65"	"13,50"	1
01:28.7	"23,52"	"13,54"	1
01:28.8	"23,57"	"13,54"	1
01:28.9	"23,52"	"13,54"	1
01:29.0	"23,52"	"13,50"	1
01:29.2	"23,48"	"13,50"	1
01:29.4	"23,36"	"13,54"	1
01:29.5	"22,90"	"13,63"	1
01:29.7	"22,65"	"13,63"	1
01:29.8	"22,19"	"13,67"	1
01:29.9	"21,90"	"13,63"	1
01:30.1	"21,77"	"13,63"	1
01:30.2	"21,73"	"13,67"	1
01:30.4	"21,77"	"13,67"	1
01:30.6	"21,81"	"13,67"	1
01:30.7	"21,85"	"13,72"	1
01:30.7	"21,81"	"13,67"	1
01:30.8	"21,85"	"13,72"	1
01:30.9	"21,85"	"13,71"	1
01:31.1	"21,98"	"13,67"	1
01:31.2	"22,15"	"13,59"	1
01:31.3	"22,27"	"13,21"	1
01:31.4	"22,19"	"13,17"	1
01:31.6	"22,35"	"13,00"	1
01:31.7	"23,10"	"12,46"	1
01:31.8	"23,23"	"12,41"	1
01:31.9	"23,52"	"12,41"	1
01:32.1	"23,85"	"12,41"	1
01:32.2	"24,14"	"12,49"	1
01:32.3	"24,52"	"12,58"	1
01:32.4	"24,56"	"12,62"	1
01:32.6	"25,06"	"12,79"	1
01:32.7	"25,27"	"12,87"	1
01:32.8	"25,31"	"12,87"	1
01:33.1	"25,36"	"12,87"	1
01:33.2	"25,36"	"12,83"	1
01:33.4	"25,36"	"12,82"	1
01:33.4	"25,36"	"12,78"	1
01:33.8	"25,40"	"12,83"	1
01:33.8	"25,36"	"12,78"	1
01:33.9	"25,36"	"12,79"	1
01:34.1	"25,40"	"12,83"	1
01:34.2	"25,48"	"12,91"	1
01:34.3	"25,57"	"12,99"	1
01:34.4	"25,61"	"12,99"	1
01:34.6	"25,65"	"12,99"	1
01:34.7	"25,69"	"13,08"	1
01:34.8	"25,78"	"13,20"	1
01:34.9	"25,82"	"13,33"	1
01:35.1	"25,86"	"13,54"	1
01:35.2	"25,73"	"13,87"	1
01:35.3	"25,40"	"14,16"	1
01:35.4	"25,32"	"14,08"	1
01:35.6	"25,23"	"14,04"	1
01:35.6	"25,24"	"14,04"	1
01:35.7	"25,19"	"14,04"	1
01:35.8	"25,15"	"14,04"	1
01:35.9	"25,15"	"14,08"	1
01:36.3	"25,16"	"14,08"	1
01:36.4	"25,20"	"14,08"	1
01:36.9	"25,20"	"14,12"	1
01:37.0	"25,20"	"14,08"	1
01:37.1	"25,20"	"14,20"	1
01:37.2	"25,20"	"14,29"	1
01:37.3	"25,20"	"14,25"	1
01:37.6	"25,20"	"14,29"	1
01:37.7	"25,20"	"14,41"	1
01:37.9	"25,24"	"14,46"	1
01:38.1	"25,32"	"14,62"	1
01:38.2	"25,70"	"14,91"	1
01:38.3	"26,24"	"15,25"	1
01:38.4	"26,29"	"15,33"	1
01:38.6	"26,29"	"15,37"	1
01:38.7	"26,37"	"15,41"	1
01:38.8	"26,37"	"15,45"	1
01:39.0	"26,37"	"15,41"	1
01:39.1	"26,37"	"15,45"	1
01:39.2	"26,37"	"15,49"	1
01:39.4	"26,62"	"15,45"	1
01:39.6	"26,70"	"15,49"	1
01:39.7	"26,71"	"15,49"	1
01:39.7	"26,83"	"15,49"	1
01:39.8	"27,00"	"15,37"	1
01:39.9	"27,08"	"15,03"	1
01:40.1	"26,66"	"14,24"	1
01:40.2	"26,49"	"14,24"	1
01:40.3	"26,36"	"14,28"	1
01:40.4	"26,24"	"14,28"	1
01:40.6	"26,24"	"14,24"	1
01:40.7	"26,28"	"14,28"	1
01:40.8	"26,32"	"14,28"	1
01:41.9	"26,28"	"14,24"	1
02:04.1	"28,85"	"16,21"	2
02:04.1	"28,81"	"16,21"	2
02:04.2	"28,72"	"16,29"	2
02:04.4	"28,31"	"16,58"	2
02:04.5	"27,68"	"16,79"	2
02:04.6	"27,10"	"17,05"	2
02:04.7	"26,68"	"17,13"	2
02:04.9	"26,60"	"17,09"	2
02:05.0	"26,60"	"17,13"	2
02:05.1	"26,47"	"17,09"	2
02:05.2	"25,80"	"16,80"	2
02:05.4	"25,38"	"16,39"	2
02:05.5	"25,34"	"15,84"	2
02:05.6	"26,22"	"15,67"	2
02:05.7	"26,34"	"16,59"	2
02:05.9	"26,30"	"17,05"	2
02:06.0	"26,05"	"17,68"	2
02:06.1	"25,14"	"18,43"	2
02:06.2	"24,72"	"19,10"	2
02:06.4	"24,60"	"19,60"	2
02:06.5	"24,68"	"19,85"	2
02:06.6	"24,81"	"19,94"	2
02:06.7	"24,89"	"19,98"	2
02:06.9	"25,35"	"20,06"	2
02:07.0	"25,44"	"20,06"	2
02:07.1	"25,48"	"20,10"	2
02:07.2	"25,52"	"20,14"	2
02:07.4	"25,73"	"20,27"	2
02:07.7	"25,69"	"20,27"	2
02:07.9	"25,69"	"20,31"	2
02:08.0	"25,81"	"20,31"	2
02:08.1	"26,02"	"20,35"	2
02:08.2	"26,06"	"20,39"	2
02:08.5	"26,19"	"20,52"	2
02:08.6	"26,23"	"20,52"	2
02:08.7	"26,23"	"20,56"	2
02:08.8	"26,23"	"20,55"	2
02:08.9	"26,35"	"20,55"	2
02:09.0	"26,98"	"20,55"	2
02:09.1	"26,98"	"20,54"	2
02:09.1	"27,40"	"20,54"	2
02:09.2	"27,36"	"20,55"	2
02:09.4	"27,40"	"20,55"	2
02:09.5	"27,56"	"20,55"	2
02:09.6	"28,23"	"20,50"	2
02:09.7	"28,32"	"20,46"	2
02:09.9	"28,36"	"20,46"	2
02:10.0	"28,40"	"20,42"	2
02:10.1	"28,44"	"20,42"	2
02:10.2	"28,56"	"20,42"	2
02:10.4	"28,98"	"20,38"	2
02:18.7	"32,65"	"18,41"	3
02:18.8	"33,24"	"17,61"	3
02:18.8	"33,23"	"17,61"	3
02:18.9	"33,40"	"17,32"	3
02:19.0	"33,52"	"17,07"	3
02:19.1	"33,61"	"17,03"	3
02:19.3	"34,44"	"16,23"	3
02:19.4	"35,06"	"15,39"	3
02:19.5	"35,15"	"15,19"	3
02:19.5	"35,10"	"15,19"	3
02:19.6	"35,11"	"15,19"	3
02:19.6	"35,23"	"14,89"	3
02:19.8	"35,27"	"14,77"	3
02:19.9	"35,35"	"14,73"	3
02:19.9	"35,31"	"14,73"	3
02:20.0	"35,85"	"14,06"	3
02:20.1	"36,06"	"13,72"	3
02:20.3	"36,10"	"13,68"	3
02:20.4	"36,19"	"13,60"	3
02:20.5	"36,39"	"13,30"	3
02:20.6	"36,52"	"13,05"	3
02:20.8	"36,56"	"13,01"	3
02:20.9	"36,60"	"12,89"	3
02:21.0	"36,97"	"12,05"	3
02:21.1	"37,30"	"10,34"	3
02:21.3	"37,43"	"10,00"	3
02:21.4	"37,42"	"9,88"	3
02:21.5	"37,38"	"9,88"	3
02:21.6	"37,34"	"9,96"	3
02:21.8	"37,34"	"9,92"	3
02:21.9	"37,34"	"9,96"	3
02:22.0	"37,26"	"10,04"	3
02:22.1	"37,38"	"9,92"	3
02:22.3	"37,30"	"10,08"	3
02:22.4	"37,17"	"10,21"	3
02:22.5	"37,17"	"10,17"	3
02:22.6	"37,21"	"10,17"	3
02:22.8	"37,26"	"10,54"	3
02:22.9	"37,13"	"10,92"	3
02:22.9	"37,13"	"10,88"	3
02:23.0	"37,05"	"10,96"	3
02:23.1	"37,01"	"10,96"	3
02:23.3	"36,46"	"10,50"	3
02:23.4	"36,34"	"10,38"	3
02:23.6	"36,25"	"10,30"	3
02:23.8	"36,34"	"10,38"	3
02:23.9	"35,96"	"10,00"	3
02:24.0	"35,08"	"9,21"	3
02:24.1	"34,70"	"8,96"	3
02:24.2	"34,70"	"8,97"	3
02:24.3	"34,58"	"8,88"	3
02:24.4	"34,41"	"8,76"	3
02:24.5	"34,54"	"8,84"	3
02:24.6	"33,91"	"8,47"	3
02:24.8	"32,40"	"7,47"	3
02:24.8	"32,36"	"7,43"	3
02:24.9	"32,40"	"7,47"	3
02:24.9	"31,78"	"7,10"	3
02:25.0	"31,77"	"7,10"	3
02:25.0	"31,61"	"7,01"	3
02:25.3	"31,23"	"6,80"	3
02:25.4	"30,40"	"6,31"	3
02:25.5	"30,27"	"6,27"	3
02:25.6	"30,10"	"6,22"	3
02:25.8	"30,10"	"6,27"	3
02:25.9	"29,43"	"6,10"	3
02:30.8	"28,34"	"5,61"	4
02:30.9	"28,30"	"5,61"	4
02:31.0	"28,30"	"5,56"	4
02:31.1	"28,30"	"5,57"	4
02:31.2	"28,21"	"5,36"	4
02:31.3	"28,17"	"5,44"	4
02:31.4	"28,09"	"5,48"	4
02:31.5	"28,01"	"5,44"	4
02:31.7	"28,05"	"5,48"	4
02:31.8	"28,09"	"5,53"	4
02:31.9	"28,22"	"5,57"	4
02:32.2	"28,30"	"5,61"	4
02:32.3	"28,09"	"5,49"	4
02:32.4	"27,84"	"5,44"	4
02:32.5	"27,92"	"5,57"	4
02:32.7	"27,92"	"5,44"	4
02:32.8	"27,84"	"5,28"	4
02:32.9	"27,88"	"5,40"	4
02:33.0	"27,84"	"5,40"	4
02:33.2	"27,84"	"5,44"	4
02:33.6	"27,83"	"5,44"	4
02:33.7	"27,79"	"5,44"	4
02:33.9	"27,88"	"5,65"	4
02:34.0	"28,00"	"5,69"	4
02:34.2	"28,04"	"5,73"	4
02:34.3	"28,04"	"5,77"	4
02:34.4	"27,88"	"5,69"	4
02:34.5	"27,71"	"5,57"	4
02:34.7	"27,54"	"5,40"	4
02:34.8	"27,50"	"5,40"	4
02:34.9	"27,42"	"5,32"	4
02:35.0	"27,25"	"5,23"	4
02:35.2	"27,29"	"5,19"	4
02:35.3	"27,33"	"5,23"	4
02:35.4	"27,42"	"5,23"	4
02:35.5	"27,33"	"5,23"	4
02:35.7	"27,25"	"5,19"	4
02:35.9	"27,29"	"5,19"	4
02:36.0	"27,25"	"5,19"	4
02:36.2	"27,42"	"5,49"	4
02:36.3	"28,04"	"5,98"	4
02:36.3	"28,04"	"5,99"	4
02:36.4	"28,25"	"6,11"	4
02:36.5	"28,13"	"5,94"	4
02:36.7	"28,00"	"5,86"	4
02:36.8	"27,92"	"5,78"	4
02:37.0	"27,96"	"5,82"	4
02:37.3	"27,92"	"5,82"	4
02:37.4	"27,92"	"5,86"	4
02:37.5	"27,83"	"5,82"	4
02:37.7	"26,96"	"5,53"	4
02:37.7	"26,95"	"5,53"	4
02:37.8	"26,66"	"5,45"	4
02:38.0	"26,66"	"5,41"	4
02:38.0	"26,58"	"5,41"	4
02:38.2	"26,62"	"5,45"	4
02:38.4	"26,66"	"5,45"	4
02:38.5	"26,62"	"5,45"	4
02:38.7	"26,66"	"5,49"	4
02:38.8	"26,49"	"5,20"	4
02:38.9	"25,61"	"4,24"	4
02:39.0	"25,49"	"4,16"	4
02:39.2	"25,45"	"4,16"	4
02:39.3	"25,49"	"4,16"	4
02:39.4	"25,45"	"4,16"	4
02:39.5	"25,24"	"4,16"	4
02:39.7	"24,19"	"4,08"	4
02:39.8	"23,74"	"4,08"	4
02:39.9	"23,61"	"4,12"	4
02:40.0	"23,49"	"4,16"	4
02:40.1	"23,49"	"4,17"	4
02:40.2	"23,49"	"4,21"	4
02:40.3	"23,03"	"4,38"	4
02:40.3	"23,03"	"4,37"	4
02:40.4	"21,90"	"4,63"	4
02:40.5	"21,78"	"4,67"	4
02:40.7	"21,57"	"4,76"	4
02:40.7	"21,57"	"4,75"	4
02:40.8	"21,32"	"4,76"	4
02:40.8	"21,32"	"4,75"	4
02:40.9	"21,23"	"4,71"	4
