time	frame	x	y	
01:27.8	-2635	"21,7"	"-17,97"	1
01:27.9	-2637	"21,74"	"-17,69"	1
01:28.0	-2641	"21,81"	"-17,41"	1
01:28.2	-2645	"21,85"	"-17,17"	1
01:28.3	-2649	"21,89"	"-16,93"	1
01:28.4	-2652	"21,97"	"-16,85"	1
01:28.5	-2656	"22,29"	"-17,04"	1
01:28.7	-2660	"22,37"	"-17,52"	1
01:28.8	-2663	"22,38"	"-17,52"	1
01:28.8	-2664	"21,86"	"-17,97"	1
01:28.9	-2667	"21,66"	"-17,97"	1
01:29.0	-2671	"21,5"	"-17,89"	1
01:29.2	-2675	"21,3"	"-17,81"	1
01:29.2	-2676	"21,3"	"-17,85"	1
01:29.3	-2679	"21,06"	"-18,26"	1
01:29.4	-2682	"21,06"	"-18,25"	1
01:29.4	-2683	"21,14"	"-18,9"	1
01:29.5	-2686	"21,18"	"-18,98"	1
01:29.7	-2690	"21,18"	"-18,9"	1
01:29.7	-2691	"21,18"	"-18,89"	1
01:29.8	-2693	"21,19"	"-18,89"	1
01:29.8	-2694	"21,22"	"-18,81"	1
01:29.8	-2695	"21,23"	"-18,81"	1
01:29.9	-2698	"21,31"	"-19,01"	1
01:30.0	-2701	"21,31"	"-19,05"	1
01:30.3	-2709	"21,34"	"-18,81"	1
01:30.4	-2713	"21,38"	"-18,53"	1
01:30.5	-2716	"21,38"	"-18,33"	1
01:30.7	-2720	"21,42"	"-18,09"	1
01:30.8	-2724	"21,54"	"-18,09"	1
01:30.9	-2728	"21,94"	"-18,17"	1
01:31.0	-2731	"22,06"	"-18,05"	1
01:31.2	-2735	"22,18"	"-17,89"	1
01:31.2	-2737	"22,18"	"-17,88"	1
01:31.3	-2739	"22,21"	"-17,64"	1
01:31.4	-2743	"22,29"	"-17,48"	1
01:31.5	-2746	"22,81"	"-17,36"	1
01:31.7	-2750	"23,29"	"-17,35"	1
01:31.8	-2754	"23,7"	"-17,51"	1
01:31.9	-2758	"24,06"	"-17,95"	1
01:32.0	-2761	"23,95"	"-19,03"	1
01:32.2	-2765	"23,53"	"-19,57"	1
01:32.2	-2766	"23,54"	"-19,57"	1
01:32.2	-2767	"23,56"	"-19,58"	1
01:32.3	-2769	"23,15"	"-19,52"	1
01:32.3	-2770	"23,05"	"-19,52"	1
01:32.4	-2771	"23,11"	"-19,52"	1
01:32.4	-2772	"23,05"	"-19,46"	1
01:32.4	-2773	"22,47"	"-19,34"	1
01:32.5	-2774	"22,53"	"-19,34"	1
01:32.5	-2776	"21,74"	"-19,3"	1
01:32.7	-2780	"21,44"	"-19,06"	1
01:32.8	-2783	"21,44"	"-19,05"	1
01:32.8	-2784	"21,12"	"-18,94"	1
01:32.9	-2788	"21,04"	"-18,86"	1
01:33.0	-2791	"21,12"	"-18,94"	1
01:33.2	-2795	"21,28"	"-19,06"	1
01:33.2	-2796	"21,24"	"-19,06"	1
01:33.3	-2799	"21,44"	"-19,08"	1
01:33.3	-2800	"21,44"	"-19,06"	1
01:33.4	-2801	"21,44"	"-19,08"	1
01:33.4	-2802	"21,44"	"-19,06"	1
01:33.4	-2803	"21,48"	"-19,08"	1
01:33.5	-2804	"21,48"	"-19,06"	1
01:33.5	-2805	"21,48"	"-19,08"	1
01:33.5	-2806	"21,6"	"-18,76"	1
01:33.7	-2810	"21,6"	"-18,56"	1
01:33.8	-2814	"21,63"	"-18,28"	1
01:33.9	-2818	"21,67"	-18	1
01:34.0	-2821	"21,71"	"-17,76"	1
01:34.2	-2825	"21,79"	"-17,63"	1
01:34.2	-2826	"21,79"	"-17,64"	1
01:34.3	-2829	"22,03"	"-17,87"	1
01:34.4	-2833	"22,31"	"-18,43"	1
01:34.6	-2837	"22,08"	"-19,06"	1
01:34.6	-2838	"22,08"	"-19,04"	1
01:34.6	-2839	"22,08"	"-19,06"	1
01:34.7	-2840	"21,42"	"-19,67"	1
