time	frame	x	y	
2:41.13	-4834	5,01	-2,26	1
2:41.17	-4835	7,4	0,16	1
2:41.30	-4839	9,72	3,87	1
2:41.43	-4843	10,16	4,67	1
2:41.53	-4846	12,05	7,22	1
2:41.57	-4847	12,01	7,18	1
2:41.67	-4850	14,66	9,31	1
2:41.80	-4854	15,63	10,66	1
2:41.93	-4858	15,55	10,58	1
2:42.03	-4861	15,71	10,71	1
2:42.17	-4865	16,11	10,35	1
2:42.30	-4869	15,75	9,79	1
2:42.43	-4873	15,12	10,03	1
2:42.53	-4876	13,58	11,69	1
2:42.67	-4880	10,9	11,79	1
2:42.80	-4884	10,06	10,16	1
2:42.93	-4888	10,82	9,85	1
2:43.03	-4891	10,85	10,05	1
2:43.17	-4895	10,27	11,36	1
2:43.30	-4899	9,57	12,76	1
2:43.43	-4903	9,21	13	1
2:43.57	-4907	9,79	12,91	1
2:43.67	-4910	9,71	12,13	1
2:43.80	-4914	9,63	11,98	1
2:43.93	-4918	8,96	8,44	1
2:44.07	-4922	7,93	8,39	1
2:44.17	-4925	7,05	9,54	1
2:44.30	-4929	6,88	10,18	1
2:44.43	-4933	7,04	10,54	1
2:44.57	-4937	7,16	10,74	1
2:44.67	-4940	7,33	12,11	1
2:44.80	-4944	7,41	12,27	1
2:44.93	-4948	7,49	12,39	1
2:45.07	-4952	7,49	12,35	1
2:45.17	-4955	7,49	12,31	1
2:45.30	-4959	7,69	12,15	1
2:45.43	-4963	7,81	12,35	1
2:45.57	-4967	7,89	12,47	1
2:45.67	-4970	7,73	12,23	1
2:45.80	-4974	7,49	11,83	1
2:45.93	-4978	5,85	10,97	1
2:46.07	-4982	5,72	10,89	1
2:46.17	-4985	6,24	11,45	1
2:46.30	-4989	6,67	11,77	1
2:46.43	-4993	7,47	12,49	1
2:46.57	-4997	8,02	13,33	1
2:46.67	-5000	8,29	13,69	1
2:46.80	-5004	8,88	13,86	1
2:46.93	-5008	8,96	13,98	1
2:47.07	-5012	10,94	12,9	1
2:47.17	-5015	11,61	12,32	1
2:47.30	-5019	12,13	11,53	1
2:47.43	-5023	12,57	10,69	1
2:47.57	-5027	12,73	10,26	1
2:47.67	-5030	12,85	10,02	1
2:47.80	-5034	12,93	10,06	1
2:47.93	-5038	13,09	10,26	1
2:48.07	-5042	14,67	12,38	1
2:48.20	-5046	15,34	13,3	1
2:48.30	-5049	15,74	13,54	1
2:48.43	-5053	15,38	12,98	1
2:48.57	-5057	14,95	12,18	1
2:48.70	-5061	15,23	11,78	1
2:48.80	-5064	15,68	8,44	1
2:48.93	-5068	15,76	7,17	1
2:49.07	-5072	15,18	4,34	1
2:49.20	-5076	14,96	1,14	1
2:49.30	-5079	14,9	-1,72	1
2:49.43	-5083	15,55	-3,71	1
2:49.57	-5087	16,23	-4,42	1
2:49.70	-5091	16,94	-4,38	1
2:49.80	-5094	17,7	-1,47	1
2:49.93	-5098	18,96	0,8	1
2:50.07	-5102	20,15	2,32	1
2:50.20	-5106	20,62	2,8	1
2:50.30	-5109	20,9	3,12	1
2:50.43	-5113	21,02	3,28	1
2:50.57	-5117	21,05	3,48	1
2:50.70	-5121	20,85	3,56	1
2:50.80	-5124	20,78	3,2	1
2:50.93	-5128	21,17	3,32	1
2:51.07	-5132	21,53	3,96	1
2:51.20	-5136	21,48	4,52	1
2:51.30	-5139	20,59	7,71	1
2:51.43	-5143	20,34	9,18	1
2:51.57	-5147	20,41	10,46	1
