time 	frame	x	y	
2:40.77	-4823	35,26	-18,28	1
2:40.80	-4824	35,42	-17,84	1
2:40.90	-4827	35,7	-17,11	1
2:40.97	-4829	35,7	-17,07	1
2:41.00	-4830	35,7	-17,11	1
2:41.03	-4831	35,94	-16,27	1
2:41.17	-4835	36,61	-14,59	1
2:41.30	-4839	36,81	-14,43	1
2:41.40	-4842	36,65	-14,59	1
2:41.53	-4846	36,65	-14,67	1
2:41.63	-4849	36,69	-14,67	1
2:41.67	-4850	36,73	-14,59	1
2:41.70	-4851	36,73	-14,63	1
2:41.80	-4854	36,8	-14,39	1
2:41.83	-4855	36,81	-14,39	1
2:41.93	-4858	36,92	-14,19	1
2:42.03	-4861	36,96	-14,03	1
2:42.17	-4865	37	-13,95	1
2:42.30	-4869	36,96	-13,91	1
2:42.40	-4872	36,96	-13,87	1
2:42.43	-4873	36,88	-13,83	1
2:42.53	-4876	37,71	-11,06	1
2:42.67	-4880	37,83	-10,34	1
2:42.80	-4884	37,91	-9,82	1
2:42.93	-4888	37,99	-9,54	1
2:43.03	-4891	38,06	-9,3	1
2:43.17	-4895	38,1	-8,86	1
2:43.30	-4899	38,06	-8,18	1
2:43.43	-4903	37,98	-7,58	1
2:43.53	-4906	37,77	-7,1	1
2:43.60	-4908	37,78	-7,1	1
2:43.67	-4910	37,57	-6,62	1
2:43.77	-4913	37,57	-6,58	1
2:43.80	-4914	37,29	-6,1	1
2:43.93	-4918	36,89	-5,55	1
2:44.03	-4921	36,25	-4,83	1
2:44.17	-4925	35,04	-3,67	1
2:44.23	-4927	35,04	-3,71	1
2:44.30	-4929	33,72	-2,52	1
2:44.43	-4933	31,94	0,7	1
2:44.53	-4936	30,77	2,81	1
2:44.67	-4940	30,29	4,29	1
2:44.80	-4944	30,21	5,05	1
2:44.93	-4948	29,88	5,65	1
2:45.03	-4951	29,36	6,29	1
2:45.17	-4955	28,88	6,88	1
2:45.23	-4957	28,84	6,88	1
2:45.30	-4959	28,32	7,56	1
2:45.43	-4963	27,87	8,36	1
2:45.53	-4966	27,55	9,36	1
2:45.67	-4970	27,42	10,36	1
2:45.80	-4974	27,46	11,32	1
2:45.93	-4978	27,58	12,24	1
2:46.03	-4981	27,78	12,68	1
2:46.17	-4985	27,89	12,84	1
2:46.27	-4988	27,93	12,84	1
2:46.30	-4989	28,05	12,76	1
2:46.40	-4992	28,01	12,76	1
2:46.43	-4993	28,06	12,48	1
2:46.53	-4996	27,82	12,24	1
2:46.67	-5000	27,58	12,16	1
2:46.80	-5004	27,38	12,16	1
2:46.93	-5008	27,26	12,32	1
2:47.07	-5012	27,26	12,52	1
2:47.17	-5015	27,26	12,68	1
2:47.30	-5019	27,14	12,88	1
