time	frame	x	y	
3:00.00	-5400	35,15	12,52	1
3:00.07	-5402	35,19	12,48	1
3:00.13	-5404	35,19	12,44	1
3:00.20	-5406	35,23	12,44	1
3:00.33	-5410	35,27	12,44	1
3:00.47	-5414	35,19	12,48	1
3:00.50	-5415	35,19	12,44	1
3:00.70	-5421	34,42	12,8	1
3:00.83	-5425	34,06	12,88	1
3:00.97	-5429	34,02	12,88	1
3:01.20	-5436	33,98	12,92	1
3:01.23	-5437	33,98	12,93	1
3:01.33	-5440	34,02	12,93	1
3:01.47	-5444	33,29	13,05	1
3:01.50	-5445	33,29	13,04	1
3:01.57	-5447	33,01	13,08	1
3:01.70	-5451	32,89	13,12	1
3:01.97	-5459	32,33	13,16	1
3:02.07	-5462	32,01	13,16	1
3:02.20	-5466	31,89	13,2	1
3:02.33	-5470	31,93	13,2	1
3:02.47	-5474	31,85	13,2	1
3:02.57	-5477	31,36	13,32	1
3:02.63	-5479	31,37	13,32	1
3:02.70	-5481	31,33	13,32	1
3:02.83	-5485	31,37	13,32	1
3:02.90	-5487	31,36	13,32	1
3:03.07	-5492	31,12	13,36	1
3:03.20	-5496	31	13,36	1
3:03.33	-5500	31,04	13,4	1
3:03.47	-5504	31,04	13,44	1
3:03.57	-5507	31,04	13,4	1
3:03.70	-5511	31,04	13,36	1
3:03.97	-5519	31,08	13,36	1
3:04.07	-5522	31,12	13,32	1
3:04.33	-5530	31,16	13,36	1
3:04.47	-5534	31	13,2	1
3:04.60	-5538	30,64	12,83	1
3:04.70	-5541	30,6	12,79	1
3:04.83	-5545	30,48	12,75	1
3:04.97	-5549	30,4	12,71	1
3:05.10	-5553	30,36	12,67	1
3:05.20	-5556	30,24	12,55	1
3:05.23	-5557	30,24	12,59	1
3:05.33	-5560	30,12	12,47	1
