time	x	y	
01:28.5	"10,24"	"2,40"	1
01:28.5	"10,29"	"2,36"	1
01:28.7	"10,33"	"2,36"	1
01:28.8	"10,37"	"2,36"	1
01:28.9	"10,41"	"2,32"	1
01:29.0	"10,37"	"2,36"	1
01:29.0	"10,41"	"2,32"	1
01:29.0	"10,37"	"2,36"	1
01:29.2	"10,24"	"2,44"	1
01:29.3	"10,12"	"2,44"	1
01:29.4	"10,03"	"2,48"	1
01:29.5	"10,03"	"2,52"	1
01:29.7	"10,20"	"2,52"	1
01:29.8	"10,53"	"2,48"	1
01:29.9	"10,45"	"2,44"	1
01:30.0	"10,53"	"2,40"	1
01:30.2	"10,58"	"2,44"	1
01:30.3	"10,57"	"2,44"	1
01:30.4	"10,45"	"2,61"	1
01:30.5	"10,28"	"2,65"	1
01:30.7	"10,24"	"2,73"	1
01:30.8	"10,24"	"2,82"	1
01:30.8	"10,24"	"2,86"	1
01:30.9	"10,37"	"2,73"	1
01:31.0	"10,66"	"2,61"	1
01:31.4	"10,61"	"2,61"	1
01:31.5	"10,61"	"2,57"	1
01:31.7	"10,61"	"2,61"	1
01:31.8	"10,57"	"2,74"	1
01:31.9	"10,49"	"2,78"	1
01:32.1	"10,53"	"2,78"	1
01:32.2	"10,74"	"2,69"	1
01:32.3	"10,99"	"2,57"	1
01:32.4	"10,99"	"2,61"	1
01:32.6	"10,95"	"2,61"	1
01:32.7	"10,99"	"2,65"	1
01:32.8	"10,99"	"2,61"	1
01:32.9	"10,99"	"2,53"	1
01:33.1	"10,91"	"2,45"	1
01:33.2	"10,87"	"2,45"	1
01:33.3	"10,91"	"2,49"	1
01:33.4	"11,03"	"2,45"	1
01:33.6	"11,16"	"2,36"	1
01:33.7	"11,20"	"2,28"	1
01:33.8	"11,20"	"2,24"	1
01:33.8	"11,16"	"2,24"	1
01:33.9	"11,24"	"2,20"	1
01:34.1	"11,20"	"2,20"	1
01:34.4	"11,20"	"2,11"	1
01:34.6	"11,24"	"2,11"	1
01:34.7	"11,29"	"2,16"	1
01:34.7	"11,29"	"2,15"	1
01:34.8	"11,28"	"2,15"	1
01:34.8	"11,33"	"2,07"	1
01:34.9	"11,37"	"2,03"	1
01:35.2	"11,41"	"2,07"	1
01:35.3	"11,41"	"2,03"	1
01:35.4	"11,37"	"1,91"	1
01:35.8	"11,45"	"1,95"	1
01:35.9	"11,49"	"1,82"	1
01:36.1	"11,45"	"1,74"	1
01:36.3	"11,45"	"1,70"	1
01:36.4	"11,37"	"1,70"	1
01:36.6	"11,41"	"1,74"	1
01:36.6	"11,37"	"1,74"	1
01:36.7	"11,45"	"1,74"	1
01:36.8	"11,49"	"1,74"	1
01:36.9	"11,54"	"1,82"	1
01:37.1	"11,66"	"1,82"	1
01:37.2	"11,66"	"1,78"	1
01:37.3	"11,49"	"1,66"	1
01:37.3	"11,50"	"1,66"	1
01:37.4	"11,33"	"1,53"	1
01:37.7	"11,33"	"1,49"	1
01:37.8	"11,41"	"1,53"	1
01:37.8	"11,41"	"1,57"	1
01:37.9	"11,41"	"1,53"	1
01:37.9	"11,50"	"1,57"	1
01:38.1	"11,45"	"1,57"	1
01:38.2	"11,41"	"1,53"	1
01:38.3	"11,45"	"1,61"	1
01:38.4	"11,54"	"1,61"	1
01:38.6	"11,62"	"1,57"	1
01:38.7	"11,66"	"1,53"	1
01:38.8	"11,50"	"1,41"	1
01:38.9	"11,25"	"1,36"	1
01:39.0	"11,25"	"1,32"	1
01:39.1	"11,16"	"1,32"	1
01:39.2	"11,21"	"1,28"	1
01:39.3	"10,96"	"1,24"	1
01:39.4	"10,62"	"1,20"	1
01:39.6	"10,33"	"1,20"	1
01:39.7	"10,25"	"1,19"	1
01:39.8	"10,25"	"1,15"	1
01:39.9	"10,29"	"1,15"	1
01:40.1	"10,25"	"1,20"	1
01:40.2	"10,33"	"1,24"	1
01:40.3	"10,42"	"1,11"	1
01:40.3	"10,37"	"1,11"	1
01:40.4	"10,33"	"0,99"	1
01:40.6	"10,08"	"1,24"	1
01:40.7	"9,87"	"1,28"	1
01:40.8	"9,83"	"1,28"	1
01:41.1	"9,87"	"1,32"	1
01:41.2	"9,83"	"1,36"	1
01:41.4	"9,79"	"1,24"	1
01:41.6	"9,54"	"1,32"	1
01:41.7	"9,17"	"1,78"	1
01:41.8	"9,17"	"1,73"	1
01:42.1	"9,08"	"1,78"	1
02:04.3	"9,30"	"1,92"	2
02:04.4	"9,26"	"1,92"	2
02:04.5	"9,22"	"1,92"	2
02:04.6	"9,18"	"2,01"	2
02:04.7	"9,22"	"2,01"	2
02:04.9	"9,17"	"2,05"	2
02:05.0	"9,17"	"2,09"	2
02:05.1	"9,17"	"2,13"	2
02:05.3	"9,18"	"2,13"	2
02:05.4	"9,22"	"2,21"	2
02:05.5	"9,26"	"2,21"	2
02:05.6	"9,13"	"2,21"	2
02:05.7	"8,93"	"2,21"	2
02:05.9	"8,97"	"2,25"	2
02:06.0	"9,22"	"2,59"	2
02:06.1	"9,30"	"2,71"	2
02:06.4	"9,30"	"2,76"	2
02:06.4	"9,30"	"2,75"	2
02:06.5	"9,26"	"2,71"	2
02:06.6	"9,13"	"2,75"	2
02:06.7	"9,01"	"2,84"	2
02:06.9	"9,05"	"2,84"	2
02:07.0	"9,26"	"2,80"	2
02:07.2	"9,30"	"2,80"	2
02:07.5	"9,34"	"2,80"	2
02:07.6	"9,26"	"2,84"	2
02:07.7	"9,21"	"2,84"	2
02:07.9	"9,30"	"2,84"	2
02:08.0	"9,30"	"2,88"	2
02:08.1	"9,26"	"2,88"	2
02:08.2	"9,26"	"2,92"	2
02:08.4	"9,38"	"2,97"	2
02:08.5	"9,38"	"3,01"	2
02:08.6	"9,34"	"3,01"	2
02:08.7	"9,34"	"3,05"	2
02:08.9	"9,38"	"3,05"	2
02:09.0	"9,42"	"3,01"	2
02:09.2	"9,38"	"3,05"	2
02:09.4	"9,42"	"3,13"	2
02:50.5	"10,08"	"3,19"	3
02:50.6	"10,13"	"3,19"	3
02:50.7	"10,13"	"3,02"	3
02:50.8	"10,04"	"2,85"	3
02:50.9	"10,00"	"2,85"	3
02:51.4	"10,09"	"2,89"	3
02:51.6	"10,21"	"2,89"	3
02:51.7	"10,21"	"2,64"	3
02:51.8	"10,17"	"2,56"	3
02:52.1	"10,17"	"2,48"	3
02:52.2	"10,17"	"2,39"	3
02:52.3	"10,21"	"2,39"	3
02:52.4	"10,25"	"2,35"	3
02:52.6	"10,21"	"2,27"	3
02:52.7	"9,46"	"1,77"	3
02:52.8	"9,01"	"1,52"	3
02:52.9	"8,96"	"1,52"	3
02:53.1	"8,92"	"1,52"	3
02:53.2	"9,00"	"1,43"	3
02:53.3	"9,00"	"1,39"	3
02:53.4	"9,05"	"1,52"	3
02:53.6	"8,96"	"1,52"	3
02:53.7	"8,92"	"1,48"	3
02:53.8	"8,80"	"1,35"	3
02:53.9	"8,59"	"2,02"	3
02:54.1	"8,38"	"2,68"	3
02:54.1	"8,42"	"2,68"	3
02:54.2	"8,46"	"3,06"	3
02:54.3	"8,50"	"3,10"	3
02:54.4	"8,42"	"3,05"	3
02:54.6	"8,46"	"3,18"	3
02:54.7	"8,46"	"3,26"	3
02:54.7	"8,46"	"3,22"	3
02:54.9	"8,46"	"3,26"	3
02:54.9	"8,42"	"3,26"	3
02:55.1	"8,50"	"3,39"	3
02:55.2	"8,67"	"3,39"	3
02:55.3	"8,71"	"3,39"	3
02:55.4	"8,71"	"3,35"	3
03:29.5	"8,82"	"3,81"	4
03:29.5	"8,95"	"3,77"	4
03:29.6	"9,45"	"3,69"	4
03:29.8	"9,61"	"3,65"	4
03:30.3	"9,61"	"3,86"	4
03:30.4	"9,65"	"3,82"	4
03:30.5	"9,65"	"3,90"	4
03:30.6	"9,70"	"3,90"	4
03:30.8	"9,61"	"3,82"	4
03:31.0	"9,57"	"3,82"	4
03:31.3	"9,57"	"3,78"	4
03:31.4	"9,53"	"3,78"	4
03:31.5	"9,53"	"3,82"	4
03:31.8	"9,49"	"3,78"	4
03:31.9	"9,41"	"3,44"	4
03:32.0	"9,28"	"3,28"	4
03:32.1	"9,24"	"3,24"	4
03:32.6	"9,28"	"3,32"	4
03:32.8	"9,37"	"3,36"	4
03:32.9	"9,49"	"3,36"	4
03:33.3	"9,37"	"3,36"	4
03:33.4	"9,08"	"3,32"	4
03:33.5	"9,08"	"3,23"	4
03:33.6	"9,12"	"3,23"	4
03:33.9	"9,16"	"3,19"	4
03:34.0	"9,24"	"3,19"	4
03:34.1	"9,33"	"3,11"	4
03:34.3	"8,91"	"3,07"	4
03:34.5	"8,16"	"2,90"	4
03:34.6	"8,08"	"2,90"	4
03:34.8	"8,12"	"2,90"	4
03:34.9	"8,12"	"2,77"	4
03:35.0	"7,99"	"2,90"	4
03:35.3	"7,87"	"2,98"	4
03:35.5	"7,91"	"2,94"	4
03:35.6	"7,83"	"3,02"	4
03:35.8	"7,58"	"3,48"	4
03:36.0	"7,49"	"3,85"	4
03:36.1	"7,49"	"3,89"	4
03:36.4	"7,58"	"3,98"	4
03:36.5	"7,62"	"3,98"	4
03:36.8	"7,66"	"3,85"	4
03:36.9	"7,66"	"3,94"	4
03:37.0	"7,82"	"4,89"	4
03:37.1	"7,90"	"5,19"	4
03:37.4	"7,82"	"5,52"	4
03:37.5	"7,53"	"6,02"	4
03:37.6	"7,49"	"6,06"	4
03:37.8	"7,44"	"6,06"	4
03:38.3	"7,45"	"6,06"	4
03:38.4	"7,32"	"6,43"	4
03:38.5	"7,32"	"6,52"	4
03:38.6	"7,32"	"6,51"	4
03:38.6	"7,28"	"6,51"	4
03:39.1	"7,32"	"6,56"	4
03:39.3	"7,28"	"6,56"	4
03:39.6	"7,28"	"6,51"	4
03:39.9	"7,28"	"6,52"	4
03:39.9	"7,28"	"6,56"	4
03:40.0	"7,28"	"6,51"	4
03:40.3	"7,36"	"6,43"	4
03:40.4	"7,32"	"6,47"	4
03:40.5	"7,24"	"6,51"	4
03:40.6	"7,24"	"6,56"	4
03:40.8	"7,19"	"6,56"	4
03:40.8	"7,20"	"6,55"	4
03:41.1	"7,15"	"6,51"	4
03:41.3	"7,16"	"6,51"	4
03:41.4	"7,07"	"6,55"	4
03:41.5	"7,07"	"6,56"	4
03:41.6	"7,03"	"6,56"	4
