time	x	y	
01:16.1	"13,35"	"-12,98"	1
01:16.1	"13,39"	"-12,98"	1
01:16.3	"13,18"	"-13,14"	1
01:16.4	"12,60"	"-13,30"	1
01:16.5	"12,36"	"-13,25"	1
01:16.6	"12,32"	"-13,21"	1
01:16.7	"12,27"	"-13,46"	1
01:16.8	"12,19"	"-13,54"	1
01:16.9	"12,07"	"-13,37"	1
01:17.0	"11,91"	"-13,29"	1
01:17.2	"11,34"	"-12,54"	1
01:17.3	"11,02"	"-12,00"	1
01:17.4	"10,86"	"-11,75"	1
01:17.5	"10,82"	"-11,62"	1
01:17.6	"10,82"	"-11,63"	1
01:17.7	"10,78"	"-11,67"	1
01:17.8	"10,61"	"-11,83"	1
01:17.8	"10,62"	"-11,83"	1
01:17.9	"10,33"	"-11,95"	1
01:18.0	"10,24"	"-11,90"	1
01:18.2	"10,20"	"-11,78"	1
01:18.3	"9,76"	"-11,53"	1
01:18.4	"8,53"	"-11,18"	1
01:18.5	"8,32"	"-11,13"	1
01:18.7	"8,28"	"-11,13"	1
01:18.9	"8,32"	"-11,26"	1
01:19.0	"8,36"	"-11,26"	1
01:19.4	"8,24"	"-11,21"	1
01:19.5	"7,71"	"-10,88"	1
01:19.7	"7,55"	"-10,67"	1
01:19.8	"7,51"	"-10,63"	1
01:19.9	"7,43"	"-10,54"	1
01:20.0	"7,43"	"-10,58"	1
01:20.0	"7,39"	"-10,46"	1
01:20.2	"7,35"	"-10,46"	1
01:20.5	"7,31"	"-10,46"	1
01:20.7	"7,35"	"-10,46"	1
01:21.3	"7,30"	"-10,46"	1
01:21.4	"7,35"	"-10,46"	1
01:21.7	"7,34"	"-10,46"	1
01:23.1	"7,34"	"-10,45"	1
