time	x	y	
01:25.2	"21,02"	"7,00"	1
01:25.3	"20,90"	"7,08"	1
01:25.4	"20,22"	"7,84"	1
01:25.5	"19,50"	"9,10"	1
01:25.7	"19,39"	"9,48"	1
01:25.8	"19,31"	"9,69"	1
01:25.9	"19,27"	"9,77"	1
01:26.0	"19,27"	"9,81"	1
01:26.2	"19,23"	"9,81"	1
01:26.7	"19,23"	"9,77"	1
01:26.8	"19,23"	"9,73"	1
01:27.0	"19,23"	"9,69"	1
01:27.2	"19,23"	"9,65"	1
01:27.4	"19,27"	"9,61"	1
01:27.7	"19,31"	"9,56"	1
01:27.8	"19,31"	"9,52"	1
01:27.9	"19,35"	"9,48"	1
01:28.2	"19,39"	"9,44"	1
01:28.3	"19,43"	"9,39"	1
01:28.5	"19,43"	"9,35"	1
01:28.7	"19,47"	"9,31"	1
01:28.8	"19,51"	"9,27"	1
01:29.0	"19,51"	"9,23"	1
01:29.2	"19,51"	"9,18"	1
01:29.2	"19,51"	"9,19"	1
01:29.3	"19,55"	"9,18"	1
01:29.4	"19,55"	"9,14"	1
01:29.5	"19,59"	"9,10"	1
01:29.7	"19,59"	"9,06"	1
01:29.8	"19,63"	"9,02"	1
01:30.0	"19,67"	"8,97"	1
01:30.3	"19,71"	"8,93"	1
01:30.4	"19,70"	"8,89"	1
01:30.5	"19,75"	"8,89"	1
01:30.7	"19,75"	"8,84"	1
01:30.7	"19,75"	"8,85"	1
01:30.8	"19,79"	"8,84"	1
01:30.9	"19,83"	"8,80"	1
01:31.2	"19,83"	"8,76"	1
01:31.3	"19,87"	"8,72"	1
01:31.6	"19,91"	"8,72"	1
01:31.6	"19,91"	"8,71"	1
01:31.7	"19,91"	"8,67"	1
01:31.8	"19,95"	"8,63"	1
01:31.9	"19,95"	"8,59"	1
01:32.1	"19,99"	"8,59"	1
01:32.2	"19,99"	"8,55"	1
01:32.3	"20,03"	"8,55"	1
01:32.4	"20,03"	"8,51"	1
01:32.6	"20,07"	"8,47"	1
01:32.7	"20,11"	"8,46"	1
01:32.8	"20,11"	"8,42"	1
01:33.0	"20,11"	"8,38"	1
01:33.1	"20,15"	"8,34"	1
01:33.3	"20,19"	"8,30"	1
01:33.4	"20,19"	"8,26"	1
01:33.7	"20,19"	"8,22"	1
01:33.8	"20,23"	"8,18"	1
01:33.9	"20,23"	"8,13"	1
01:34.0	"20,23"	"8,14"	1
01:34.1	"20,27"	"8,13"	1
01:34.2	"20,27"	"8,09"	1
01:34.4	"20,31"	"8,05"	1
01:34.8	"20,34"	"9,37"	1
01:34.9	"20,44"	"10,11"	1
01:35.1	"20,49"	"10,40"	1
01:35.2	"20,53"	"10,53"	1
01:35.3	"20,54"	"10,61"	1
01:35.4	"20,54"	"10,69"	1
01:35.6	"20,54"	"10,73"	1
01:35.7	"20,58"	"10,69"	1
01:35.8	"20,58"	"10,73"	1
01:36.1	"20,62"	"10,69"	1
01:36.3	"20,66"	"10,65"	1
01:36.4	"20,71"	"10,65"	1
01:36.5	"20,70"	"10,65"	1
01:36.6	"20,70"	"10,60"	1
01:36.7	"20,70"	"10,61"	1
01:36.7	"20,75"	"10,60"	1
01:36.8	"20,79"	"10,56"	1
01:36.9	"20,78"	"10,56"	1
01:36.9	"20,78"	"10,52"	1
01:37.1	"20,83"	"10,52"	1
01:37.2	"20,87"	"10,48"	1
01:37.3	"20,86"	"10,48"	1
01:37.4	"20,86"	"10,44"	1
01:37.5	"20,87"	"10,44"	1
01:37.6	"20,91"	"10,44"	1
01:37.6	"20,91"	"10,43"	1
01:37.7	"20,95"	"10,39"	1
01:37.8	"20,95"	"10,35"	1
01:37.9	"20,99"	"10,35"	1
01:38.1	"20,99"	"10,31"	1
01:38.2	"21,03"	"10,26"	1
01:38.3	"21,03"	"10,22"	1
01:38.4	"21,07"	"10,18"	1
01:38.6	"21,11"	"10,14"	1
01:38.8	"21,15"	"10,10"	1
01:38.9	"21,19"	"10,05"	1
01:39.2	"21,23"	"10,01"	1
01:39.3	"21,27"	"9,97"	1
01:39.4	"21,27"	"9,93"	1
01:39.6	"21,31"	"9,88"	1
01:39.7	"21,35"	"9,84"	1
01:39.9	"21,39"	"9,80"	1
01:40.1	"21,39"	"9,76"	1
01:40.2	"21,43"	"9,72"	1
01:40.3	"21,47"	"9,67"	1
01:40.6	"21,51"	"9,63"	1
01:40.7	"21,51"	"9,59"	1
01:40.8	"21,55"	"9,59"	1
01:40.9	"21,59"	"9,55"	1
01:41.1	"21,59"	"9,50"	1
01:41.2	"21,63"	"9,46"	1
01:41.4	"21,67"	"9,42"	1
01:41.7	"21,71"	"9,38"	1
01:41.8	"21,75"	"9,29"	1
01:41.9	"21,75"	"9,33"	1
01:41.9	"21,75"	"9,29"	1
01:42.1	"21,79"	"9,25"	1
01:42.3	"21,87"	"9,37"	1
01:42.4	"21,92"	"9,62"	1
01:42.6	"21,96"	"9,66"	1
01:42.7	"22,00"	"9,66"	1
01:42.9	"22,04"	"9,62"	1
01:43.1	"22,09"	"9,62"	1
01:43.1	"22,08"	"9,62"	1
01:43.2	"22,08"	"9,57"	1
01:43.3	"22,12"	"9,53"	1
01:43.6	"22,16"	"9,49"	1
01:43.7	"22,16"	"9,45"	1
01:43.9	"22,20"	"9,41"	1
01:44.1	"22,20"	"9,37"	1
01:44.2	"22,24"	"9,32"	1
01:44.4	"22,24"	"9,28"	1
01:44.6	"22,28"	"9,24"	1
01:44.7	"22,28"	"9,20"	1
01:44.9	"22,32"	"9,16"	1
01:45.1	"22,32"	"9,12"	1
01:45.3	"22,36"	"9,07"	1
01:45.6	"22,41"	"9,20"	1
01:45.8	"22,45"	"9,19"	1
01:46.0	"22,49"	"9,15"	1
01:46.1	"22,49"	"9,11"	1
01:46.1	"22,48"	"9,11"	1
01:46.3	"22,48"	"9,07"	1
01:46.5	"22,48"	"9,03"	1
01:46.7	"22,48"	"8,99"	1
01:46.8	"22,52"	"8,94"	1
01:47.0	"22,52"	"8,90"	1
01:47.1	"22,56"	"8,86"	1
01:47.2	"22,52"	"8,86"	1
01:47.3	"22,56"	"8,82"	1
01:47.6	"22,56"	"8,78"	1
01:51.5	"23,08"	"7,73"	2
01:51.7	"23,12"	"7,81"	2
01:51.8	"23,14"	"8,64"	2
01:52.0	"23,05"	"9,92"	2
01:52.1	"23,06"	"10,46"	2
01:52.2	"23,21"	"11,40"	2
