time	x	y	
01:17.9	"16,93"	"16,81"	1
01:17.9	"16,27"	"16,63"	1
01:17.9	"16,26"	"16,59"	1
01:18.0	"15,20"	"15,65"	1
01:18.2	"15,64"	"14,35"	1
01:18.3	"16,21"	"14,12"	1
01:18.4	"16,49"	"14,03"	1
01:18.5	"16,69"	"13,90"	1
01:18.7	"16,81"	"13,77"	1
01:18.8	"16,73"	"13,77"	1
01:18.9	"16,56"	"13,78"	1
01:19.0	"16,52"	"13,78"	1
01:19.0	"16,23"	"13,67"	1
01:19.2	"15,97"	"13,47"	1
01:19.2	"16,02"	"13,47"	1
01:19.3	"16,01"	"13,26"	1
01:19.4	"16,04"	"13,06"	1
01:19.5	"16,16"	"12,85"	1
01:19.7	"16,27"	"12,68"	1
01:19.7	"16,23"	"12,68"	1
01:19.8	"16,35"	"12,47"	1
01:19.8	"16,39"	"12,47"	1
01:19.9	"16,50"	"12,30"	1
01:20.0	"16,58"	"12,13"	1
01:20.2	"16,70"	"11,96"	1
01:20.2	"16,69"	"11,96"	1
01:20.3	"16,77"	"11,79"	1
01:20.4	"16,85"	"11,66"	1
01:20.5	"16,92"	"11,49"	1
01:20.6	"16,92"	"11,53"	1
01:20.7	"17,00"	"11,37"	1
01:20.7	"17,00"	"11,33"	1
01:20.8	"17,08"	"11,20"	1
01:20.9	"17,15"	"11,07"	1
01:21.0	"16,98"	"10,96"	1
01:21.2	"16,56"	"10,60"	1
01:21.3	"16,28"	"9,87"	1
01:21.4	"16,46"	"9,25"	1
01:21.5	"16,73"	"8,91"	1
01:21.7	"16,93"	"8,73"	1
01:21.8	"17,05"	"8,61"	1
01:21.9	"17,09"	"8,52"	1
01:22.0	"17,13"	"8,40"	1
01:22.2	"17,17"	"8,35"	1
01:22.3	"17,20"	"8,27"	1
01:22.4	"17,21"	"8,27"	1
01:22.4	"17,24"	"8,18"	1
01:22.5	"17,24"	"8,10"	1
01:22.7	"17,28"	"8,06"	1
01:22.8	"17,28"	"7,98"	1
01:22.9	"17,28"	"7,94"	1
01:23.0	"17,31"	"7,85"	1
01:23.2	"17,35"	"7,81"	1
01:23.3	"17,35"	"7,77"	1
01:23.4	"17,39"	"7,68"	1
01:23.5	"17,39"	"7,64"	1
01:23.7	"17,43"	"7,60"	1
01:23.8	"17,46"	"7,52"	1
01:23.8	"17,42"	"7,52"	1
01:23.9	"17,47"	"7,52"	1
01:23.9	"17,46"	"7,52"	1
01:24.0	"17,46"	"7,51"	1
01:24.0	"17,46"	"7,43"	1
01:24.2	"17,50"	"7,39"	1
01:24.3	"17,50"	"7,35"	1
01:24.4	"17,54"	"7,31"	1
01:24.5	"17,54"	"7,26"	1
01:24.7	"17,58"	"7,22"	1
01:24.8	"17,58"	"7,14"	1
01:24.9	"17,62"	"7,14"	1
01:25.0	"17,61"	"7,10"	1
01:25.2	"17,65"	"7,05"	1
01:25.3	"17,65"	"7,01"	1
01:25.4	"17,69"	"7,01"	1
01:25.5	"17,69"	"6,97"	1
01:25.6	"17,73"	"6,97"	1
01:25.7	"17,73"	"6,93"	1
01:25.8	"17,77"	"6,88"	1
01:25.9	"17,77"	"6,89"	1
01:25.9	"17,77"	"6,88"	1
01:26.0	"17,81"	"6,84"	1
01:26.2	"17,81"	"6,80"	1
01:26.2	"17,80"	"6,80"	1
01:26.3	"17,85"	"6,80"	1
01:26.4	"17,84"	"6,76"	1
01:26.5	"17,84"	"6,72"	1
01:26.7	"17,88"	"6,67"	1
01:26.8	"17,88"	"6,68"	1
01:26.8	"17,88"	"6,67"	1
01:26.9	"17,92"	"6,63"	1
01:27.2	"17,92"	"6,59"	1
01:27.3	"17,96"	"6,59"	1
01:27.4	"18,00"	"6,55"	1
01:27.6	"18,00"	"6,54"	1
01:27.7	"18,00"	"6,50"	1
01:27.8	"18,03"	"6,46"	1
01:27.9	"18,03"	"6,42"	1
01:28.0	"18,07"	"6,42"	1
01:28.2	"18,07"	"6,38"	1
01:28.3	"18,07"	"6,34"	1
01:28.5	"18,11"	"6,33"	1
01:28.7	"18,11"	"6,29"	1
01:28.8	"18,15"	"6,25"	1
01:29.0	"18,19"	"6,21"	1
01:29.3	"18,23"	"6,17"	1
01:29.5	"18,27"	"6,12"	1
01:29.7	"18,26"	"6,08"	1
01:29.8	"18,31"	"6,08"	1
01:29.8	"18,30"	"6,08"	1
01:29.9	"18,30"	"6,04"	1
01:30.2	"18,34"	"6,04"	1
01:30.3	"18,34"	"6,00"	1
01:30.5	"18,38"	"5,96"	1
01:30.8	"18,38"	"5,92"	1
01:30.9	"18,42"	"5,91"	1
01:31.0	"18,42"	"5,87"	1
01:31.2	"18,42"	"5,83"	1
01:31.5	"18,42"	"5,79"	1
01:31.7	"18,46"	"5,75"	1
01:31.9	"18,50"	"5,75"	1
01:32.0	"18,45"	"5,71"	1
01:32.1	"18,46"	"5,71"	1
01:32.2	"18,49"	"5,67"	1
01:32.4	"18,49"	"5,62"	1
01:32.5	"18,49"	"5,63"	1
01:32.6	"18,49"	"5,62"	1
01:32.7	"18,53"	"5,58"	1
01:32.9	"18,53"	"5,54"	1
01:43.8	"19,44"	"5,46"	2
01:43.9	"19,44"	"5,50"	2
01:44.1	"19,41"	"5,67"	2
01:44.2	"18,70"	"6,48"	2
01:44.3	"17,38"	"7,52"	2
01:44.4	"17,02"	"7,74"	2
