time	x	y	
02:59.9	"8,73"	"-3,18"	1
03:00.0	"8,69"	"-3,22"	1
03:00.1	"9,02"	"-3,18"	1
03:00.2	"9,43"	"-3,18"	1
03:00.3	"9,60"	"-3,18"	1
03:00.4	"9,59"	"-3,18"	1
03:00.5	"10,38"	"-3,02"	1
03:00.5	"10,38"	"-2,98"	1
03:00.6	"10,34"	"-2,98"	1
03:00.8	"10,26"	"-2,98"	1
03:01.2	"10,26"	"-3,02"	1
03:01.3	"10,26"	"-2,94"	1
03:01.5	"10,26"	"-2,78"	1
03:01.6	"10,30"	"-2,61"	1
03:01.7	"10,30"	"-2,57"	1
03:01.8	"10,30"	"-2,61"	1
03:02.0	"10,30"	"-2,65"	1
03:02.1	"10,30"	"-2,61"	1
03:02.1	"10,34"	"-2,61"	1
03:02.2	"10,30"	"-2,61"	1
03:02.3	"10,26"	"-2,61"	1
03:02.3	"10,22"	"-2,69"	1
03:02.5	"10,59"	"-2,49"	1
03:02.6	"10,67"	"-2,45"	1
03:02.7	"10,71"	"-2,41"	1
03:02.7	"10,71"	"-2,40"	1
03:02.8	"10,75"	"-2,36"	1
03:03.0	"10,75"	"-2,40"	1
03:03.0	"10,79"	"-2,40"	1
03:03.1	"10,96"	"-2,32"	1
03:03.2	"10,92"	"-2,32"	1
03:03.2	"10,92"	"-2,20"	1
03:03.3	"11,09"	"-2,16"	1
03:03.4	"11,08"	"-2,16"	1
03:03.6	"11,13"	"-2,12"	1
03:03.6	"11,17"	"-2,12"	1
03:03.7	"11,04"	"-2,08"	1
03:03.8	"11,00"	"-2,12"	1
03:04.0	"11,00"	"-2,16"	1
03:04.0	"11,00"	"-2,12"	1
03:04.0	"10,96"	"-2,12"	1
03:04.1	"10,96"	"-2,08"	1
03:04.2	"10,84"	"-2,20"	1
03:04.3	"10,84"	"-2,24"	1
03:04.5	"11,13"	"-2,16"	1
03:04.6	"11,21"	"-2,00"	1
03:04.7	"11,17"	"-1,91"	1
03:04.8	"11,17"	"-1,92"	1
03:04.9	"11,17"	"-1,96"	1
03:05.0	"11,17"	"-2,00"	1
03:05.1	"11,13"	"-1,96"	1
03:05.3	"11,13"	"-1,95"	1
03:05.3	"11,09"	"-1,91"	1
03:05.5	"11,13"	"-1,83"	1
03:05.6	"11,17"	"-1,54"	1
03:05.7	"11,01"	"-1,50"	1
03:05.8	"11,09"	"-1,54"	1
03:06.0	"11,17"	"-1,58"	1
03:06.1	"11,17"	"-1,62"	1
03:06.2	"11,17"	"-1,67"	1
03:06.2	"11,17"	"-1,66"	1
03:06.3	"11,13"	"-1,66"	1
03:06.4	"11,13"	"-1,67"	1
03:06.5	"11,13"	"-1,71"	1
04:05.1	"11,52"	"-6,01"	2
04:05.2	"11,52"	"-6,05"	2
04:05.2	"11,53"	"-6,05"	2
04:05.4	"12,26"	"-6,76"	2
04:05.5	"12,26"	"-6,75"	2
04:05.5	"12,27"	"-6,75"	2
04:05.6	"12,88"	"-7,17"	2
04:05.7	"13,25"	"-7,34"	2
04:05.8	"13,99"	"-7,38"	2
04:05.9	"14,94"	"-7,35"	2
04:06.2	"15,19"	"-7,35"	2
04:06.3	"15,06"	"-7,35"	2
04:06.4	"15,02"	"-7,31"	2
04:06.6	"14,94"	"-7,31"	2
04:06.7	"14,82"	"-7,31"	2
04:06.9	"14,77"	"-7,31"	2
04:07.1	"14,69"	"-7,31"	2
04:07.2	"14,61"	"-7,35"	2
04:07.3	"14,65"	"-7,35"	2
04:07.6	"14,45"	"-7,27"	2
04:07.7	"14,41"	"-7,27"	2
04:07.8	"14,24"	"-7,10"	2
04:07.9	"13,91"	"-6,73"	2
04:08.1	"13,79"	"-6,60"	2
04:08.3	"13,79"	"-6,61"	2
04:08.3	"13,75"	"-6,73"	2
04:08.4	"13,83"	"-7,22"	2
04:08.6	"13,91"	"-7,64"	2
04:08.7	"13,83"	"-7,43"	2
04:08.8	"13,78"	"-7,39"	2
04:09.1	"13,74"	"-7,35"	2
04:09.2	"13,75"	"-7,35"	2
04:09.4	"13,83"	"-7,43"	2
04:09.6	"13,87"	"-7,64"	2
04:09.8	"13,79"	"-7,47"	2
04:09.9	"13,75"	"-7,39"	2
04:10.1	"14,07"	"-7,64"	2
04:10.2	"14,16"	"-7,72"	2
04:10.4	"14,11"	"-7,68"	2
04:10.6	"14,16"	"-7,76"	2
04:10.7	"14,11"	"-7,76"	2
04:10.8	"14,32"	"-7,89"	2
04:11.2	"14,32"	"-7,85"	2
04:11.3	"14,32"	"-7,93"	2
04:11.4	"14,24"	"-7,93"	2
