time	frame	x	y	
03:54.3	-7030	"41,87"	"13,35"	1
03:54.4	-7032	"41,35"	"12,5"	1
03:54.5	-7036	"40,85"	"11,51"	1
03:54.7	-7040	"40,62"	"10,91"	1
03:54.8	-7044	"40,42"	"10,87"	1
03:54.9	-7047	"40,1"	"11,39"	1
03:55.0	-7051	"39,94"	"11,58"	1
03:55.2	-7055	"38,17"	"13,04"	1
03:55.3	-7059	"37,97"	"13,11"	1
03:55.4	-7062	"38,21"	"12,96"	1
03:55.4	-7063	"38,22"	"12,96"	1
03:55.5	-7066	"38,46"	"12,8"	1
03:55.8	-7074	"38,42"	"12,76"	1
03:55.9	-7077	"38,3"	"12,76"	1
03:56.0	-7081	"38,22"	"12,6"	1
03:56.2	-7085	"37,98"	"12,4"	1
03:56.3	-7089	"37,51"	"12,28"	1
03:56.4	-7092	"34,45"	"11,57"	1
03:56.5	-7096	"33,1"	"11,92"	1
03:56.7	-7100	"32,74"	"12,07"	1
03:56.8	-7104	"32,58"	"12,19"	1
03:56.9	-7107	"32,46"	"12,19"	1
03:57.0	-7111	"32,38"	"12,15"	1
03:57.2	-7115	"32,34"	"12,11"	1
03:57.2	-7116	"32,38"	"12,11"	1
03:57.3	-7119	"32,34"	"12,11"	1
03:57.4	-7122	"32,3"	"12,15"	1
03:57.5	-7126	"32,26"	"12,27"	1
03:57.6	-7127	"32,22"	"12,27"	1
03:57.7	-7130	"32,1"	"12,46"	1
03:57.8	-7134	"29,65"	"11,95"	1
03:57.9	-7138	"26,42"	"10,68"	1
03:58.0	-7141	"24,69"	"8,71"	1
03:58.2	-7145	"23,43"	"7,15"	1
03:58.3	-7149	"21,49"	"4,82"	1
03:58.4	-7153	"19,13"	"1,86"	1
03:58.5	-7156	"17,35"	"-0,21"	1
03:58.7	-7160	"14,22"	"-0,93"	1
03:58.8	-7164	"13,26"	"-1,06"	1
03:58.9	-7168	"12,29"	"-1,99"	1
03:59.0	-7171	"12,11"	"-3,26"	1
03:59.1	-7172	"12,11"	"-3,3"	1
03:59.2	-7175	"12,12"	"-4,77"	1
03:59.3	-7179	"12,14"	"-6,16"	1
03:59.4	-7181	"12,18"	"-6,12"	1
03:59.4	-7183	"12,23"	"-10,1"	1
03:59.5	-7186	"12,58"	"-11,76"	1
03:59.7	-7190	"12,59"	"-12,55"	1
03:59.8	-7194	"12,2"	"-13,47"	1
03:59.9	-7197	"12,21"	"-13,47"	1
03:59.9	-7198	"11,58"	"-14,22"	1
04:00.0	-7201	"11,34"	"-14,53"	1
04:00.2	-7205	"11,38"	"-14,57"	1
04:00.3	-7208	"11,37"	"-14,57"	1
04:00.3	-7209	"11,6"	"-14,51"	1
04:00.4	-7213	"11,77"	"-14,34"	1
04:00.6	-7217	"11,88"	"-14,34"	1
04:00.7	-7221	"11,88"	"-14,22"	1
04:00.8	-7224	"11,88"	"-14,18"	1
04:00.9	-7228	"11,95"	"-14,03"	1
04:01.2	-7235	"11,91"	"-13,99"	1
04:01.3	-7239	"11,91"	"-13,95"	1
04:01.5	-7246	"11,87"	"-13,91"	1
04:01.7	-7250	"11,83"	"-13,87"	1
04:01.9	-7258	"11,79"	"-13,79"	1
04:02.0	-7260	"11,79"	"-13,83"	1
04:02.0	-7261	"11,39"	"-13,28"	1
04:02.3	-7269	"11,71"	"-13,75"	1
04:02.4	-7271	"11,71"	"-13,76"	1
04:02.4	-7272	"11,7"	"-13,76"	1
04:02.4	-7273	"11,34"	"-14,1"	1
04:02.5	-7276	"11,38"	"-14,14"	1
04:02.8	-7284	"11,42"	"-14,18"	1
04:02.9	-7288	"11,87"	"-14,06"	1
04:03.1	-7292	"11,91"	"-14,1"	1
04:03.2	-7295	"11,87"	"-14,06"	1
04:03.3	-7299	"10,89"	"-13,86"	1
04:03.4	-7303	"10,61"	"-13,91"	1
04:03.6	-7307	"10,48"	"-13,75"	1
04:03.6	-7308	"10,15"	"-13,76"	1
04:03.7	-7310	"10,03"	"-13,6"	1
04:03.7	-7311	"9,58"	"-13,6"	1
04:03.8	-7314	"9,46"	"-13,49"	1
04:03.9	-7318	"8,87"	"-13,48"	1
04:04.1	-7322	"8,24"	"-13,16"	1
04:04.2	-7325	"7,75"	"-13,3"	1
04:04.3	-7329	"7,24"	"-13,14"	1
