time	frame	x	y	
3:11.07	-5732	15,46	20,18	1
3:11.10	-5733	15,74	20,22	1
3:11.23	-5737	15,98	20,23	1
3:11.47	-5744	16,1	20,07	1
3:11.60	-5748	16,42	20,03	1
3:11.73	-5752	16,54	19,87	1
3:11.83	-5755	16,66	19,72	1
3:11.97	-5759	16,7	19,64	1
3:12.10	-5763	16,71	19,64	1
3:12.17	-5765	16,71	19,63	1
3:12.23	-5767	16,75	19,56	1
3:12.43	-5773	16,75	19,55	1
3:12.47	-5774	16,75	19,48	1
3:12.60	-5778	16,91	19,2	1
3:12.73	-5782	16,95	19,12	1
3:12.97	-5789	17,07	19,12	1
3:13.10	-5793	17,35	19,16	1
3:13.23	-5797	17,74	19,37	1
3:13.33	-5800	18,14	19,61	1
3:13.60	-5808	18,14	19,77	1
3:13.73	-5812	18,58	19,89	1
3:13.83	-5815	19,86	19,06	1
3:13.97	-5819	20,34	18,75	1
3:14.10	-5823	20,42	18,67	1
3:14.33	-5830	20,38	18,67	1
3:14.47	-5834	20,38	18,63	1
3:14.60	-5838	20,43	18,51	1
3:14.73	-5842	19,95	18,19	1
3:14.87	-5846	19,59	18,14	1
3:14.97	-5849	19,59	18,15	1
3:15.10	-5853	18,48	17,06	1
3:15.23	-5857	18,78	14,99	1
3:15.37	-5861	18,98	14,91	1
3:15.47	-5864	19,18	14,87	1
3:15.60	-5868	19,63	14,04	1
3:15.87	-5876	20,03	13,44	1
3:15.97	-5879	20,48	12,61	1
3:16.10	-5883	21,21	11,18	1
3:16.23	-5887	21,47	8,71	1
3:16.47	-5894	18,29	7,48	1
3:16.60	-5898	17,56	8,43	1
4:32.47	-8174	9,39	2,61	2
4:32.50	-8175	9,39	2,53	2
4:32.60	-8178	10,01	0,26	2
4:32.73	-8182	10,78	-1,52	2
4:32.87	-8186	10,99	-2,92	2
4:33.00	-8190	10,12	-3,25	2
4:33.10	-8193	9,72	-3,21	2
4:33.23	-8197	9,51	-2,89	2
4:33.37	-8201	9,59	-2,13	2
4:33.50	-8205	9,54	-1,85	2
4:33.60	-8208	9,9	-1,81	2
4:33.73	-8212	10,86	-1,36	2
4:33.87	-8216	11,17	-1,2	2
4:34.00	-8220	11,33	-1,12	2
4:34.10	-8223	11,33	-1,08	2
4:34.23	-8227	11,37	-1,04	2
4:34.37	-8231	11,33	-1	2
4:34.50	-8235	11,45	-1,04	2
4:34.60	-8238	11,49	-0,96	2
4:34.73	-8242	11,53	-0,76	2
4:34.87	-8246	11,17	-0,12	2
4:35.00	-8250	8,13	0,29	2
4:35.10	-8253	6,7	-0,44	2
4:35.23	-8257	6,34	-0,48	2
4:35.30	-8259	6,34	-0,49	2
4:35.37	-8261	6,18	-0,57	2
4:35.50	-8265	6,1	-0,61	2
4:35.60	-8268	5,91	-1,01	2
4:35.73	-8272	6,01	-3,56	2
4:35.87	-8276	6,18	-5,07	2
4:36.00	-8280	5,15	-5,8	2
4:36.10	-8283	4,91	-5,8	2
4:36.23	-8287	4,87	-5,88	2
4:36.37	-8291	4,95	-5,96	2
4:36.50	-8295	4,95	-5,84	2
4:36.60	-8298	4,62	-4,89	2
4:36.73	-8302	4,54	-4,57	2
4:36.87	-8306	4,38	-4,21	2
4:37.00	-8310	4,34	-4,13	2
4:37.13	-8314	4,41	-3,97	2
4:37.23	-8317	4,45	-3,97	2
