time	x	y	
02:07.5	"6,07"	"-8,43"	1
02:07.6	"6,95"	"-7,99"	1
02:07.7	"7,47"	"-8,35"	1
02:07.9	"7,67"	"-9,47"	1
02:07.9	"7,68"	"-9,47"	1
02:08.0	"9,44"	"-11,75"	1
02:08.1	"10,35"	"-11,39"	1
02:08.2	"10,39"	"-11,43"	1
02:08.4	"11,45"	"-10,14"	1
02:08.5	"12,01"	"-8,45"	1
02:08.6	"11,65"	"-5,73"	1
02:08.6	"11,65"	"-5,69"	1
02:08.7	"11,85"	-4	1
02:08.9	"12,93"	"-2,07"	1
02:09.0	"17,3"	"-0,73"	1
02:09.1	"18,71"	"-2,53"	1
02:09.2	"19,23"	"-5,1"	1
02:09.4	"19,31"	"-4,78"	1
02:09.5	"19,43"	"-4,38"	1
02:09.6	"19,51"	"-4,34"	1
02:09.7	"19,67"	"-4,34"	1
02:09.9	"19,79"	"-4,3"	1
02:10.0	"19,83"	"-4,14"	1
02:10.1	"19,84"	"-4,14"	1
02:10.1	"19,92"	"-4,14"	1
02:10.2	"19,88"	"-4,34"	1
02:10.3	"19,87"	"-4,34"	1
02:10.4	"19,91"	"-4,26"	1
02:10.5	"19,95"	"-4,22"	1
02:10.6	"19,91"	"-3,81"	1
02:10.7	"19,91"	"-3,57"	1
02:10.9	"19,95"	"-3,69"	1
02:11.0	"20,24"	"-3,73"	1
02:11.1	"23,93"	"-3,12"	1
02:11.2	"25,7"	"-4,1"	1
02:11.4	"25,22"	"-4,74"	1
02:11.5	"24,94"	"-4,78"	1
02:11.6	"20,13"	"-3,62"	1
02:11.7	"18,2"	"-2,86"	1
02:11.9	"16,67"	"-3,74"	1
02:12.0	"16,67"	"-3,9"	1
02:12.1	"16,84"	"-3,82"	1
02:12.2	"17,56"	"-4,02"	1
02:12.4	"19,12"	"-3,14"	1
02:12.5	"19,4"	"-0,09"	1
02:12.6	"18,76"	"-0,41"	1
02:12.7	"18,76"	"-0,45"	1
02:12.7	"19,16"	"-0,81"	1
02:12.9	"20,76"	"0,75"	1
02:13.0	"20,44"	"2,76"	1
02:13.1	"20,16"	"2,08"	1
02:13.2	"20,68"	"2,12"	1
02:13.3	"20,64"	"2,12"	1
02:13.4	"20,96"	"2,56"	1
02:13.5	"21,48"	"5,33"	1
02:13.6	"21,04"	"6,53"	1
02:13.7	"20,92"	"6,89"	1
02:13.9	"20,84"	"7,38"	1
02:14.0	"20,52"	"10,02"	1
02:14.1	"20,68"	"10,67"	1
02:14.3	"20,84"	"11,11"	1
02:14.4	"20,88"	"11,23"	1
02:14.5	"20,88"	"11,39"	1
02:14.6	"20,76"	"11,35"	1
02:14.8	"20,84"	"11,19"	1
02:14.9	"20,72"	"10,67"	1
02:15.0	"19,8"	"9,78"	1
02:15.1	"15,91"	"11,62"	1
02:15.3	"12,66"	"14,86"	1
02:15.4	"12,62"	"14,86"	1
02:15.5	"12,62"	"14,9"	1
