time	frame	x	y	
4:26.80	-8004	36,59	10,91	1
4:26.93	-8008	37,47	10,71	1
4:27.07	-8012	38,32	10,95	1
4:27.17	-8015	38,4	10,99	1
4:27.23	-8017	38,36	11,11	1
4:27.30	-8019	38,35	11,11	1
4:27.43	-8023	38,39	11,15	1
4:27.57	-8027	38,31	11,15	1
4:27.67	-8030	38,15	11,11	1
4:27.80	-8034	38,23	11,11	1
4:27.83	-8035	39,8	10,31	1
4:27.93	-8038	39,8	10,32	1
4:28.00	-8040	40,2	10	1
4:28.20	-8046	40,2	9,99	1
4:28.30	-8049	40,32	9,79	1
4:28.43	-8053	40,44	9,71	1
4:28.57	-8057	41,17	9,07	1
4:28.70	-8061	41,65	8,59	1
4:28.73	-8062	42,01	8,19	1
4:28.80	-8064	42,01	8,23	1
4:28.93	-8068	42,05	8,03	1
4:29.07	-8072	42,13	7,95	1
4:29.20	-8076	42,82	7,71	1
4:29.30	-8079	43,02	7,56	1
4:29.33	-8080	43,02	7,64	1
4:29.43	-8083	43,02	7,6	1
4:29.57	-8087	42,98	7,72	1
4:29.70	-8091	43,06	7,72	1
4:29.73	-8092	43,22	7,39	1
4:29.80	-8094	43,22	7,4	1
4:29.93	-8098	43,87	5,67	1
4:30.07	-8102	44,35	4,03	1
4:30.20	-8106	44,07	3,06	1
4:30.30	-8109	43,55	2,46	1
4:30.43	-8113	43,07	2,26	1
4:30.57	-8117	42,87	2,26	1
4:30.70	-8121	42,67	2,38	1
4:30.80	-8124	41,47	3,38	1
4:30.93	-8128	40,9	4,5	1
4:30.97	-8129	40,9	4,66	1
4:31.07	-8132	40,86	4,66	1
4:31.20	-8136	40,94	4,66	1
4:31.30	-8139	40,94	4,58	1
4:31.43	-8143	40,94	4,74	1
4:31.57	-8147	41,06	4,7	1
4:31.70	-8151	41,06	4,58	1
4:31.80	-8154	40,98	4,58	1
4:31.93	-8158	40,98	4,54	1
4:32.07	-8162	40,98	4,62	1
4:32.20	-8166	40,98	4,94	1
4:32.30	-8169	39,77	5,18	1
4:32.43	-8173	36,52	4,89	1
4:32.57	-8177	34,48	4,88	1
4:32.70	-8181	32,87	5,6	1
4:32.83	-8185	32,71	5,68	1
4:32.93	-8188	32,63	5,6	1
4:33.07	-8192	32,71	5,52	1
4:33.20	-8196	32,91	5,68	1
4:33.33	-8200	33,31	5,72	1
4:33.43	-8203	33,55	5,8	1
4:33.57	-8207	33,87	5,84	1
4:33.70	-8211	33,87	5,88	1
4:33.83	-8215	33,87	5,92	1
4:33.93	-8218	33,83	6	1
4:33.97	-8219	33,83	6,16	1
4:34.07	-8222	33,83	6,12	1
4:34.10	-8223	33,83	6,36	1
4:34.20	-8226	33,83	6,37	1
4:34.33	-8230	33,79	6,53	1
4:34.43	-8233	33,71	6,77	1
4:34.57	-8237	33,63	6,89	1
4:34.70	-8241	33,47	7,01	1
4:34.83	-8245	33,43	7,01	1
4:34.93	-8248	33,39	7,05	1
4:35.07	-8252	33,39	7,01	1
4:35.20	-8256	33,43	6,97	1
4:35.33	-8260	33,67	6,89	1
4:35.43	-8263	33,83	6,77	1
4:35.57	-8267	34,03	5,16	1
4:35.70	-8271	34,11	4,72	1
4:35.83	-8275	34,11	4,44	1
4:35.93	-8278	34,36	3,96	1
4:36.07	-8282	34,48	4,04	1
4:36.20	-8286	34,68	4,12	1
4:36.30	-8289	35,88	4,24	1
4:36.33	-8290	35,88	4,25	1
4:36.43	-8293	37,41	4,25	1
4:36.57	-8297	37,77	4,21	1
4:36.70	-8301	38,05	3,61	1
4:36.83	-8305	38,13	2,93	1
4:36.93	-8308	37,93	2,49	1
4:37.07	-8312	37,65	1,92	1
4:37.20	-8316	37,45	1,52	1
4:37.27	-8318	37,14	0,96	1
4:37.33	-8320	37,13	0,96	1
4:37.43	-8323	36,65	0,64	1
4:37.57	-8327	35,85	0,31	1
4:37.70	-8331	35,65	0,27	1
4:37.83	-8335	35,61	0,35	1
4:37.97	-8339	35,65	0,39	1
4:38.07	-8342	35,77	0,39	1
4:38.20	-8346	35,41	0,35	1
4:38.33	-8350	35,05	0,31	1
4:38.47	-8354	34,89	0,31	1
4:38.57	-8357	31,2	-0,58	1
4:38.70	-8361	29,15	-0,79	1
4:39.47	-8384	28,87	-0,79	1
4:39.57	-8387	28,87	-0,75	1
4:39.70	-8391	28,79	-0,79	1
4:39.83	-8395	28,75	-0,91	1
4:39.97	-8399	28,79	-0,95	1
4:40.07	-8402	29,03	-1,07	1
4:40.13	-8404	29,11	-1,03	1
