time	x	y	
01:01.7	"13,54"	"6,91"	1
01:01.9	"14,70"	"5,92"	1
01:02.0	"15,74"	"4,80"	1
01:02.1	"16,74"	"2,65"	1
01:02.2	"17,07"	"1,93"	1
01:02.4	"17,39"	"1,65"	1
01:02.5	"17,67"	"1,42"	1
01:02.6	"19,94"	"1,82"	1
01:02.8	"21,45"	"2,30"	1
01:02.8	"21,45"	"2,31"	1
01:02.9	"22,01"	"2,55"	1
01:03.0	"22,13"	"2,59"	1
01:03.1	"22,13"	"2,55"	1
01:03.3	"22,13"	"2,67"	1
01:03.4	"22,09"	"2,67"	1
01:03.6	"22,33"	"2,75"	1
01:03.8	"22,97"	"0,44"	1
01:03.9	"22,98"	"-1,68"	1
01:04.0	"21,53"	"-2,69"	1
01:04.1	"19,50"	"-2,66"	1
01:04.3	"17,54"	"-0,59"	1
01:04.4	"16,10"	"0,72"	1
01:04.5	"15,90"	"0,92"	1
01:04.6	"15,94"	"0,96"	1
01:04.8	"15,06"	"1,52"	1
01:04.9	"12,82"	"2,43"	1
01:05.0	"11,54"	"2,95"	1
01:05.1	"11,34"	"3,10"	1
01:05.3	"11,34"	"3,14"	1
01:05.4	"11,34"	"3,22"	1
01:05.5	"11,38"	"3,26"	1
01:05.6	"11,06"	"3,30"	1
01:05.8	"10,90"	"3,34"	1
01:05.9	"10,98"	"3,34"	1
01:06.0	"10,07"	"1,83"	1
01:06.1	"10,11"	"-0,05"	1
01:06.3	"10,63"	"-0,65"	1
01:06.4	"10,95"	"-0,85"	1
01:06.5	"10,92"	"-1,32"	1
01:06.6	"9,05"	"-4,54"	1
01:06.7	"9,05"	"-4,58"	1
01:06.7	"9,05"	"-4,62"	1
01:06.7	"9,05"	"-4,58"	1
01:06.8	"8,73"	"-5,26"	1
01:06.9	"8,98"	"-6,38"	1
01:07.0	"9,78"	"-7,09"	1
01:07.1	"10,37"	"-6,97"	1
01:07.3	"10,53"	"-6,81"	1
01:07.4	"10,53"	"-6,85"	1
01:07.5	"10,61"	"-6,93"	1
01:07.6	"10,73"	"-7,09"	1
01:07.8	"10,65"	"-7,09"	1
01:07.9	"10,73"	"-6,85"	1
01:08.0	"10,73"	"-6,61"	1
01:08.1	"9,93"	"-4,78"	1
01:08.3	"9,56"	"-1,99"	1
01:08.4	"9,60"	"-1,75"	1
01:08.5	"9,64"	"-1,63"	1
01:08.6	"9,76"	"-1,39"	1
01:08.8	"9,92"	"-1,39"	1
01:08.9	"10,08"	"-1,39"	1
01:09.0	"10,08"	"-1,43"	1
01:09.3	"10,28"	"-1,42"	1
01:09.4	"10,40"	"-1,23"	1
01:09.5	"10,56"	"-0,91"	1
01:09.6	"10,83"	"-0,63"	1
01:09.8	"10,91"	"-0,47"	1
02:49.9	"28,47"	"3,35"	2
02:49.9	"29,07"	"1,48"	2
02:50.1	"29,03"	"1,16"	2
02:50.3	"29,23"	"1,12"	2
02:50.4	"29,23"	"1,08"	2
02:50.4	"28,96"	"0,68"	2
02:50.6	"28,84"	"0,64"	2
02:50.6	"28,84"	"0,63"	2
02:50.7	"28,84"	"0,59"	2
02:50.8	"28,60"	"0,23"	2
02:50.9	"27,69"	"-1,88"	2
02:51.1	"26,89"	"-3,32"	2
02:51.2	"25,78"	"-4,40"	2
02:51.3	"24,34"	"-4,68"	2
02:51.4	"23,10"	"-3,69"	2
02:51.6	"22,46"	"-2,06"	2
02:51.7	"22,61"	"-0,30"	2
02:51.8	"23,21"	"0,30"	2
02:51.9	"24,05"	"0,38"	2
02:52.1	"24,97"	"-0,41"	2
02:52.2	"24,41"	"-1,77"	2
02:52.3	"23,02"	"-1,58"	2
02:52.4	"22,37"	"0,34"	2
02:52.6	"23,17"	"1,62"	2
02:52.7	"23,65"	"1,66"	2
02:52.8	"24,45"	"1,06"	2
02:52.9	"24,93"	"-0,02"	2
02:53.0	"24,93"	"-0,05"	2
02:53.1	"24,49"	"-1,81"	2
02:53.2	"23,06"	"-2,45"	2
02:53.3	"21,46"	"-1,98"	2
02:53.4	"21,42"	"-1,94"	2
02:53.4	"20,26"	"-0,35"	2
02:53.6	"20,33"	"1,85"	2
02:53.7	"21,25"	"3,65"	2
02:53.8	"22,56"	"4,69"	2
02:53.9	"24,55"	"4,85"	2
02:54.1	"25,40"	"3,66"	2
02:54.2	"25,40"	"3,58"	2
02:54.3	"25,40"	"3,66"	2
02:54.4	"25,56"	"3,70"	2
02:54.5	"25,59"	"3,70"	2
02:54.6	"25,48"	"3,54"	2
02:54.7	"24,68"	"1,46"	2
02:54.8	"24,09"	"0,30"	2
02:54.9	"23,93"	"-0,22"	2
02:55.1	"24,01"	"-0,38"	2
02:55.2	"23,98"	"-1,69"	2
02:55.3	"23,94"	"-3,37"	2
02:55.4	"24,06"	"-4,01"	2
