Temperature	Day	aquarium	alive	dead	mean
12	1	A	100	0	100%
12	2	A	98	2	98%
12	3	A	54	44	54%
12	4	A	18	36	18%
12	5	A	17	1	17%
12	6	A	17	0	17%
12	7	A	17	0	17%
12	8	A	17	0	17%
12	9	A	13	4	13%
12	10	A	2	11	2%
12	11	A	0	2	0%
12	1	B	100	0	100%
12	2	B	98	2	98%
12	3	B	59	39	59%
12	4	B	55	4	55%
12	5	B	53	2	53%
12	6	B	53	0	53%
12	7	B	53	0	53%
12	8	B	48	5	48%
12	9	B	43	5	43%
12	10	B	10	33	10%
12	11	B	0	10	0%
12	1	C	100	0	100%
12	2	C	97	3	97%
12	3	C	37	60	37%
12	4	C	19	18	19%
12	5	C	19	0	19%
12	6	C	19	0	19%
12	7	C	19	0	19%
12	8	C	18	1	18%
12	9	C	16	2	16%
12	10	C	3	13	3%
12	11	C	0	3	0%
15	1	A	100	0	100%
15	2	A	100	0	100%
15	3	A	91	9	91%
15	4	A	90	1	90%
15	5	A	80	9	80%
15	6	A	56	24	56%
15	7	A	34	22	34%
15	8	A	22	12	22%
15	9	A	12	10	12%
15	10	A	3	9	3%
15	11	A	0	3	0%
15	1	B	100	0	100%
15	2	B	100	0	100%
15	3	B	91	6	91%
15	4	B	85	6	85%
15	5	B	83	3	83%
15	6	B	69	14	69%
15	7	B	47	22	47%
15	8	B	29	18	29%
15	9	B	16	13	16%
15	10	B	6	10	6%
15	11	B	0	6	0%
15	1	C	100	0	100%
15	2	C	100	0	100%
15	3	C	94	6	94%
15	4	C	90	4	90%
15	5	C	85	5	85%
15	6	C	57	28	57%
15	7	C	32	25	32%
15	8	C	14	18	14%
15	9	C	9	5	9%
15	10	C	1	8	1%
15	11	C	0	1	0%
17	1	A	100	0	100%
17	2	A	97	3	97%
17	3	A	90	7	90%
17	4	A	86	4	86%
17	5	A	80	6	80%
17	6	A	52	28	52%
17	7	A	14	38	14%
17	8	A	1	13	1%
17	9	A	0	1	0%
17	10	A	0	0	0%
17	1	B	100	0	100%
17	2	B	98	2	98%
17	3	B	93	5	93%
17	4	B	92	1	92%
17	5	B	89	3	89%
17	6	B	60	29	60%
17	7	B	35	25	35%
17	8	B	3	32	3%
17	9	B	1	2	1%
17	10	B	0	1	0%
17	1	C	95	0	100%
17	2	C	91	4	96%
17	3	C	91	0	96%
17	4	C	88	3	93%
17	5	C	85	3	89%
17	6	C	62	23	65%
17	7	C	20	42	21%
17	8	C	2	18	2%
17	9	C	0	2	0%
17	10	C	0	0	0%
