time	x	y	
01:08.7	"23,65"	"14,11"	1
01:08.8	"23,93"	"14,21"	1
01:08.8	"26,04"	"14,96"	1
01:08.8	"27,61"	"15,52"	1
01:08.9	"28,53"	"15,99"	1
01:08.9	"28,80"	"16,17"	1
01:09.0	"28,98"	"16,18"	1
01:09.0	"29,17"	"16,27"	1
01:09.0	"29,35"	"16,54"	1
01:09.2	"29,44"	"16,82"	1
01:09.2	"29,35"	"16,92"	1
01:09.2	"29,53"	"17,10"	1
01:09.3	"29,71"	"17,28"	1
01:09.3	"29,70"	"17,29"	1
01:09.4	"29,61"	"17,29"	1
01:09.5	"29,62"	"17,29"	1
01:09.7	"29,72"	"17,47"	1
01:09.8	"29,81"	"17,47"	1
01:09.8	"29,81"	"17,38"	1
01:09.9	"29,82"	"17,39"	1
01:10.0	"29,82"	"17,38"	1
01:10.0	"29,83"	"17,38"	1
01:10.1	"29,84"	"17,38"	1
01:10.2	"29,85"	"17,38"	1
01:10.4	"29,86"	"17,37"	1
01:10.5	"29,95"	"17,47"	1
01:10.5	"29,86"	"17,74"	1
01:10.6	"29,78"	"17,64"	1
01:10.6	"29,77"	"17,46"	1
01:10.6	"29,68"	"17,37"	1
01:10.7	"29,68"	"17,38"	1
01:10.7	"29,67"	"17,38"	1
01:10.8	"29,58"	"17,29"	1
01:10.9	"29,58"	"17,30"	1
01:11.0	"29,59"	"17,30"	1
01:11.0	"29,59"	"17,31"	1
01:11.1	"29,59"	"17,32"	1
01:11.2	"29,68"	"17,41"	1
01:11.2	"29,86"	"17,60"	1
01:11.3	"29,77"	"17,51"	1
01:11.4	"29,68"	"17,41"	1
01:11.4	"29,67"	"17,41"	1
01:11.6	"29,66"	"17,41"	1
01:11.6	"29,57"	"17,50"	1
01:11.7	"29,57"	"17,49"	1
01:11.7	"29,56"	"17,49"	1
01:11.8	"29,47"	"17,49"	1
01:11.8	"29,48"	"17,49"	1
01:11.9	"29,48"	"17,50"	1
01:12.2	"29,49"	"17,50"	1
01:12.3	"29,49"	"17,59"	1
01:12.4	"29,49"	"17,58"	1
01:12.4	"29,49"	"17,49"	1
01:12.4	"29,49"	"17,58"	1
01:12.5	"29,58"	"17,49"	1
01:12.5	"29,49"	"17,49"	1
01:12.6	"29,49"	"17,40"	1
01:12.6	"29,50"	"17,40"	1
01:12.7	"29,41"	"17,31"	1
01:12.7	"29,41"	"17,32"	1
01:12.8	"29,40"	"17,41"	1
01:12.8	"29,32"	"17,41"	1
01:12.9	"29,41"	"17,32"	1
01:13.0	"29,41"	"17,33"	1
01:13.0	"29,32"	"17,42"	1
01:13.0	"29,32"	"17,41"	1
01:13.2	"29,32"	"17,40"	1
01:13.2	"29,33"	"17,40"	1
01:13.3	"29,33"	"17,39"	1
01:13.4	"29,24"	"17,39"	1
01:13.4	"29,24"	"17,38"	1
01:13.5	"29,25"	"17,38"	1
01:13.6	"29,25"	"17,37"	1
01:13.6	"29,25"	"17,28"	1
01:13.6	"29,24"	"17,37"	1
01:13.7	"29,16"	"17,28"	1
01:13.8	"29,16"	"17,29"	1
01:13.9	"29,17"	"17,29"	1
01:13.9	"29,17"	"17,30"	1
01:14.0	"29,16"	"17,30"	1
01:14.0	"29,07"	"17,39"	1
01:14.1	"29,81"	"17,39"	1
01:14.2	"30,36"	"17,40"	1
01:14.2	"30,36"	"17,39"	1
01:14.2	"30,36"	"17,30"	1
01:14.3	"30,27"	"17,29"	1
01:14.4	"30,36"	"17,21"	1
01:14.4	"30,28"	"17,30"	1
01:14.4	"30,37"	"17,21"	1
01:14.5	"30,37"	"17,22"	1
01:14.5	"30,36"	"17,22"	1
01:14.6	"30,36"	"17,23"	1
01:14.7	"30,36"	"17,24"	1
01:14.8	"30,27"	"17,33"	1
01:14.8	"30,36"	"17,25"	1
01:14.9	"30,36"	"17,26"	1
01:15.0	"30,27"	"17,35"	1
01:15.0	"30,36"	"17,26"	1
01:15.0	"30,36"	"17,27"	1
01:15.1	"30,36"	"17,19"	1
01:15.2	"30,35"	"17,19"	1
01:15.2	"30,35"	"17,20"	1
01:15.2	"30,27"	"17,29"	1
01:15.3	"30,36"	"17,20"	1
01:15.4	"30,35"	"17,21"	1
01:15.4	"30,35"	"17,22"	1
01:15.5	"30,35"	"17,23"	1
01:15.6	"30,26"	"17,32"	1
01:15.6	"30,35"	"17,23"	1
01:15.6	"30,35"	"17,32"	1
01:15.7	"30,45"	"17,33"	1
01:15.7	"30,54"	"17,42"	1
01:15.8	"30,44"	"17,33"	1
01:15.8	"30,35"	"17,41"	1
01:15.8	"30,26"	"17,32"	1
01:15.9	"30,27"	"17,32"	1
01:16.0	"30,26"	"17,32"	1
01:16.0	"30,25"	"17,33"	1
01:16.2	"30,16"	"17,33"	1
01:16.2	"30,25"	"17,42"	1
01:16.2	"30,17"	"17,33"	1
01:16.3	"30,16"	"17,41"	1
01:16.4	"30,25"	"17,40"	1
01:16.4	"30,25"	"17,39"	1
01:16.5	"30,25"	"17,38"	1
01:16.6	"30,24"	"17,37"	1
01:16.7	"30,24"	"17,36"	1
01:16.7	"30,24"	"17,45"	1
01:16.8	"30,24"	"17,44"	1
01:16.9	"30,24"	"17,43"	1
01:17.0	"30,23"	"17,42"	1
01:17.0	"30,23"	"17,41"	1
01:17.1	"30,23"	"17,40"	1
01:17.2	"30,23"	"17,39"	1
01:17.3	"30,22"	"17,38"	1
01:17.3	"30,22"	"17,37"	1
01:17.4	"30,22"	"17,36"	1
01:17.4	"30,22"	"17,45"	1
01:17.5	"30,22"	"17,44"	1
01:17.6	"30,22"	"17,35"	1
01:17.6	"30,22"	"17,43"	1
01:17.7	"30,22"	"17,34"	1
01:17.8	"30,21"	"17,43"	1
01:17.8	"30,21"	"17,42"	1
01:17.9	"30,21"	"17,33"	1
01:17.9	"30,21"	"17,41"	1
01:18.0	"30,21"	"17,40"	1
01:18.1	"30,20"	"17,39"	1
01:18.2	"30,20"	"17,38"	1
01:18.2	"30,20"	"17,37"	1
01:18.3	"30,20"	"17,36"	1
01:18.3	"30,20"	"17,45"	1
01:18.4	"30,29"	"17,54"	1
01:18.4	"30,20"	"17,46"	1
01:18.4	"30,11"	"17,36"	1
01:18.5	"30,12"	"17,27"	1
01:18.6	"30,03"	"17,27"	1
01:18.7	"30,12"	"17,54"	1
01:18.7	"30,21"	"17,45"	1
01:18.8	"30,12"	"17,36"	1
01:18.8	"30,12"	"17,18"	1
01:18.9	"30,03"	"17,09"	1
01:18.9	"29,94"	"17,09"	1
01:19.0	"29,94"	"17,08"	1
01:19.0	"29,94"	"17,17"	1
01:19.1	"29,95"	"17,17"	1
01:19.1	"30,04"	"17,27"	1
01:19.2	"30,22"	"17,64"	1
01:19.2	"30,31"	"17,82"	1
01:19.2	"30,40"	"17,83"	1
01:19.3	"30,39"	"17,82"	1
01:19.3	"30,30"	"17,74"	1
01:19.4	"30,39"	"17,73"	1
01:19.4	"30,39"	"17,82"	1
01:19.4	"30,40"	"17,82"	1
