time	x	y	
02:51.6	"29,36"	"-4,03"	1
02:51.6	"29,36"	"-4,08"	1
02:51.7	"29,50"	"-3,73"	1
02:51.8	"29,55"	"-3,56"	1
02:51.8	"29,54"	"-3,60"	1
02:51.9	"29,55"	"-3,39"	1
02:52.0	"29,57"	"-2,43"	1
02:52.0	"29,49"	"0,04"	1
02:52.1	"29,29"	"1,35"	1
02:52.1	"29,22"	"1,96"	1
02:52.2	"29,14"	"2,48"	1
02:52.3	"29,10"	"2,74"	1
02:52.3	"29,07"	"2,92"	1
02:52.4	"29,07"	"3,00"	1
02:52.4	"29,07"	"3,05"	1
02:52.5	"29,07"	"3,09"	1
02:52.6	"29,03"	"3,09"	1
02:52.7	"29,03"	"3,13"	1
02:52.8	"28,98"	"3,14"	1
02:52.9	"28,98"	"3,18"	1
02:53.0	"29,03"	"3,18"	1
02:53.0	"29,03"	"3,22"	1
02:53.1	"28,98"	"3,22"	1
02:53.2	"28,99"	"3,22"	1
02:53.3	"28,94"	"3,31"	1
02:53.4	"28,86"	"3,48"	1
02:53.5	"28,77"	"3,49"	1
02:53.6	"28,55"	"3,45"	1
02:53.6	"28,34"	"3,50"	1
02:53.7	"28,30"	"3,50"	1
02:53.8	"28,25"	"3,50"	1
02:53.8	"28,03"	"3,37"	1
02:53.9	"28,03"	"3,33"	1
02:54.0	"27,94"	"3,33"	1
02:54.1	"27,90"	"3,29"	1
02:54.1	"27,94"	"3,24"	1
02:54.2	"27,99"	"3,20"	1
02:54.3	"27,85"	"3,16"	1
02:54.4	"27,85"	"3,12"	1
02:54.4	"27,85"	"3,07"	1
02:54.5	"27,81"	"3,12"	1
02:54.5	"27,81"	"3,16"	1
02:54.6	"27,81"	"3,20"	1
02:54.7	"27,77"	"3,25"	1
02:54.7	"27,81"	"3,29"	1
02:54.8	"27,90"	"3,29"	1
02:54.9	"27,90"	"3,33"	1
02:54.9	"27,86"	"3,33"	1
02:55.2	"27,86"	"3,29"	1
02:55.5	"27,90"	"3,29"	1
02:55.6	"27,86"	"3,29"	1
02:55.9	"27,81"	"3,20"	1
02:56.0	"27,77"	"3,12"	1
02:56.1	"27,81"	"3,07"	1
02:56.1	"27,72"	"2,81"	1
02:56.2	"27,45"	"2,39"	1
02:56.2	"26,46"	"0,89"	1
02:56.3	"26,11"	"0,29"	1
02:56.4	"25,88"	"-0,19"	1
02:56.4	"25,79"	"-0,58"	1
02:56.5	"25,74"	"-0,84"	1
02:56.5	"25,77"	"-1,23"	1
02:56.6	"25,81"	"-1,53"	1
02:56.7	"26,02"	"-2,01"	1
02:56.7	"26,35"	"-2,54"	1
02:56.8	"26,52"	"-2,76"	1
02:56.8	"26,39"	"-2,76"	1
02:56.9	"26,31"	"-2,71"	1
02:56.9	"26,31"	"-2,76"	1
02:57.0	"26,31"	"-2,67"	1
02:57.0	"26,48"	"-2,67"	1
02:57.1	"26,57"	"-2,59"	1
02:57.1	"26,66"	"-2,41"	1
02:57.2	"26,62"	"-2,37"	1
02:57.3	"26,58"	"-2,24"	1
02:57.3	"26,49"	"-2,19"	1
02:57.4	"26,54"	"-2,15"	1
02:57.4	"26,54"	"-2,02"	1
02:57.5	"26,54"	"-1,98"	1
02:57.6	"26,49"	"-2,15"	1
02:57.6	"26,49"	"-2,19"	1
02:57.7	"26,45"	"-2,15"	1
02:57.8	"26,49"	"-2,06"	1
02:57.8	"26,50"	"-1,89"	1
02:57.9	"26,59"	"-1,85"	1
02:57.9	"26,58"	"-1,89"	1
02:58.0	"26,50"	"-1,98"	1
02:58.1	"26,49"	"-2,06"	1
02:58.1	"26,50"	"-1,98"	1
02:58.2	"26,41"	"-2,06"	1
02:58.2	"26,36"	"-2,11"	1
02:58.3	"26,28"	"-2,15"	1
02:58.4	"26,14"	"-2,23"	1
02:58.4	"26,10"	"-2,27"	1
02:58.5	"26,19"	"-2,23"	1
02:58.5	"26,28"	"-2,15"	1
02:58.6	"26,23"	"-2,19"	1
02:58.7	"26,15"	"-2,15"	1
02:58.7	"26,10"	"-2,19"	1
02:58.8	"25,97"	"-2,27"	1
02:58.8	"26,18"	"-2,71"	1
02:58.9	"26,63"	"-3,93"	1
02:59.0	"26,99"	"-5,46"	1
02:59.0	"27,55"	"-7,73"	1
02:59.1	"28,26"	"-9,61"	1
02:59.1	"29,69"	"-11,76"	1
02:59.2	"31,02"	"-12,66"	1
02:59.3	"31,40"	"-13,23"	1
02:59.3	"31,44"	"-13,40"	1
02:59.4	"31,86"	"-13,72"	1
02:59.4	"32,25"	"-13,90"	1
02:59.5	"32,63"	"-14,21"	1
02:59.5	"32,63"	"-14,25"	1
02:59.6	"32,97"	"-14,61"	1
02:59.6	"33,40"	"-14,92"	1
02:59.7	"34,21"	"-15,59"	1
02:59.7	"35,50"	"-16,35"	1
02:59.8	"35,50"	"-16,31"	1
02:59.8	"36,62"	"-16,72"	1
03:02.6	"37,19"	"-15,54"	2
03:02.6	"37,06"	"-15,58"	2
03:02.8	"37,11"	"-15,62"	2
03:03.1	"37,15"	"-15,62"	2
03:03.4	"37,11"	"-15,62"	2
03:03.4	"37,15"	"-15,62"	2
03:03.6	"37,15"	"-15,58"	2
03:03.9	"37,19"	"-15,58"	2
03:04.0	"37,19"	"-15,54"	2
03:04.1	"37,20"	"-15,54"	2
03:04.2	"37,24"	"-15,54"	2
03:04.3	"37,24"	"-15,58"	2
03:04.4	"37,19"	"-15,58"	2
03:04.5	"36,93"	"-15,66"	2
03:04.5	"36,72"	"-15,66"	2
03:04.6	"36,32"	"-15,74"	2
03:04.6	"35,63"	"-15,77"	2
03:04.7	"35,50"	"-15,81"	2
