time	frame	x	y	
02:00.2	-960	"0,2"	"21,42"	1
02:00.3	-961	"-0,83"	"19,95"	1
02:00.4	-962	"-1,55"	"18,61"	1
02:00.6	-963	"-2,15"	"20,31"	1
02:00.7	-964	"-0,09"	"19,44"	1
02:00.8	-965	"0,47"	"16,5"	1
02:01.0	-966	"-1,34"	"16,4"	1
02:01.1	-967	"-1,27"	"17,65"	1
02:01.2	-968	"-0,54"	"17,04"	1
02:01.3	-969	"-1,68"	"15,23"	1
02:01.5	-970	"-3,41"	"17,27"	1
02:01.6	-971	"-2,18"	"18,27"	1
02:01.7	-972	"-0,46"	"17,58"	1
02:01.8	-973	"-1,47"	"15,2"	1
02:02.0	-974	"-2,46"	"15,54"	1
02:02.1	-975	"-2,02"	"16,53"	1
02:02.2	-976	"-0,69"	"17,09"	1
02:02.3	-977	"0,57"	"16,93"	1
02:02.5	-978	"0,24"	"15,22"	1
02:02.6	-979	"-0,39"	"15,48"	1
02:02.7	-980	"-0,22"	"15,84"	1
02:02.8	-981	"0,77"	"15,32"	1
02:03.0	-982	"1,06"	"13,98"	1
02:03.1	-983	"0,81"	"12,99"	1
02:03.2	-984	"-2,26"	"11,26"	1
02:03.3	-985	"-4,04"	"10,16"	1
02:03.5	-986	"-5,63"	"8,7"	1
02:03.6	-987	"-8,31"	"8,87"	1
02:03.7	-988	"-7,6"	"11,46"	1
02:03.8	-989	"-6,26"	"11,66"	1
02:04.0	-990	"-5,61"	"10,5"	1
02:04.1	-991	"-5,3"	"7,37"	1
02:04.2	-992	"-6,15"	"5,04"	1
02:04.3	-993	"-8,74"	"5,97"	1
02:04.5	-994	"-6,97"	"7,27"	1
02:04.6	-995	"-6,07"	"6,93"	1
02:04.7	-996	"-5,44"	"6,67"	1
02:04.8	-997	"-4,81"	"6,77"	1
02:05.0	-998	"-4,46"	"7,04"	1
02:05.1	-999	"-4,29"	"7,67"	1
02:05.2	-1000	"-3,68"	"8,58"	1
02:05.3	-1001	"-2,6"	"8,77"	1
02:05.5	-1002	"-2,25"	"8,86"	1
02:05.6	-1003	"-1,98"	"8,78"	1
02:05.7	-1004	"-1,26"	"8,52"	1
02:05.8	-1005	"-0,46"	"8,53"	1
02:06.0	-1006	"0,88"	9	1
02:06.1	-1007	"2,31"	"9,38"	1
02:06.2	-1008	"4,1"	"9,13"	1
02:06.3	-1009	"5,55"	"7,46"	1
02:06.5	-1010	"4,21"	"5,46"	1
02:06.6	-1011	"2,18"	"7,01"	1
02:06.7	-1012	"3,38"	"8,66"	1
02:06.8	-1013	"4,09"	"8,67"	1
02:07.0	-1014	"4,73"	"8,41"	1
02:07.1	-1015	"5,91"	"7,08"	1
02:07.2	-1016	"6,19"	"6,46"	1
02:07.3	-1017	"6,37"	"6,1"	1
02:07.5	-1018	"6,39"	"5,12"	1
02:07.6	-1019	"6,32"	"3,5"	1
02:07.7	-1020	"5,89"	"2,69"	1
02:07.8	-1021	"5,44"	"2,32"	1
02:08.0	-1022	"3,92"	"2,57"	1
