time	frame	x	y	
2:05.73	-3772	43,01	12,75	1
2:05.87	-3776	43,21	12,27	1
2:06.00	-3780	43,21	12,15	1
2:06.10	-3783	43,25	12,19	1
2:06.23	-3787	43,33	11,83	1
2:06.37	-3791	43,13	11,51	1
2:06.50	-3795	43,05	11,43	1
2:06.57	-3797	43,06	11,43	1
2:06.60	-3798	43,18	11,39	1
2:06.73	-3802	42,1	11,17	1
2:06.87	-3806	41,7	11,53	1
2:07.00	-3810	41,62	11,77	1
2:07.10	-3813	41,5	11,81	1
2:07.23	-3817	41,5	11,77	1
2:07.37	-3821	41,46	11,81	1
2:07.50	-3825	41,46	11,85	1
2:07.60	-3828	41,58	11,73	1
2:07.73	-3832	41,86	11,73	1
2:07.87	-3836	42,38	11,34	1
2:08.00	-3840	42,39	10,46	1
2:08.10	-3843	42,24	9,26	1
2:08.23	-3847	43,31	9,31	1
2:08.37	-3851	43,39	9,63	1
2:08.50	-3855	43,51	9,63	1
2:08.60	-3858	43,63	9,35	1
2:08.73	-3862	43,67	9,15	1
2:08.83	-3865	43,68	9,11	1
2:08.87	-3866	43,68	8,95	1
2:08.97	-3869	43,68	8,99	1
2:09.00	-3870	43,56	8,51	1
2:09.07	-3872	43,56	8,47	1
2:09.10	-3873	43,6	8,23	1
2:09.23	-3877	43,68	8,19	1
2:09.43	-3883	43,68	8,15	1
2:09.50	-3885	43,76	8,11	1
2:09.60	-3888	43,4	8,11	1
2:09.73	-3892	41,64	7,94	1
2:09.87	-3896	41,17	7,86	1
2:10.00	-3900	40,53	7,89	1
2:10.10	-3903	40,53	7,93	1
2:10.13	-3904	40,05	8,01	1
2:10.23	-3907	39,49	8,05	1
2:10.37	-3911	37,86	7,36	1
2:10.50	-3915	36,62	6,71	1
2:10.53	-3916	36,66	6,75	1
2:10.63	-3919	35,87	6,27	1
2:10.73	-3922	34,84	5,03	1
2:10.87	-3926	34,6	4,51	1
2:18.73	-4162	32,61	8,6	2
2:18.77	-4163	32,93	8,05	2
2:18.87	-4166	33,7	6,34	2
2:19.00	-4170	33,94	5,66	2
2:19.13	-4174	34,11	4,66	2
2:19.27	-4178	34,19	4,07	2
2:19.33	-4180	34,19	4,06	2
2:19.37	-4181	34,83	3,83	2
2:19.50	-4185	35,07	3,79	2
2:19.63	-4189	35,15	3,79	2
2:19.77	-4193	35,23	4,07	2
2:19.90	-4197	35,11	4,31	2
2:20.00	-4200	35,27	3,63	2
2:20.13	-4204	36,07	3,52	2
2:20.27	-4208	36,74	3,8	2
2:20.40	-4212	37,18	4,32	2
2:20.50	-4215	37,38	4,44	2
2:20.63	-4219	37,46	4,52	2
2:20.77	-4223	37,5	4,64	2
2:20.90	-4227	37,5	4,88	2
2:21.00	-4230	37,41	5,32	2
2:21.13	-4234	37,33	5,68	2
2:21.27	-4238	37,25	5,96	2
2:21.40	-4242	37,01	6,95	2
2:21.50	-4245	37,72	7,71	2
2:21.63	-4249	38,4	7,84	2
2:21.77	-4253	38,83	8	2
2:21.80	-4254	38,84	8	2
2:21.90	-4257	38,95	8,04	2
2:21.97	-4259	38,96	8,04	2
2:22.00	-4260	39,03	8,08	2
2:22.13	-4264	39,11	8,12	2
2:22.27	-4268	39,31	8,52	2
2:22.40	-4272	39,87	9,08	2
2:22.50	-4275	40,14	9,36	2
2:22.63	-4279	41,17	10,61	2
2:22.70	-4281	41,18	10,61	2
2:22.77	-4283	41,37	11,05	2
2:22.90	-4287	41,45	11,21	2
2:23.00	-4290	41,69	11,29	2
2:23.13	-4294	41,77	11,33	2
2:23.27	-4298	41,69	11,49	2
2:23.40	-4302	41,81	11,61	2
2:23.50	-4305	42,21	11,69	2
2:23.63	-4309	42,49	11,41	2
2:23.77	-4313	42,37	11,25	2
2:23.90	-4317	42,17	11,25	2
2:24.00	-4320	41,81	11,37	2
2:24.13	-4324	41,74	9,93	2
2:24.27	-4328	43,1	9,61	2
2:24.37	-4331	43,09	9,61	2
2:24.40	-4332	44,57	10,1	2
2:38.50	-4755	36,51	-15,23	3
2:38.53	-4756	36,11	-15,11	3
2:38.67	-4760	34,99	-14,72	3
2:38.80	-4764	34,55	-13,36	3
2:38.90	-4767	34,55	-11,8	3
2:39.03	-4771	33,64	-11,08	3
2:39.17	-4775	33,89	-9,37	3
2:39.30	-4779	36,04	-8,76	3
2:39.43	-4783	37,4	-8,95	3
2:39.53	-4786	38,56	-8,9	3
2:39.67	-4790	39,27	-8,78	3
2:39.80	-4794	39,71	-8,5	3
2:39.93	-4798	40,58	-6,05	3
2:40.03	-4801	39,86	-2,84	3
2:40.17	-4805	38,79	-0,52	3
2:40.30	-4809	41,26	1,21	3
2:40.43	-4813	42,09	1,26	3
2:40.53	-4816	42,33	1,26	3
2:40.67	-4820	42,37	1,34	3
2:40.80	-4824	42,37	1,38	3
2:40.93	-4828	42,33	1,42	3
2:41.00	-4830	42,33	1,41	3
2:41.03	-4831	42,69	1,78	3
2:41.17	-4835	43,04	2,38	3
2:41.30	-4839	43,04	2,78	3
2:41.43	-4843	43,04	2,82	3
2:41.53	-4846	42,96	2,97	3
2:41.67	-4850	42,44	3,33	3
2:41.80	-4854	40,64	3,88	3
2:41.93	-4858	40,44	4,16	3
2:42.03	-4861	42,07	5,28	3
2:42.17	-4865	43,1	5,81	3
2:42.30	-4869	43,62	5,89	3
2:42.43	-4873	43,82	5,65	3
2:42.53	-4876	44,27	4,42	3
2:42.67	-4880	44,51	3,58	3
2:42.80	-4884	44,63	3,3	3
2:42.93	-4888	44,75	3,1	3
2:43.03	-4891	44,8	2,86	3
2:43.10	-4893	44,79	2,86	3
2:43.17	-4895	45,16	2,19	3
2:43.30	-4899	45,44	1,67	3
2:43.43	-4903	45,64	1,43	3
2:43.53	-4906	45,76	1,27	3
