time	x	y	
01:13.9	"25,54"	"8,44"	1
01:13.9	"25,72"	"8,62"	1
01:14.1	"25,71"	"8,62"	1
01:14.1	"25,71"	"8,61"	1
01:14.2	"25,63"	"8,52"	1
01:14.4	"25,63"	"8,53"	1
01:14.4	"25,64"	"8,53"	1
01:14.6	"25,73"	"8,62"	1
01:14.6	"25,83"	"8,35"	1
01:14.7	"25,83"	"8,36"	1
01:14.7	"25,83"	"8,54"	1
01:14.8	"26,10"	"8,73"	1
01:14.8	"26,10"	"8,64"	1
01:14.9	"26,28"	"8,74"	1
01:14.9	"26,28"	"9,01"	1
01:15.0	"26,27"	"9,10"	1
01:15.0	"26,28"	"9,10"	1
01:15.0	"26,27"	"9,10"	1
01:15.1	"26,18"	"9,10"	1
01:15.1	"26,27"	"9,10"	1
01:15.2	"26,36"	"9,29"	1
01:15.2	"26,44"	"9,38"	1
01:15.2	"26,45"	"9,38"	1
01:15.3	"26,79"	"10,12"	1
01:15.3	"26,78"	"10,49"	1
01:15.4	"26,87"	"10,49"	1
01:15.4	"26,88"	"10,40"	1
01:15.5	"26,96"	"10,49"	1
01:15.5	"26,88"	"10,40"	1
01:15.6	"26,88"	"10,49"	1
01:15.7	"26,87"	"10,67"	1
01:15.8	"25,69"	"10,37"	1
01:15.8	"25,33"	"10,18"	1
01:15.8	"24,97"	"9,80"	1
01:15.9	"26,52"	"6,90"	1
01:15.9	"26,89"	"6,73"	1
01:16.0	"27,34"	"7,20"	1
01:16.0	"27,41"	"7,84"	1
01:16.1	"27,40"	"7,85"	1
01:16.1	"27,49"	"7,94"	1
01:16.2	"27,58"	"8,03"	1
01:16.2	"27,58"	"7,94"	1
01:16.2	"27,58"	"7,85"	1
01:16.3	"27,59"	"7,76"	1
01:16.3	"27,68"	"7,76"	1
01:16.4	"27,11"	"8,20"	1
01:16.4	"25,98"	"9,55"	1
01:16.5	"25,78"	"9,91"	1
01:16.5	"26,04"	"10,47"	1
01:16.6	"26,13"	"10,65"	1
01:16.6	"26,21"	"10,75"	1
01:16.6	"26,38"	"11,30"	1
01:16.7	"26,28"	"11,76"	1
01:16.7	"25,91"	"12,12"	1
01:16.8	"25,43"	"12,93"	1
01:16.8	"25,32"	"13,57"	1
01:16.8	"25,31"	"13,93"	1
01:16.9	"25,21"	"14,11"	1
01:16.9	"25,12"	"14,02"	1
01:17.0	"25,03"	"14,02"	1
01:17.0	"25,04"	"14,02"	1
01:17.0	"25,13"	"13,93"	1
01:17.1	"25,04"	"14,02"	1
01:17.1	"25,04"	"14,01"	1
01:17.2	"25,03"	"14,01"	1
01:17.2	"25,03"	"14,00"	1
01:17.3	"25,13"	"13,92"	1
01:17.3	"25,03"	"14,00"	1
01:17.4	"25,22"	"13,82"	1
