time	x	y	
02:23.8	16.34	7.87	1
02:23.9	16.6	8.11	1
02:24.0	17.28	9.26	1
02:24.1	17.54	9.88	1
02:24.3	17.59	10.08	1
02:24.4	17.55	10.46	1
02:24.5	17.37	11.71	1
02:24.6	16.73	13.09	1
02:24.8	15.84	14.47	1
02:24.9	15.15	15.32	1
02:25.0	14.9	14.86	1
02:25.1	14.92	13.66	1
02:25.3	15.02	12.79	1
02:25.4	14.99	13.04	1
02:25.5	15.03	13.28	1
02:25.6	15.16	13.36	1
02:25.8	15.29	13.53	1
02:25.9	15.37	13.61	1
02:26.0	15.54	13.65	1
02:26.1	15.7	13.73	1
02:26.3	15.66	13.65	1
02:26.4	15.66	13.6	1
02:26.5	15.74	13.69	1
02:26.6	15.82	13.64	1
02:26.8	15.91	13.6	1
02:26.9	15.95	13.56	1
02:27.0	15.95	13.6	1
02:27.1	15.95	13.56	1
02:27.3	15.91	13.64	1
02:27.4	15.95	13.81	1
02:27.5	16.08	13.97	1
02:27.6	16.25	14.05	1
02:27.8	16.37	14.13	1
02:27.9	16.38	14.21	1
02:28.1	16.37	14.17	1
02:28.2	16.38	14.17	1
02:28.3	16.38	14.25	1
02:28.4	16.42	14.21	1
02:28.5	16.54	14.25	1
02:28.6	16.62	14.25	1
02:28.8	16.79	14.33	1
02:28.9	16.84	14.45	1
02:29.0	16.88	14.57	1
02:29.1	16.92	14.66	1
02:29.3	16.97	14.82	1
02:29.4	17.1	14.98	1
02:29.5	17.01	15.11	1
02:29.6	17.02	15.11	1
02:29.6	17.1	15.11	1
02:29.9	17.1	15.15	1
02:30.1	17.05	15.11	1
02:30.2	17.06	15.11	1
02:30.3	17.1	15.23	1
02:30.4	17.14	15.36	1
02:30.5	17.1	15.52	1
02:30.6	16.9	15.69	1
02:30.8	16.74	15.91	1
02:30.9	16.74	16.11	1
02:31.0	16.71	16.4	1
02:31.1	16.67	16.57	1
02:31.2	16.63	16.57	1
02:31.3	16.71	16.65	1
02:31.4	16.75	16.65	1
02:31.4	16.71	16.65	1
02:31.5	16.71	16.66	1
02:31.5	16.71	16.7	1
02:31.6	16.79	16.45	1
02:31.8	16.7	16.16	1
02:31.9	16.49	16.16	1
02:31.9	16.53	16.16	1
02:32.0	16.41	16.29	1
02:32.1	16.29	16.33	1
02:32.3	16.25	16.33	1
02:32.4	16.21	16.37	1
02:32.5	16.25	16.33	1
02:32.6	16.29	16.54	1
02:32.8	16.38	16.78	1
02:32.9	16.55	16.91	1
02:33.0	16.68	17.07	1
02:33.2	16.84	17.15	1
02:33.2	16.8	17.15	1
02:33.3	17.01	17.19	1
02:33.4	17.22	17.35	1
02:33.5	17.43	17.47	1
02:33.7	17.56	17.59	1
02:33.8	17.65	17.67	1
02:33.9	17.69	17.67	1
02:34.0	17.65	17.67	1
02:34.2	17.61	17.67	1
02:34.3	17.52	17.63	1
02:34.4	17.44	17.88	1
02:34.5	17.57	18.25	1
02:34.7	17.66	18.42	1
02:34.8	17.7	18.5	1
02:34.9	17.7	18.42	1
02:35.0	17.66	18.38	1
02:35.2	17.74	18.33	1
02:35.3	17.78	18.17	1
02:35.4	17.83	18.25	1
02:35.5	17.91	18.21	1
02:35.7	17.9	18.08	1
02:35.8	17.48	17.59	1
02:35.9	16.63	16.49	1
02:36.0	16.59	16.41	1
02:36.2	16.54	16.32	1
02:36.3	16.5	16.2	1
02:36.4	16.5	16.07	1
02:36.5	16.5	16.12	1
02:36.7	16.38	16.37	1
02:36.8	16.47	16.57	1
02:36.9	16.51	16.7	1
02:37.0	16.51	16.78	1
02:37.2	16.51	16.7	1
02:37.3	16.51	16.74	1
02:37.4	16.59	16.78	1
02:37.5	16.63	16.65	1
02:37.7	16.67	16.57	1
02:37.8	16.75	16.48	1
02:37.9	16.75	16.44	1
02:38.0	16.79	16.36	1
02:38.2	16.83	16.36	1
02:38.3	16.88	16.4	1
02:38.4	16.88	16.44	1
02:38.5	16.92	16.52	1
02:38.6	16.96	16.52	1
02:38.7	17	16.56	1
02:38.8	17.04	16.36	1
02:38.9	17.08	16.02	1
02:39.0	16.99	15.78	1
02:39.2	16.73	15.57	1
02:39.3	16.74	15.57	1
02:39.3	16.73	15.41	1
02:39.4	16.31	15	1
02:39.5	15.13	14.32	1
02:39.7	13.14	14.02	1
02:39.8	11.9	14.38	1
02:39.9	11.23	15.12	1
02:40.0	11.87	15.81	1
02:40.2	12	15.93	1
02:44.2	7.92	3	2
02:44.3	8.01	3.2	2
02:44.4	8.14	3.53	2
02:44.5	8.14	3.49	2
02:44.7	8.09	3.41	2
02:44.8	8.09	3.45	2
02:44.9	8.1	3.45	2
02:44.9	8.18	3.4	2
02:45.0	8.09	3.36	2
02:45.2	8.09	3.32	2
02:45.3	8.22	3.36	2
02:45.4	8.47	3.31	2
02:45.5	8.51	3.31	2
02:45.7	8.63	3.31	2
02:45.8	8.71	3.23	2
02:45.9	8.88	3.14	2
02:46.0	9	3.01	2
02:46.2	9.08	2.97	2
02:46.3	9.12	3.05	2
02:46.4	9.12	3.09	2
02:46.5	9.08	3.22	2
02:46.7	8.97	3.55	2
02:46.8	8.77	4.05	2
02:46.9	8.39	3.94	2
02:47.0	7.62	2.71	2
02:47.1	7.62	2.75	2
02:47.1	7.62	2.71	2
02:47.2	7.27	1.72	2
02:47.3	7.25	0.35	2
02:47.4	7.4	-0.23	2
02:47.6	7.56	-0.45	2
02:47.7	7.73	-0.57	2
02:47.8	7.89	-0.58	2
02:47.9	8.14	-0.54	2
02:48.1	8.35	-0.38	2
02:48.2	8.48	-0.21	2
02:48.3	8.48	-0.17	2
02:48.4	8.53	0.04	2
02:48.6	8.61	0.2	2
02:48.7	8.61	0.12	2
02:48.8	8.61	-0.05	2
02:48.9	8.48	-0.13	2
02:49.1	8.4	-0.21	2
02:49.2	8.35	-0.29	2
02:49.3	8.31	-0.42	2
02:49.4	8.14	-0.45	2
02:49.6	7.94	-0.49	2
02:49.7	7.73	-0.53	2
02:49.8	7.6	-0.57	2
02:49.9	7.39	-0.61	2
02:50.1	7.27	-0.69	2
02:50.2	7.23	-0.65	2
02:50.3	7.19	-0.65	2
02:50.4	7.19	-0.6	2
02:50.6	7.19	-0.56	2
02:50.7	7.4	-0.4	2
02:50.8	7.23	-0.36	2
02:50.9	6.86	-0.35	2
02:51.1	6.61	-0.3	2
02:51.2	6.53	-0.26	2
02:51.3	6.44	-0.26	2
02:51.4	6.24	-0.25	2
02:51.7	6.07	-0.17	2
02:51.8	5.74	-0.04	2
02:51.9	5.54	0.05	2
02:52.1	5.5	0.05	2
02:52.2	5.46	0.09	2
02:52.2	5.45	0.09	2
02:52.3	5.41	0.09	2
02:52.4	5.37	0.09	2
02:52.6	5.58	0.05	2
02:52.7	5.58	0.17	2
02:52.8	5.5	0.34	2
02:52.9	5.58	0.46	2
02:53.1	5.63	0.71	2
02:53.2	5.55	0.92	2
02:53.3	5.6	1	2
02:53.4	5.59	1	2
02:53.4	5.6	1	2
02:53.6	5.64	1	2
02:53.7	5.64	0.96	2
02:53.9	5.68	0.92	2
02:54.1	5.76	0.75	2
02:54.2	6.08	-0.01	2
02:54.3	6.04	0.16	2
02:54.4	6	0.49	2
02:54.6	6	0.78	2
02:54.7	6.01	0.95	2
02:54.8	6.05	1.07	2
02:54.9	6.01	1.16	2
02:55.1	5.89	1.28	2
02:55.2	5.89	1.16	2
02:55.3	5.89	1.12	2
02:55.4	5.89	1.2	2
02:55.7	5.93	1.32	2
02:55.8	6.14	1.32	2
02:55.9	6.68	1.06	2
02:56.1	7.04	0.76	2
02:56.2	7.62	0.46	2
02:56.3	8.16	0.33	2
02:56.4	8.74	0.4	2
02:56.6	8.78	0.4	2
02:56.8	8.74	0.4	2
02:56.9	8.7	0.4	2
02:57.1	8.61	0.4	2
02:57.2	8.49	0.32	2
02:57.3	8.28	0.11	2
02:57.4	8.02	-0.05	2
02:57.5	8.03	-0.05	2
02:57.6	7.9	-0.17	2
02:57.7	7.73	-0.38	2
02:57.8	7.69	-0.5	2
02:58.2	7.81	-0.5	2
02:58.3	7.93	-0.59	2
02:58.4	7.93	-0.63	2
02:58.6	8.1	-0.59	2
02:58.7	8.22	-0.72	2
02:58.8	8.22	-0.68	2
02:58.8	8.3	-0.88	2
02:58.9	8.38	-1.09	2
02:59.1	8.46	-1.22	2
02:59.2	8.41	-1.39	2
02:59.3	8.41	-1.47	2
02:59.4	8.54	-1.39	2
02:59.6	8.54	-1.35	2
02:59.7	8.58	-1.31	2
02:59.8	8.54	-1.31	2
02:59.9	8.54	-1.26	2
03:00.1	8.46	-1.14	2
03:00.2	8.3	-0.97	2
03:00.3	8.29	-1.47	2
03:00.4	8.16	-1.55	2
03:00.6	8.12	-1.55	2
03:00.8	8.12	-1.59	2
03:00.9	8.12	-1.63	2
03:01.1	8.16	-1.67	2
03:01.2	8.12	-1.67	2
03:01.3	8.08	-1.59	2
03:01.4	8.08	-1.55	2
03:01.6	8.12	-1.59	2
03:01.7	8.04	-1.63	2
03:01.8	8.08	-1.67	2
03:01.9	8.08	-1.76	2
03:02.2	8.08	-1.71	2
03:02.3	8.12	-1.84	2
03:02.5	8.07	-1.84	2
03:02.6	8.08	-1.84	2
03:02.7	8.16	-2.01	2
03:02.8	8.24	-2.13	2
03:03.0	8.19	-2.21	2
03:03.1	8.11	-2.29	2
03:03.3	8.11	-2.3	2
03:03.3	8.11	-2.34	2
03:03.5	8.15	-2.34	2
03:03.6	8.15	-2.3	2
03:03.7	8.11	-2.3	2
03:04.0	8.07	-2.3	2
03:04.0	8.07	-2.29	2
03:04.1	8.03	-2.25	2
03:04.2	7.99	-2.25	2
03:04.3	7.95	-2.25	2
03:04.5	7.91	-2.21	2
03:04.6	7.78	-2.16	2
03:04.7	7.87	-2.08	2
03:04.8	7.78	-2.12	2
03:05.0	7.66	-2.2	2
03:05.1	7.57	-2.24	2
03:05.2	7.53	-2.24	2
03:05.5	7.57	-2.24	2
03:05.6	7.57	-2.2	2
03:05.7	7.57	-2.16	2
03:05.8	7.66	-2.04	2
03:06.0	7.78	-2.04	2
03:06.2	7.74	-1.96	2
03:06.5	7.74	-1.95	2
03:06.6	7.75	-1.95	2
03:06.7	7.79	-1.91	2
03:07.0	7.78	-1.96	2
03:07.1	7.79	-1.91	2
03:07.1	7.78	-1.91	2
03:07.2	7.78	-1.92	2
03:07.7	7.78	-1.91	2
03:07.7	7.78	-1.87	2
03:07.8	7.74	-1.87	2
03:18.1	7.2	-1.71	3
03:18.2	7.16	-1.58	3
03:18.5	7.12	-1.54	3
03:18.6	7	-1.41	3
03:18.7	6.96	-1.29	3
03:18.9	6.83	-1.16	3
03:18.9	6.84	-1.16	3
03:19.0	6.8	-0.99	3
03:19.2	6.6	-0.66	3
03:19.4	6.64	-0.57	3
03:19.5	6.64	-0.53	3
03:19.6	6.56	-0.45	3
03:19.9	6.6	-0.45	3
03:20.0	6.56	-0.37	3
03:20.0	6.6	-0.37	3
