time	frame	x	y	
59.98	-479	"26,11"	"-15,16"	1
01:00.1	-480	"26,2"	"-14,88"	1
01:00.2	-481	"26,19"	"-15,24"	1
01:00.4	-482	"25,66"	"-15,78"	1
01:00.5	-483	"25,11"	"-15,42"	1
01:00.6	-484	"25,11"	"-14,7"	1
01:00.7	-485	"25,92"	"-14,25"	1
01:00.9	-486	"26,47"	"-14,79"	1
01:01.0	-487	"26,64"	"-14,97"	1
01:01.1	-488	"26,11"	"-15,52"	1
01:01.2	-489	"24,67"	"-15,16"	1
01:01.4	-490	"24,93"	"-14,71"	1
01:01.5	-491	"24,94"	"-15,25"	1
01:01.6	-492	"23,85"	"-15,07"	1
01:01.7	-493	"24,39"	"-14,8"	1
01:01.9	-494	"24,49"	"-16,33"	1
01:02.0	-495	"23,86"	"-16,15"	1
01:02.1	-496	"23,41"	"-16,43"	1
01:02.2	-497	"23,77"	"-16,15"	1
01:02.4	-498	"23,68"	"-16,88"	1
01:02.5	-499	"22,48"	"-16,23"	1
01:02.6	-500	"23,2"	"-15,69"	1
01:02.7	-501	"23,47"	"-15,77"	1
01:02.9	-502	"23,65"	"-15,86"	1
01:03.0	-503	"22,46"	"-17,75"	1
01:03.1	-504	"20,77"	"-17,61"	1
01:03.2	-505	"20,86"	"-17,34"	1
01:03.4	-506	"20,59"	"-17,61"	1
01:03.5	-507	"20,32"	"-17,51"	1
01:03.6	-508	"20,22"	"-16,97"	1
01:03.7	-509	"20,49"	"-16,43"	1
01:03.9	-510	"20,58"	"-16,25"	1
01:04.0	-511	"20,68"	"-16,07"	1
01:04.1	-512	"20,86"	"-15,89"	1
01:04.2	-513	"21,21"	"-15,71"	1
01:04.4	-514	"22,3"	"-16,07"	1
01:04.5	-515	"21,94"	"-16,61"	1
01:04.6	-516	"22,39"	"-16,52"	1
01:04.7	-517	"21,85"	"-16,7"	1
01:04.9	-518	"22,12"	"-16,79"	1
01:05.0	-519	"21,67"	"-16,7"	1
01:05.1	-520	"22,12"	"-16,34"	1
01:05.2	-521	"22,66"	"-16,25"	1
01:05.4	-522	"22,66"	"-16,88"	1
01:05.5	-523	"21,85"	"-17,07"	1
01:05.6	-524	"21,67"	"-16,71"	1
01:05.7	-525	"22,12"	"-15,35"	1
01:05.9	-526	"22,75"	"-14,72"	1
01:06.0	-527	"23,29"	"-14,35"	1
01:06.1	-528	"23,74"	"-14,63"	1
01:06.2	-529	"23,39"	"-15,35"	1
01:06.4	-530	"22,94"	"-15,08"	1
01:06.5	-531	"22,93"	"-14,9"	1
01:06.6	-532	"22,85"	"-14,81"	1
01:06.7	-533	"22,94"	"-14,72"	1
01:06.9	-534	"22,94"	"-14,72"	1
01:07.0	-535	"22,94"	"-14,63"	1
01:07.1	-536	"23,3"	"-14,53"	1
01:07.2	-537	"23,66"	"-14,89"	1
01:07.4	-538	"23,65"	"-15,16"	1
01:07.5	-539	"23,03"	"-14,89"	1
01:07.6	-540	"23,11"	"-14,62"	1
01:07.7	-541	"23,38"	"-14,34"	1
01:07.9	-542	"23,65"	"-14,43"	1
01:08.0	-543	"23,83"	"-14,79"	1
01:08.1	-544	"23,29"	"-15,51"	1
01:08.2	-545	"22,03"	"-15,33"	1
01:08.4	-546	"22,3"	"-14,97"	1
01:08.5	-547	"22,39"	"-15,33"	1
01:08.6	-548	"22,22"	"-15,51"	1
01:08.7	-549	"21,41"	"-15,33"	1
01:08.9	-550	"21,77"	"-14,7"	1
01:09.0	-551	"21,95"	"-15,14"	1
01:09.1	-552	"21,94"	"-15,14"	1
01:09.2	-553	"21,95"	"-15,23"	1
01:09.4	-554	"21,41"	"-14,96"	1
01:09.5	-555	"21,68"	"-14,06"	1
01:09.6	-556	"22,13"	"-14,06"	1
01:09.8	-557	"22,31"	"-14,24"	1
01:09.9	-558	"22,13"	"-14,78"	1
01:10.0	-559	"21,14"	"-14,52"	1
01:10.1	-560	"21,32"	"-14,16"	1
01:10.3	-561	"21,95"	"-14,43"	1
01:10.4	-562	"22,14"	"-15,51"	1
01:10.5	-563	"21,95"	"-15,33"	1
01:10.6	-564	"22,49"	"-15,15"	1
01:10.7	-565	"23,04"	"-16,05"	1
01:10.9	-566	"22,59"	"-16,32"	1
01:11.0	-567	"23,31"	"-15,96"	1
01:11.1	-568	"23,49"	"-16,5"	1
01:11.2	-569	"23,49"	"-16,68"	1
01:11.4	-570	"22,86"	"-16,95"	1
01:11.5	-571	"22,41"	"-16,14"	1
01:11.6	-572	"22,77"	"-16,68"	1
01:11.8	-573	"22,23"	"-16,23"	1
01:11.9	-574	"22,77"	"-16,14"	1
01:12.0	-575	"22,59"	"-16,68"	1
01:12.1	-576	"21,77"	"-16,23"	1
01:12.2	-577	"21,95"	"-15,69"	1
01:12.4	-578	"23,58"	"-15,86"	1
01:12.5	-579	"25,06"	"-17,05"	1
01:12.6	-580	"24,07"	"-17,41"	1
01:12.7	-581	"24,16"	"-17,32"	1
01:12.9	-582	"23,89"	"-17,23"	1
01:13.0	-583	"23,8"	"-17,32"	1
01:13.1	-584	"23,89"	"-16,87"	1
01:13.3	-585	"23,35"	"-17,41"	1
01:13.4	-586	"22,72"	"-16,24"	1
01:13.5	-587	"23,8"	"-15,7"	1
01:13.6	-588	"24,7"	"-16,42"	1
01:13.7	-589	"24,88"	"-16,99"	1
01:13.9	-590	"24,52"	"-17,57"	1
01:14.0	-591	"23,93"	"-17,75"	1
01:14.1	-592	"23,66"	"-17,66"	1
01:14.2	-593	"23,75"	"-17,22"	1
01:14.4	-594	"23,84"	"-16,94"	1
01:14.5	-595	"24,12"	"-16,85"	1
01:14.6	-596	"24,21"	"-16,85"	1
01:14.8	-597	"24,39"	"-16,67"	1
01:14.9	-598	"24,3"	"-16,94"	1
01:15.0	-599	"23,67"	"-17,21"	1
01:15.1	-600	"23,12"	"-16,31"	1
01:15.3	-601	"23,3"	"-16,31"	1
01:15.4	-602	"23,21"	"-15,77"	1
01:15.5	-603	"23,66"	"-16,13"	1
