time	frame 	x	y	
2:27.23	-4417	39,53	0,42	1
2:27.27	-4418	39,49	0,06	1
2:27.40	-4422	40,76	-2,75	1
2:27.53	-4426	41,2	-3,36	1
2:27.63	-4429	41,36	-3,6	1
2:27.77	-4433	41,19	-3,76	1
2:27.83	-4435	41,2	-3,76	1
2:27.90	-4437	41,55	-4,28	1
2:28.03	-4441	42,03	-4,93	1
2:28.13	-4444	42,11	-5,17	1
2:28.27	-4448	42,11	-5,53	1
2:28.40	-4452	42,02	-6,21	1
2:28.53	-4456	41,73	-7,66	1
2:28.63	-4459	41,28	-9,18	1
2:28.77	-4463	41	-10,18	1
2:28.90	-4467	40,42	-12,14	1
2:29.03	-4471	40,14	-12,98	1
2:29.13	-4474	39,93	-13,5	1
2:29.27	-4478	39,77	-13,7	1
2:29.40	-4482	39,73	-13,62	1
2:29.43	-4483	39,73	-13,58	1
2:29.53	-4486	39,69	-13,58	1
2:29.63	-4489	39,65	-13,58	1
2:29.77	-4493	39,57	-13,5	1
2:29.90	-4497	39,57	-13,26	1
2:30.03	-4501	39,18	-11,98	1
2:30.17	-4505	39,1	-11,73	1
2:30.27	-4508	38,46	-12,01	1
2:30.40	-4512	38,41	-12,81	1
2:30.53	-4516	38,57	-12,85	1
2:30.67	-4520	38,74	-12,58	1
2:30.77	-4523	39,46	-12,66	1
2:30.90	-4527	40,1	-13,43	1
2:31.03	-4531	39,89	-13,79	1
2:31.17	-4535	39,77	-13,99	1
2:31.27	-4538	39,89	-13,87	1
2:31.40	-4542	39,85	-13,71	1
2:31.53	-4546	39,01	-13,94	1
2:31.67	-4550	38,4	-14,5	1
2:31.77	-4553	38,16	-14,78	1
2:31.90	-4557	38	-14,9	1
2:32.03	-4561	38,08	-15,26	1
2:32.17	-4565	38,2	-15,66	1
2:32.27	-4568	38,27	-16,27	1
2:50.57	-5117	31,25	-19,12	2
2:50.70	-5121	30,85	-18,64	2
2:50.80	-5124	30,73	-18,39	2
2:50.93	-5128	30,65	-17,95	2
2:51.07	-5132	30,61	-17,71	2
2:51.20	-5136	30,65	-17,79	2
2:51.30	-5139	30,69	-18,11	2
2:51.43	-5143	30,61	-18,07	2
2:51.57	-5147	30,61	-18,03	2
2:51.70	-5151	30,65	-17,83	2
2:51.80	-5154	31,02	-16,63	2
2:51.93	-5158	31,18	-16,23	2
2:52.03	-5161	31,19	-16,23	2
2:52.07	-5162	31,35	-15,59	2
2:52.20	-5166	30,84	-14,26	2
2:52.27	-5168	30,83	-14,26	2
2:52.30	-5169	30,48	-13,9	2
2:52.43	-5173	30,44	-13,7	2
2:52.57	-5177	30,64	-13,74	2
2:52.70	-5181	30,8	-13,98	2
2:52.80	-5184	30,76	-14,02	2
2:52.93	-5188	30,72	-14,14	2
2:53.07	-5192	30,47	-14,54	2
2:53.20	-5196	28,38	-15,55	2
2:53.30	-5199	27,58	-15,4	2
2:53.43	-5203	27,18	-15,4	2
2:53.47	-5204	27,17	-15,4	2
2:53.57	-5207	27,01	-15,4	2
2:53.70	-5211	26,93	-15,4	2
2:53.80	-5214	26,93	-15,36	2
2:53.93	-5218	26,89	-15,44	2
2:54.07	-5222	26,81	-15,6	2
2:54.20	-5226	26,89	-16,32	2
2:54.33	-5230	27,25	-16,49	2
2:54.43	-5233	27,65	-16,29	2
2:54.57	-5237	27,77	-15,81	2
2:54.70	-5241	26,01	-15,12	2
2:54.77	-5243	26,01	-15,11	2
2:54.83	-5245	25,46	-14,03	2
2:54.93	-5248	25,38	-13,14	2
2:55.07	-5252	25,38	-12,78	2
2:55.20	-5256	25,38	-12,66	2
2:55.33	-5260	25,27	-12,54	2
2:55.43	-5263	25,6	-10,41	2
2:55.57	-5267	23,41	-7,75	2
2:55.70	-5271	20,25	-7,84	2
2:55.83	-5275	16,88	-7,94	2
2:55.93	-5278	13,83	-8,56	2
2:56.07	-5282	14,03	-7,84	2
