time	frame	x	y	
1:01.97	-1859	42,23	8,36	1
1:02.00	-1860	42,03	8,6	1
1:02.13	-1864	41,71	9,08	1
1:02.23	-1867	40,98	9,4	1
1:02.37	-1871	39,65	10,07	1
1:02.50	-1875	39,84	11,07	1
1:02.63	-1879	40,17	10,51	1
1:02.73	-1882	39,53	9,94	1
1:02.87	-1886	37,81	9,73	1
1:03.00	-1890	38,01	9,49	1
1:03.03	-1891	38,01	9,53	1
1:03.13	-1894	34,64	9,5	1
1:03.23	-1897	35,12	9,78	1
1:03.37	-1901	34,93	8,22	1
1:03.50	-1905	33,47	10,05	1
1:03.63	-1909	34,8	9,74	1
1:03.73	-1912	33,27	9,97	1
1:03.87	-1916	34,71	10,46	1
1:04.00	-1920	35,76	9,75	1
1:04.13	-1924	36,14	7,59	1
1:04.23	-1927	35,31	6,45	1
1:04.37	-1931	33,22	6,04	1
1:04.50	-1935	34,03	5,64	1
1:04.63	-1939	34,47	1,8	1
1:04.77	-1943	35,7	-0,76	1
1:04.87	-1946	36,51	-2,28	1
1:05.00	-1950	37,92	-2,79	1
1:05.13	-1954	39,04	-2,5	1
1:05.17	-1955	39	-2,5	1
1:05.27	-1958	40,04	-2,25	1
1:05.37	-1961	41,01	-2,52	1
1:05.50	-1965	41,38	-3,96	1
1:05.57	-1967	41,42	-3,96	1
1:05.63	-1969	41,23	-4,36	1
1:05.67	-1970	41,19	-4,36	1
1:05.77	-1973	40,19	-4,81	1
1:05.87	-1976	38,29	-4,66	1
1:06.00	-1980	38,85	-4,33	1
1:06.13	-1984	38,9	-5,41	1
1:06.27	-1988	38,11	-6,91	1
1:06.37	-1991	37,19	-6,91	1
1:06.50	-1995	37,83	-7,35	1
1:06.63	-1999	37,89	-9,4	1
1:06.77	-2003	38,07	-11,52	1
1:06.87	-2006	38,85	-13,2	1
1:06.90	-2007	38,85	-13,16	1
1:06.93	-2008	38,85	-13,2	1
1:06.97	-2009	38,85	-13,16	1
1:07.00	-2010	39,31	-15,12	1
2:07.87	-3836	14,74	18,79	2
2:07.97	-3839	13,29	18,29	2
2:08.10	-3843	14,16	17,65	2
2:08.23	-3847	13,52	16,02	2
2:08.37	-3851	12,41	14,53	2
2:08.47	-3854	10,52	13,84	2
2:08.60	-3858	10,99	14,56	2
2:08.73	-3862	9,96	12,95	2
2:08.87	-3866	9,8	12,71	2
2:09.00	-3870	10,5	11,35	2
2:09.10	-3873	10,15	10,06	2
2:09.23	-3877	9,18	10,82	2
2:09.37	-3881	10,17	11,39	2
2:09.50	-3885	11,58	11,36	2
2:09.60	-3888	12,59	11,01	2
2:09.73	-3892	13,39	10,77	2
2:09.87	-3896	14,27	10,74	2
2:10.00	-3900	14,95	10,87	2
2:10.10	-3903	15,59	11,12	2
2:10.23	-3907	16,27	11,48	2
2:10.37	-3911	18,31	12,22	2
2:10.50	-3915	19,28	11,67	2
2:10.60	-3918	19,1	10,1	2
2:10.73	-3922	18,09	10,66	2
2:10.87	-3926	17,12	11,25	2
2:11.00	-3930	17,31	12,09	2
2:11.10	-3933	18,36	12,06	2
2:11.13	-3934	18,35	12,06	2
2:11.23	-3937	19,08	11,83	2
2:11.37	-3941	20,01	11,56	2
2:11.50	-3945	21,06	10,84	2
2:11.60	-3948	21,5	10,41	2
2:11.73	-3952	21,51	9,44	2
2:11.87	-3956	20,68	8,11	2
2:12.00	-3960	20,85	6,43	2
2:12.10	-3963	22,06	5,84	2
2:12.23	-3967	22,82	6,53	2
2:12.37	-3971	23,21	7,89	2
2:12.50	-3975	23,84	8,7	2
